,調査数,電車・バス・駅構内、庁舎・公共施設等でのポスター,テレビ、電車内・駅中のモニター、街中の大型モニター、ＱＢハウス内モニター、コンビニレジ画面での動画広告放映,選挙広報用の新聞広告,都、区市町村の広報誌,新宿駅西口の柱面電飾広告,ラジオＣＭ,庁舎や公園などの懸垂幕・横断幕・のぼり旗,都庁舎のライトアップ,銀座数寄屋橋交差点の大型懸垂幕,都知事選メッセージバス,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ、マスク等の広報グッズ,はし袋広告（コンビニ、大学で配布）,区市町村の広報車,区市町村の広報掲示板,都及び区市町村のホームページ
全体,2011,608,554,301,176,23,53,66,12,18,28,76,26,1,223,129,34
全体,100.0,30.2,27.5,15.0,8.8,1.1,2.6,3.3,0.6,0.9,1.4,3.8,1.3,0.0,11.1,6.4,1.7
性別男性,950,308,265,157,93,13,35,24,6,7,10,27,12,1,107,68,20
性別男性,100.0,32.4,27.9,16.5,9.8,1.4,3.7,2.5,0.6,0.7,1.1,2.8,1.3,0.1,11.3,7.2,2.1
性別女性,1061,300,289,144,83,10,18,42,6,11,18,49,14,-,116,61,14
性別女性,100.0,28.3,27.2,13.6,7.8,0.9,1.7,4.0,0.6,1.0,1.7,4.6,1.3,-,10.9,5.7,1.3
年齢20歳代,295,81,54,13,5,5,5,9,-,1,3,8,4,-,24,7,4
年齢20歳代,100.0,27.5,18.3,4.4,1.7,1.7,1.7,3.1,-,0.3,1.0,2.7,1.4,-,8.1,2.4,1.4
年齢30歳代,355,130,110,36,29,7,10,15,3,3,9,14,5,-,39,18,15
年齢30歳代,100.0,36.6,31.0,10.1,8.2,2.0,2.8,4.2,0.8,0.8,2.5,3.9,1.4,-,11.0,5.1,4.2
年齢40歳代,398,137,115,66,37,4,13,15,3,5,6,13,5,-,45,21,6
年齢40歳代,100.0,34.4,28.9,16.6,9.3,1.0,3.3,3.8,0.8,1.3,1.5,3.3,1.3,-,11.3,5.3,1.5
年齢50歳代,293,94,93,57,32,4,7,10,1,4,4,15,6,1,33,22,5
年齢50歳代,100.0,32.1,31.7,19.5,10.9,1.4,2.4,3.4,0.3,1.4,1.4,5.1,2.0,0.3,11.3,7.5,1.7
年齢60歳代,327,95,79,64,40,3,8,12,5,3,2,19,3,-,45,31,4
年齢60歳代,100.0,29.1,24.2,19.6,12.2,0.9,2.4,3.7,1.5,0.9,0.6,5.8,0.9,-,13.8,9.5,1.2
年齢70歳代,232,47,65,41,23,-,10,5,-,1,3,4,3,-,26,21,-
年齢70歳代,100.0,20.3,28.0,17.7,9.9,-,4.3,2.2,-,0.4,1.3,1.7,1.3,-,11.2,9.1,-
年齢80歳以上,90,16,33,20,7,-,-,-,-,-,-,1,-,-,6,7,-
年齢80歳以上,100.0,17.8,36.7,22.2,7.8,-,-,-,-,-,-,1.1,-,-,6.7,7.8,-
性／年齢別男性20歳代,143,37,26,8,2,2,5,5,-,-,1,3,4,-,12,3,2
性／年齢別男性20歳代,100.0,25.9,18.2,5.6,1.4,1.4,3.5,3.5,-,-,0.7,2.1,2.8,-,8.4,2.1,1.4
性／年齢別男性30歳代,153,62,51,17,15,4,6,5,1,1,2,2,3,-,18,8,8
性／年齢別男性30歳代,100.0,40.5,33.3,11.1,9.8,2.6,3.9,3.3,0.7,0.7,1.3,1.3,2.0,-,11.8,5.2,5.2
性／年齢別男性40歳代,176,65,46,30,14,2,7,1,1,3,3,6,1,-,17,13,3
性／年齢別男性40歳代,100.0,36.9,26.1,17.0,8.0,1.1,4.0,0.6,0.6,1.7,1.7,3.4,0.6,-,9.7,7.4,1.7
性／年齢別男性50歳代,148,49,54,35,22,2,5,6,1,1,2,8,3,1,24,13,4
性／年齢別男性50歳代,100.0,33.1,36.5,23.6,14.9,1.4,3.4,4.1,0.7,0.7,1.4,5.4,2.0,0.7,16.2,8.8,2.7
性／年齢別男性60歳代,169,56,40,33,20,3,6,5,3,2,1,6,-,-,19,19,3
性／年齢別男性60歳代,100.0,33.1,23.7,19.5,11.8,1.8,3.6,3.0,1.8,1.2,0.6,3.6,-,-,11.2,11.2,1.8
性／年齢別男性70歳代,118,29,30,24,15,-,6,2,-,-,1,1,1,-,13,9,-
性／年齢別男性70歳代,100.0,24.6,25.4,20.3,12.7,-,5.1,1.7,-,-,0.8,0.8,0.8,-,11.0,7.6,-
性／年齢別男性80歳以上,39,8,16,10,5,-,-,-,-,-,-,1,-,-,2,3,-
性／年齢別男性80歳以上,100.0,20.5,41.0,25.6,12.8,-,-,-,-,-,-,2.6,-,-,5.1,7.7,-
性／年齢別女性20歳代,152,44,28,5,3,3,-,4,-,1,2,5,-,-,12,4,2
性／年齢別女性20歳代,100.0,28.9,18.4,3.3,2.0,2.0,-,2.6,-,0.7,1.3,3.3,-,-,7.9,2.6,1.3
性／年齢別女性30歳代,202,68,59,19,14,3,4,10,2,2,7,12,2,-,21,10,7
性／年齢別女性30歳代,100.0,33.7,29.2,9.4,6.9,1.5,2.0,5.0,1.0,1.0,3.5,5.9,1.0,-,10.4,5.0,3.5
性／年齢別女性40歳代,222,72,69,36,23,2,6,14,2,2,3,7,4,-,28,8,3
性／年齢別女性40歳代,100.0,32.4,31.1,16.2,10.4,0.9,2.7,6.3,0.9,0.9,1.4,3.2,1.8,-,12.6,3.6,1.4
性／年齢別女性50歳代,145,45,39,22,10,2,2,4,-,3,2,7,3,-,9,9,1
性／年齢別女性50歳代,100.0,31.0,26.9,15.2,6.9,1.4,1.4,2.8,-,2.1,1.4,4.8,2.1,-,6.2,6.2,0.7
性／年齢別女性60歳代,158,39,39,31,20,-,2,7,2,1,1,13,3,-,26,12,1
性／年齢別女性60歳代,100.0,24.7,24.7,19.6,12.7,-,1.3,4.4,1.3,0.6,0.6,8.2,1.9,-,16.5,7.6,0.6
性／年齢別女性70歳代,114,18,35,17,8,-,4,3,-,1,2,3,2,-,13,12,-
性／年齢別女性70歳代,100.0,15.8,30.7,14.9,7.0,-,3.5,2.6,-,0.9,1.8,2.6,1.8,-,11.4,10.5,-
性／年齢別女性80歳以上,51,8,17,10,2,-,-,-,-,-,-,-,-,-,4,4,-
性／年齢別女性80歳以上,100.0,15.7,33.3,19.6,3.9,-,-,-,-,-,-,-,-,-,7.8,7.8,-
未・既婚別未婚（死別・離別を含む）,801,220,197,70,38,14,18,29,4,7,14,17,10,-,62,23,15
未・既婚別未婚（死別・離別を含む）,100.0,27.5,24.6,8.7,4.7,1.7,2.2,3.6,0.5,0.9,1.7,2.1,1.2,-,7.7,2.9,1.9
未・既婚別既婚,1188,385,353,228,137,9,35,36,8,11,14,59,16,1,160,106,18
未・既婚別既婚,100.0,32.4,29.7,19.2,11.5,0.8,2.9,3.0,0.7,0.9,1.2,5.0,1.3,0.1,13.5,8.9,1.5
子供の有無別子供はいない,779,237,196,63,36,15,20,27,4,11,15,18,10,-,63,17,16
子供の有無別子供はいない,100.0,30.4,25.2,8.1,4.6,1.9,2.6,3.5,0.5,1.4,1.9,2.3,1.3,-,8.1,2.2,2.1
子供の有無別未就学（～６歳）,155,56,63,24,21,-,5,6,-,1,3,11,1,-,23,14,6
子供の有無別未就学（～６歳）,100.0,36.1,40.6,15.5,13.5,-,3.2,3.9,-,0.6,1.9,7.1,0.6,-,14.8,9.0,3.9
子供の有無別小・中・高校生,320,122,95,59,36,3,9,14,2,2,7,16,5,-,46,29,9
子供の有無別小・中・高校生,100.0,38.1,29.7,18.4,11.3,0.9,2.8,4.4,0.6,0.6,2.2,5.0,1.6,-,14.4,9.1,2.8
子供の有無別大学生・大学院生・短大生・専門学校生,92,23,18,17,9,1,3,1,-,-,1,2,1,-,11,4,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,25.0,19.6,18.5,9.8,1.1,3.3,1.1,-,-,1.1,2.2,1.1,-,12.0,4.3,-
子供の有無別学校教育終了,671,181,197,150,86,4,19,20,6,4,6,32,10,1,94,72,5
子供の有無別学校教育終了,100.0,27.0,29.4,22.4,12.8,0.6,2.8,3.0,0.9,0.6,0.9,4.8,1.5,0.1,14.0,10.7,0.7
子供の有無別その他,11,3,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-
子供の有無別その他,100.0,27.3,27.3,-,9.1,-,9.1,9.1,-,-,-,-,-,-,-,-,-
職業別自営業（計）,174,56,70,41,19,3,6,9,3,4,4,5,4,-,24,12,5
職業別自営業（計）,100.0,32.2,40.2,23.6,10.9,1.7,3.4,5.2,1.7,2.3,2.3,2.9,2.3,-,13.8,6.9,2.9
職業別農林漁業,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,71,27,32,20,10,2,5,3,1,2,-,4,1,-,6,5,2
職業別商工・サービス業,100.0,38.0,45.1,28.2,14.1,2.8,7.0,4.2,1.4,2.8,-,5.6,1.4,-,8.5,7.0,2.8
職業別その他自由業,101,29,38,21,9,1,1,6,2,2,4,1,3,-,18,7,3
職業別その他自由業,100.0,28.7,37.6,20.8,8.9,1.0,1.0,5.9,2.0,2.0,4.0,1.0,3.0,-,17.8,6.9,3.0
職業別お勤め（計）,981,321,253,124,76,12,26,27,4,5,15,36,11,1,96,60,20
職業別お勤め（計）,100.0,32.7,25.8,12.6,7.7,1.2,2.7,2.8,0.4,0.5,1.5,3.7,1.1,0.1,9.8,6.1,2.0
職業別経営・管理職,109,32,26,19,10,2,5,1,1,2,1,5,1,1,18,10,2
職業別経営・管理職,100.0,29.4,23.9,17.4,9.2,1.8,4.6,0.9,0.9,1.8,0.9,4.6,0.9,0.9,16.5,9.2,1.8
職業別専門職・技術職,261,101,80,44,30,3,7,8,2,1,3,8,4,-,30,24,8
職業別専門職・技術職,100.0,38.7,30.7,16.9,11.5,1.1,2.7,3.1,0.8,0.4,1.1,3.1,1.5,-,11.5,9.2,3.1
職業別事務職,305,111,69,33,19,5,2,9,1,1,7,10,3,-,22,13,3
職業別事務職,100.0,36.4,22.6,10.8,6.2,1.6,0.7,3.0,0.3,0.3,2.3,3.3,1.0,-,7.2,4.3,1.0
職業別労務職・技能職,89,21,25,8,5,1,7,3,-,-,-,4,1,-,9,7,4
職業別労務職・技能職,100.0,23.6,28.1,9.0,5.6,1.1,7.9,3.4,-,-,-,4.5,1.1,-,10.1,7.9,4.5
職業別販売・サービス職,217,56,53,20,12,1,5,6,-,1,4,9,2,-,17,6,3
職業別販売・サービス職,100.0,25.8,24.4,9.2,5.5,0.5,2.3,2.8,-,0.5,1.8,4.1,0.9,-,7.8,2.8,1.4
職業別その他（計）,841,228,229,134,81,8,21,30,5,9,9,35,11,-,101,57,8
職業別その他（計）,100.0,27.1,27.2,15.9,9.6,1.0,2.5,3.6,0.6,1.1,1.1,4.2,1.3,-,12.0,6.8,1.0
職業別学生,53,16,14,7,2,2,-,2,-,-,1,2,-,-,8,1,1
職業別学生,100.0,30.2,26.4,13.2,3.8,3.8,-,3.8,-,-,1.9,3.8,-,-,15.1,1.9,1.9
職業別専業主婦（夫）,391,114,107,54,38,2,6,9,-,2,4,25,1,-,51,27,3
職業別専業主婦（夫）,100.0,29.2,27.4,13.8,9.7,0.5,1.5,2.3,-,0.5,1.0,6.4,0.3,-,13.0,6.9,0.8
職業別その他,62,13,22,7,8,1,5,5,-,-,1,1,2,-,9,3,2
職業別その他,100.0,21.0,35.5,11.3,12.9,1.6,8.1,8.1,-,-,1.6,1.6,3.2,-,14.5,4.8,3.2
職業別無職（年金受給者含む）,335,85,86,66,33,3,10,14,5,7,3,7,8,-,33,26,2
職業別無職（年金受給者含む）,100.0,25.4,25.7,19.7,9.9,0.9,3.0,4.2,1.5,2.1,0.9,2.1,2.4,-,9.9,7.8,0.6
投票所までの時間別５分以内,636,220,192,138,62,14,24,36,8,11,12,15,11,-,83,43,17
投票所までの時間別５分以内,100.0,34.6,30.2,21.7,9.7,2.2,3.8,5.7,1.3,1.7,1.9,2.4,1.7,-,13.1,6.8,2.7
投票所までの時間別10分以内,1060,282,246,107,71,6,17,18,-,2,15,41,10,-,94,51,10
投票所までの時間別10分以内,100.0,26.6,23.2,10.1,6.7,0.6,1.6,1.7,-,0.2,1.4,3.9,0.9,-,8.9,4.8,0.9
投票所までの時間別20分以内,221,67,65,38,27,2,5,10,3,4,-,11,2,-,23,21,4
投票所までの時間別20分以内,100.0,30.3,29.4,17.2,12.2,0.9,2.3,4.5,1.4,1.8,-,5.0,0.9,-,10.4,9.5,1.8
投票所までの時間別30分以内,50,29,37,7,6,-,6,1,-,-,-,4,3,1,17,8,2
投票所までの時間別30分以内,100.0,58.0,74.0,14.0,12.0,-,12.0,2.0,-,-,-,8.0,6.0,2.0,34.0,16.0,4.0
投票所までの時間別30分を超える,26,9,10,11,10,1,-,1,1,1,1,5,-,-,6,6,1
投票所までの時間別30分を超える,100.0,34.6,38.5,42.3,38.5,3.8,-,3.8,3.8,3.8,3.8,19.2,-,-,23.1,23.1,3.8
地域別区部（計）,1392,436,473,225,114,22,49,58,11,17,26,34,23,1,162,72,27
地域別区部（計）,100.0,31.3,34.0,16.2,8.2,1.6,3.5,4.2,0.8,1.2,1.9,2.4,1.7,0.1,11.6,5.2,1.9
地域別センターコア,372,153,155,83,28,6,12,10,-,5,15,6,7,-,48,22,6
地域別センターコア,100.0,41.1,41.7,22.3,7.5,1.6,3.2,2.7,-,1.3,4.0,1.6,1.9,-,12.9,5.9,1.6
地域別区部東部・北部エリア,408,103,155,62,58,1,22,20,1,1,4,6,4,-,59,29,5
地域別区部東部・北部エリア,100.0,25.2,38.0,15.2,14.2,0.2,5.4,4.9,0.2,0.2,1.0,1.5,1.0,-,14.5,7.1,1.2
地域別区部西部・南部エリア,612,180,163,80,28,15,15,28,10,11,7,22,12,1,55,21,16
地域別区部西部・南部エリア,100.0,29.4,26.6,13.1,4.6,2.5,2.5,4.6,1.6,1.8,1.1,3.6,2.0,0.2,9.0,3.4,2.6
地域別市郡部（計）,619,172,81,76,62,1,4,8,1,1,2,42,3,-,61,57,7
地域別市郡部（計）,100.0,27.8,13.1,12.3,10.0,0.2,0.6,1.3,0.2,0.2,0.3,6.8,0.5,-,9.9,9.2,1.1
地域別多摩東部エリア,235,80,27,4,4,1,-,1,-,-,-,18,1,-,3,6,3
地域別多摩東部エリア,100.0,34.0,11.5,1.7,1.7,0.4,-,0.4,-,-,-,7.7,0.4,-,1.3,2.6,1.3
地域別多摩中央部北エリア,88,21,22,14,12,-,-,1,-,-,1,10,-,-,11,8,-
地域別多摩中央部北エリア,100.0,23.9,25.0,15.9,13.6,-,-,1.1,-,-,1.1,11.4,-,-,12.5,9.1,-
地域別多摩中央部南エリア,261,60,32,58,46,-,4,6,1,1,1,14,2,-,47,43,4
地域別多摩中央部南エリア,100.0,23.0,12.3,22.2,17.6,-,1.5,2.3,0.4,0.4,0.4,5.4,0.8,-,18.0,16.5,1.5
地域別多摩西部エリア,35,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別多摩西部エリア,100.0,31.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別関心があった（計）,1170,404,354,248,148,15,42,50,10,13,22,45,23,1,179,106,25
選挙への関心度別関心があった（計）,100.0,34.5,30.3,21.2,12.6,1.3,3.6,4.3,0.9,1.1,1.9,3.8,2.0,0.1,15.3,9.1,2.1
選挙への関心度別関心があった,636,213,194,161,97,3,25,22,3,7,13,18,14,1,104,66,13
選挙への関心度別関心があった,100.0,33.5,30.5,25.3,15.3,0.5,3.9,3.5,0.5,1.1,2.0,2.8,2.2,0.2,16.4,10.4,2.0
選挙への関心度別やや関心があった,534,191,160,87,51,12,17,28,7,6,9,27,9,-,75,40,12
選挙への関心度別やや関心があった,100.0,35.8,30.0,16.3,9.6,2.2,3.2,5.2,1.3,1.1,1.7,5.1,1.7,-,14.0,7.5,2.2
選挙への関心度別関心がなかった（計）,533,115,115,21,12,6,6,10,2,5,3,11,1,-,23,11,3
選挙への関心度別関心がなかった（計）,100.0,21.6,21.6,3.9,2.3,1.1,1.1,1.9,0.4,0.9,0.6,2.1,0.2,-,4.3,2.1,0.6
選挙への関心度別あまり関心がなかった,316,78,73,14,10,3,5,4,1,4,1,6,1,-,11,5,1
選挙への関心度別あまり関心がなかった,100.0,24.7,23.1,4.4,3.2,0.9,1.6,1.3,0.3,1.3,0.3,1.9,0.3,-,3.5,1.6,0.3
選挙への関心度別関心がなかった,217,37,42,7,2,3,1,6,1,1,2,5,-,-,12,6,2
選挙への関心度別関心がなかった,100.0,17.1,19.4,3.2,0.9,1.4,0.5,2.8,0.5,0.5,0.9,2.3,-,-,5.5,2.8,0.9
選挙への関心度別どちらともいえない,298,89,84,32,16,2,5,6,-,-,3,20,2,-,21,12,6
選挙への関心度別どちらともいえない,100.0,29.9,28.2,10.7,5.4,0.7,1.7,2.0,-,-,1.0,6.7,0.7,-,7.0,4.0,2.0
選挙への関心度別わからない、答えたくない,10,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,100.0,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,609,212,176,144,80,3,19,21,4,8,14,22,12,-,92,54,9
投票への意識別必ず投票するべき,100.0,34.8,28.9,23.6,13.1,0.5,3.1,3.4,0.7,1.3,2.3,3.6,2.0,-,15.1,8.9,1.5
投票への意識別可能な限り投票するべき,845,274,255,137,80,11,29,33,4,6,10,32,12,1,101,63,17
投票への意識別可能な限り投票するべき,100.0,32.4,30.2,16.2,9.5,1.3,3.4,3.9,0.5,0.7,1.2,3.8,1.4,0.1,12.0,7.5,2.0
投票への意識別投票するのもしないのも自由,473,116,111,17,14,9,5,12,4,4,4,21,2,-,28,10,7
投票への意識別投票するのもしないのも自由,100.0,24.5,23.5,3.6,3.0,1.9,1.1,2.5,0.8,0.8,0.8,4.4,0.4,-,5.9,2.1,1.5
投票への意識別その他,8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-
投票への意識別その他,100.0,-,12.5,-,-,-,-,-,-,-,-,-,-,-,-,12.5,-
投票への意識別わからない,62,4,10,2,2,-,-,-,-,-,-,1,-,-,1,1,1
投票への意識別わからない,100.0,6.5,16.1,3.2,3.2,-,-,-,-,-,-,1.6,-,-,1.6,1.6,1.6
投票への参加状況別投票した（計）,999,364,324,242,137,16,42,49,12,14,22,44,22,1,147,93,28
投票への参加状況別投票した（計）,100.0,36.4,32.4,24.2,13.7,1.6,4.2,4.9,1.2,1.4,2.2,4.4,2.2,0.1,14.7,9.3,2.8
投票への参加状況別投票日（２月９日）に投票した,827,298,262,203,105,12,32,37,11,12,15,38,11,-,113,77,18
投票への参加状況別投票日（２月１０日）に投票した,100.0,36.0,31.7,24.5,12.7,1.5,3.9,4.5,1.3,1.5,1.8,4.6,1.3,-,13.7,9.3,2.2
投票への参加状況別期日前投票（又は不在者投票等）をした,172,66,62,39,32,4,10,12,1,2,7,6,11,1,34,16,10
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,38.4,36.0,22.7,18.6,2.3,5.8,7.0,0.6,1.2,4.1,3.5,6.4,0.6,19.8,9.3,5.8
投票への参加状況別投票しなかった,963,232,219,57,38,5,11,17,-,4,5,31,4,-,75,34,6
投票への参加状況別投票しなかった,100.0,24.1,22.7,5.9,3.9,0.5,1.1,1.8,-,0.4,0.5,3.2,0.4,-,7.8,3.5,0.6
投票への参加状況別答えたくない,42,10,11,1,1,2,-,-,-,-,1,1,-,-,1,1,-
投票への参加状況別答えたくない,100.0,23.8,26.2,2.4,2.4,4.8,-,-,-,-,2.4,2.4,-,-,2.4,2.4,-
ネット投票の認知度別知っている,1291,426,357,221,133,15,40,37,9,12,23,54,19,1,162,100,33
ネット投票の認知度別知っている,100.0,33.0,27.7,17.1,10.3,1.2,3.1,2.9,0.7,0.9,1.8,4.2,1.5,0.1,12.5,7.7,2.6
ネット投票の認知度別知らなかった,645,163,178,70,39,8,13,26,2,5,5,14,6,-,60,22,1
ネット投票の認知度別知らなかった,100.0,25.3,27.6,10.9,6.0,1.2,2.0,4.0,0.3,0.8,0.8,2.2,0.9,-,9.3,3.4,0.2
インターネットの利用有無別インターネットを利用している,1176,407,307,164,102,15,33,40,5,9,23,40,16,1,142,68,32
インターネットの利用有無別インターネットを利用している,100.0,34.6,26.1,13.9,8.7,1.3,2.8,3.4,0.4,0.8,2.0,3.4,1.4,0.1,12.1,5.8,2.7
インターネットの利用有無別インターネットを利用していない,832,199,245,136,74,8,20,26,7,9,5,36,10,-,81,61,2
インターネットの利用有無別インターネットを利用していない,100.0,23.9,29.4,16.3,8.9,1.0,2.4,3.1,0.8,1.1,0.6,4.3,1.2,-,9.7,7.3,0.2
新聞の定期購読別定期購読している,1206,399,353,265,139,14,30,35,8,11,15,50,17,1,153,98,16
新聞の定期購読別定期購読している,100.0,33.1,29.3,22.0,11.5,1.2,2.5,2.9,0.7,0.9,1.2,4.1,1.4,0.1,12.7,8.1,1.3
新聞の定期購読別定期購読していない,796,207,199,35,37,9,23,31,4,7,13,25,9,-,69,31,18
新聞の定期購読別定期購読していない,100.0,26.0,25.0,4.4,4.6,1.1,2.9,3.9,0.5,0.9,1.6,3.1,1.1,-,8.7,3.9,2.3
