,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,候補者等のポスター（％）,テレビ・ラジオの政見放送・経歴放送（％）,候補者等の新聞広告（％）,候補者等の街頭演説（％）,候補者のはがき・候補者等のビラ（％）,,
全体,1435,83.6,51.1,35.6,27.5,24.2,15.4,9.3,6.0,,
性別男性,673,80.8,53.8,39.4,27.0,23.8,15.2,9.1,5.8,,
性別女性,762,86.1,48.7,32.3,27.8,24.5,15.6,9.6,6.2,,
年齢別18歳,6,100.0,50.0,-,33.3,16.7,16.7,16.7,-,,
年齢別19歳,10,70.0,30.0,30.0,10.0,10.0,-,10.0,10.0,,
年齢別20歳代,88,69.3,34.1,27.3,22.7,23.9,9.1,5.7,3.4,,
年齢別30歳代,199,85.9,40.2,27.1,34.2,22.6,17.6,12.1,6.0,,
年齢別40歳代,327,84.7,39.8,29.1,33.6,25.1,16.8,10.7,9.2,,
年齢別50歳代,260,86.9,60.4,40.4,26.9,23.1,16.2,6.9,5.8,,
年齢別60歳代,296,84.8,60.5,41.2,22.3,27.4,12.2,9.5,3.4,,
年齢別70歳代,185,81.6,60.0,44.9,23.2,22.7,15.7,10.3,5.9,,
年齢別80歳以上,64,78.1,62.5,39.1,21.9,21.9,23.4,4.7,6.3,,
