質問,n,都政をよくするためには、投票することが大切だと思ったから(%),投票することは、義務であるから(%),投票することは、権利であるから(%),当選させたい候補者がいたから(%),今の政治がよくないので、変えたいと思ったから(%),自分の支持する政党の推す候補者を当選させたかったから(%),テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから(%),投票率が気になったから(%)
全体,(999),56.7,40.9,34.0,29.3,18.7,8.8,7.3,4.7
性別男性,(485),51.8,44.7,33.6,30.7,18.1,10.5,6.0,4.9
性別女性,(514),61.3,37.4,34.4,28.0,19.3,7.2,8.6,4.5
年齢別20歳代,(52),48.1,46.2,42.3,25.0,15.4,3.8,15.4,0
年齢別30歳代,(145),49.7,33.1,39.3,31.0,20.0,6.2,7.6,4.1
年齢別40歳代,(217),59.9,38.2,32.7,24.4,13.8,5.1,6.0,4.6
年齢別50歳代,(178),57.3,38.2,29.2,29.2,24.7,7.9,7.3,5.1
年齢別60歳代,(213),59.2,44.1,38.5,31.9,20.7,11.3,6.1,4.2
年齢別70歳代,(151),57.0,46.4,27.8,33.1,17.2,13.2,7.9,6.6
年齢別80歳以上,(36),55.6,50.0,30.6,30.6,13.9,22.2,5.6,5.6
