,調査数,候補者・政党等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者・政党以外のホームページ・ブログ,候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,その他,わからない、忘れた,無回答
全体実数,212,86,32,4,20,43,29,117,34,6,5,2
全体（％）,100.0,40.6,15.1,1.9,9.4,20.3,13.7,55.2,16.0,2.8,2.4,0.9
性別男性実数,141,55,18,4,15,27,14,74,21,4,5,1
性別男性（％）,100.0,39.0,12.8,2.8,10.6,19.1,9.9,52.5,14.9,2.8,3.5,0.7
性別女性実数,71,31,14,-,5,16,15,43,13,2,-,1
性別女性（％）,100.0,43.7,19.7,-,7.0,22.5,21.1,60.6,18.3,2.8,-,1.4
年齢別20歳代実数,30,9,6,-,4,9,9,14,11,1,1,-
年齢別20歳代（％）,100.0,30.0,20.0,-,13.3,30.0,30.0,46.7,36.7,3.3,3.3,-
年齢別30歳代実数,43,17,11,-,5,11,7,25,9,-,1,-
年齢別30歳代（％）,100.0,39.5,25.6,-,11.6,25.6,16.3,58.1,20.9,-,2.3,-
年齢別40歳代実数,69,30,10,-,5,9,9,40,12,-,2,2
年齢別40歳代（％）,100.0,43.5,14.5,-,7.2,13.0,13.0,58.0,17.4,-,2.9,2.9
年齢別50歳代実数,36,14,3,-,4,9,2,24,2,1,-,-
年齢別50歳代（％）,100.0,38.9,8.3,-,11.1,25.0,5.6,66.7,5.6,2.8,-,-
年齢別60歳代実数,24,13,1,2,1,5,1,12,-,1,1,-
年齢別60歳代（％）,100.0,54.2,4.2,8.3,4.2,20.8,4.2,50.0,-,4.2,4.2,-
年齢別70歳代実数,9,2,1,2,1,-,1,2,-,3,-,-
年齢別70歳代（％）,100.0,22.2,11.1,22.2,11.1,-,11.1,22.2,-,33.3,-,-
年齢別80歳以上実数,1,1,-,-,-,-,-,-,-,-,-,-
年齢別80歳以上（％）,100.0,100.0,-,-,-,-,-,-,-,-,-,-
性/年齢別男性20歳代実数,17,4,3,-,3,3,4,7,8,-,1,-
性/年齢別男性20歳代（％）,100.0,23.5,17.6,-,17.6,17.6,23.5,41.2,47.1,-,5.9,-
性/年齢別男性30歳代実数,26,11,7,-,4,6,2,12,5,-,1,-
性/年齢別男性30歳代（％）,100.0,42.3,26.9,-,15.4,23.1,7.7,46.2,19.2,-,3.8,-
性/年齢別男性40歳代実数,45,19,6,-,4,7,5,25,6,-,2,1
性/年齢別男性40歳代（％）,100.0,42.2,13.3,-,8.9,15.6,11.1,55.6,13.3,-,4.4,2.2
性/年齢別男性50歳代実数,29,10,1,-,3,8,1,20,2,1,-,-
性/年齢別男性50歳代（％）,100.0,34.5,3.4,-,10.3,27.6,3.4,69.0,6.9,3.4,-,-
性/年齢別男性60歳代実数,16,8,-,2,1,3,1,8,-,1,1,-
性/年齢別男性60歳代（％）,100.0,50.0,-,12.5,6.3,18.8,6.3,50.0,-,6.3,6.3,-
性/年齢別男性70歳代実数,7,2,1,2,-,-,1,2,-,2,-,-
性/年齢別男性70歳代（％）,100.0,28.6,14.3,28.6,-,-,14.3,28.6,-,28.6,-,-
性/年齢別男性80歳以上実数,1,1,-,-,-,-,-,-,-,-,-,-
性/年齢別男性80歳以上（％）,100.0,100.0,-,-,-,-,-,-,-,-,-,-
性/年齢別女性20歳代実数,13,5,3,-,1,6,5,7,3,1,-,-
