,調査数,投票日(2月9日)に投票した,期日前投票(又は不在者投票等)をした,投票しなかった,答えたくない,無回答,,
全体,2011,827,172,963,42,7,,
全体,100.0,41.1,8.6,47.9,2.1,0.3,,
地域別区部（計）,1392,610,120,634,25,3,,
地域別区部（計）,100.0,43.8,8.6,45.5,1.8,0.2,,
地域別センターコア,372,179,37,147,9,-,,
地域別センターコア,100.0,48.1,9.9,39.5,2.4,-,,
地域別区部東部・北部エリア,408,156,44,201,6,1,,
地域別区部東部・北部エリア,100.0,38.2,10.8,49.3,1.5,0.2,,
地域別区部西部・南部エリア,612,275,39,286,10,2,,
地域別区部西部・南部エリア,100.0,44.9,6.4,46.7,1.6,0.3,,
地域別市郡部（計）,619,217,52,329,17,4,,
地域別市郡部（計）,100.0,35.1,8.4,53.2,2.7,0.6,,
地域別多摩東部エリア,235,72,17,133,12,1,,
地域別多摩東部エリア,100.0,30.6,7.2,56.6,5.1,0.4,,
地域別多摩中央部北エリア,88,32,8,45,2,1,,
地域別多摩中央部北エリア,100.0,36.4,9.1,51.1,2.3,1.1,,
地域別多摩中央部南エリア,261,106,23,127,3,2,,
地域別多摩中央部南エリア,100.0,40.6,8.8,48.7,1.1,0.8,,
地域別多摩西部エリア,35,7,4,24,-,-,,
地域別多摩西部エリア,100.0,20.0,11.4,68.6,-,-,,
選挙への関心度別関心があった（計）,1170,698,155,308,7,2,,
選挙への関心度別関心があった（計）,100.0,59.7,13.2,26.3,0.6,0.2,,
選挙への関心度別関心があった,636,425,105,104,1,1,,
選挙への関心度別関心があった,100.0,66.8,16.5,16.4,0.2,0.2,,
選挙への関心度別やや関心があった,534,273,50,204,6,1,,
選挙への関心度別やや関心があった,100.0,51.1,9.4,38.2,1.1,0.2,,
選挙への関心度別関心がなかった（計）,533,61,9,437,23,3,,
選挙への関心度別関心がなかった（計）,100.0,11.4,1.7,82.0,4.3,0.6,,
選挙への関心度別あまり関心がなかった,316,52,7,247,10,-,,
選挙への関心度別あまり関心がなかった,100.0,16.5,2.2,78.2,3.2,-,,
選挙への関心度別関心がなかった,217,9,2,190,13,3,,
選挙への関心度別関心がなかった,100.0,4.1,0.9,87.6,6.0,1.4,,
選挙への関心度別どちらともいえない,298,68,8,211,9,2,,
選挙への関心度別どちらともいえない,100.0,22.8,2.7,70.8,3.0,0.7,,
選挙への関心度別わからない、答えたくない,10,-,-,7,3,-,,
選挙への関心度別わからない、答えたくない,100.0,-,-,70.0,30.0,-,,
投票への意識別必ず投票するべき,609,438,103,66,2,-,,
投票への意識別必ず投票するべき,100.0,71.9,16.9,10.8,0.3,-,,
投票への意識別可能な限り投票するべき,845,335,61,435,10,4,,
投票への意識別可能な限り投票するべき,100.0,39.6,7.2,51.5,1.2,0.5,,
投票への意識別投票するのもしないのも自由,473,49,7,399,16,2,,
投票への意識別投票するのもしないのも自由,100.0,10.4,1.5,84.4,3.4,0.4,,
投票への意識別その他,8,-,-,8,-,-,,
投票への意識別その他,100.0,-,-,100.0,-,-,,
投票への意識別わからない,62,2,1,45,13,1,,
投票への意識別わからない,100.0,3.2,1.6,72.6,21.0,1.6,,
投票への参加状況別投票した（計）,999,827,172,-,-,-,,
投票への参加状況別投票した（計）,100.0,82.8,17.2,-,-,-,,
投票への参加状況別投票日（２月９日）に投票した,827,827,-,-,-,-,,
投票への参加状況別投票日（２月９日）に投票した,100.0,100.0,-,-,-,-,,
投票への参加状況別期日前投票（又は不在者投票等）をした,172,-,172,-,-,-,,
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,-,100.0,-,-,-,,
投票への参加状況別投票しなかった,963,-,-,963,-,-,,
投票への参加状況別投票しなかった,100.0,-,-,100.0,-,-,,
投票への参加状況別答えたくない,42,-,-,-,42,-,,
投票への参加状況別答えたくない,100.0,-,-,-,100.0,-,,
ネット投票の認知度別知っている,1291,606,127,539,15,4,,
ネット投票の認知度別知っている,100.0,46.9,9.8,41.8,1.2,0.3,,
ネット投票の認知度別知らなかった,645,200,42,375,25,3,,
ネット投票の認知度別知らなかった,100.0,31.0,6.5,58.1,3.9,0.5,,
インターネットの利用有無別インターネットを利用している,1176,444,99,602,26,5,,
インターネットの利用有無別インターネットを利用している,100.0,37.8,8.4,51.2,2.2,0.4,,
インターネットの利用有無別インターネットを利用していない,832,381,73,360,16,2,,
インターネットの利用有無別インターネットを利用していない,100.0,45.8,8.8,43.3,1.9,0.2,,
新聞の定期購読別定期購読している,1206,618,123,451,11,3,,
新聞の定期購読別定期購読している,100.0,51.2,10.2,37.4,0.9,0.2,,
新聞の定期購読別定期購読していない,796,205,49,508,30,4,,
新聞の定期購読別定期購読していない,100.0,25.8,6.2,63.8,3.8,0.5,,
