,Ｆ３調査数,Ｆ３未婚（死別・離別を含む）,Ｆ３既婚,Ｆ３無回答,Ｆ３－１調査数,Ｆ３－１子供はいない,Ｆ３－１未就学（～６歳）,Ｆ３－１小・中・高校生,Ｆ３－１大学生・大学院生・短大生・専門学校生,Ｆ３－１学校教育終了,Ｆ３－１その他,Ｆ３－１無回答
全体,2011,801,1188,22,2011,779,155,320,92,671,11,51
全体,100.0,39.8,59.1,1.1,100.0,38.7,7.7,15.9,4.6,33.4,0.5,2.5
性別男性,950,382,553,15,950,398,60,122,39,318,5,30
性別男性,100.0,40.2,58.2,1.6,100.0,41.9,6.3,12.8,4.1,33.5,0.5,3.2
性別女性,1061,419,635,7,1061,381,95,198,53,353,6,21
性別女性,100.0,39.5,59.8,0.7,100.0,35.9,9.0,18.7,5.0,33.3,0.6,2.0
年齢20歳代,295,274,21,-,295,271,5,3,2,-,-,15
年齢20歳代,100.0,92.9,7.1,-,100.0,91.9,1.7,1.0,0.7,-,-,5.1
年齢30歳代,355,170,182,3,355,207,89,55,1,1,-,14
年齢30歳代,100.0,47.9,51.3,0.8,100.0,58.3,25.1,15.5,0.3,0.3,-,3.9
年齢40歳代,398,116,280,2,398,139,56,192,19,12,1,3
年齢40歳代,100.0,29.1,70.4,0.5,100.0,34.9,14.1,48.2,4.8,3.0,0.3,0.8
年齢50歳代,293,68,222,3,293,69,1,61,61,120,1,4
年齢50歳代,100.0,23.2,75.8,1.0,100.0,23.5,0.3,20.8,20.8,41.0,0.3,1.4
年齢60歳代,327,58,264,5,327,50,-,5,7,261,2,4
年齢60歳代,100.0,17.7,80.7,1.5,100.0,15.3,-,1.5,2.1,79.8,0.6,1.2
年齢70歳代,232,63,165,4,232,30,-,-,1,195,5,3
年齢70歳代,100.0,27.2,71.1,1.7,100.0,12.9,-,-,0.4,84.1,2.2,1.3
年齢80歳以上,90,46,41,3,90,7,-,-,-,75,2,6
年齢80歳以上,100.0,51.1,45.6,3.3,100.0,7.8,-,-,-,83.3,2.2,6.7
性／年齢別男性20歳代,143,135,8,-,143,134,1,-,-,-,-,8
性／年齢別男性20歳代,100.0,94.4,5.6,-,100.0,93.7,0.7,-,-,-,-,5.6
性／年齢別男性30歳代,153,71,80,2,153,94,35,17,-,-,-,8
性／年齢別男性30歳代,100.0,46.4,52.3,1.3,100.0,61.4,22.9,11.1,-,-,-,5.2
性／年齢別男性40歳代,176,68,107,1,176,78,23,69,7,6,-,2
性／年齢別男性40歳代,100.0,38.6,60.8,0.6,100.0,44.3,13.1,39.2,4.0,3.4,-,1.1
性／年齢別男性50歳代,148,34,111,3,148,39,1,32,27,58,-,1
性／年齢別男性50歳代,100.0,23.0,75.0,2.0,100.0,26.4,0.7,21.6,18.2,39.2,-,0.7
性／年齢別男性60歳代,169,33,133,3,169,30,-,3,5,129,2,2
性／年齢別男性60歳代,100.0,19.5,78.7,1.8,100.0,17.8,-,1.8,3.0,76.3,1.2,1.2
性／年齢別男性70歳代,118,29,86,3,118,19,-,-,-,93,3,3
性／年齢別男性70歳代,100.0,24.6,72.9,2.5,100.0,16.1,-,-,-,78.8,2.5,2.5
性／年齢別男性80歳以上,39,11,26,2,39,3,-,-,-,31,-,5
性／年齢別男性80歳以上,100.0,28.2,66.7,5.1,100.0,7.7,-,-,-,79.5,-,12.8
性／年齢別女性20歳代,152,139,13,-,152,137,4,3,2,-,-,7
性／年齢別女性20歳代,100.0,91.4,8.6,-,100.0,90.1,2.6,2.0,1.3,-,-,4.6
性／年齢別女性30歳代,202,99,102,1,202,113,54,38,1,1,-,6
性／年齢別女性30歳代,100.0,49.0,50.5,0.5,100.0,55.9,26.7,18.8,0.5,0.5,-,3.0
性／年齢別女性40歳代,222,48,173,1,222,61,33,123,12,6,1,1
性／年齢別女性40歳代,100.0,21.6,77.9,0.5,100.0,27.5,14.9,55.4,5.4,2.7,0.5,0.5
性／年齢別女性50歳代,145,34,111,-,145,30,-,29,34,62,1,3
性／年齢別女性50歳代,100.0,23.4,76.6,-,100.0,20.7,-,20.0,23.4,42.8,0.7,2.1
性／年齢別女性60歳代,158,25,131,2,158,20,-,2,2,132,-,2
性／年齢別女性60歳代,100.0,15.8,82.9,1.3,100.0,12.7,-,1.3,1.3,83.5,-,1.3
性／年齢別女性70歳代,114,34,79,1,114,11,-,-,1,102,2,-
性／年齢別女性70歳代,100.0,29.8,69.3,0.9,100.0,9.6,-,-,0.9,89.5,1.8,-
性／年齢別女性80歳以上,51,35,15,1,51,4,-,-,-,44,2,1
性／年齢別女性80歳以上,100.0,68.6,29.4,2.0,100.0,7.8,-,-,-,86.3,3.9,2.0
未・既婚別未婚（死別・離別を含む）,801,801,-,-,801,631,2,17,4,117,6,29
未・既婚別未婚（死別・離別を含む）,100.0,100.0,-,-,100.0,78.8,0.2,2.1,0.5,14.6,0.7,3.6
未・既婚別既婚,1188,-,1188,-,1188,148,153,301,86,550,4,8
未・既婚別既婚,100.0,-,100.0,-,100.0,12.5,12.9,25.3,7.2,46.3,0.3,0.7
子供の有無別子供はいない,779,631,148,-,779,779,-,-,-,-,-,-
子供の有無別子供はいない,100.0,81.0,19.0,-,100.0,100.0,-,-,-,-,-,-
子供の有無別未就学（～６歳）,155,2,153,-,155,-,155,23,-,-,-,-
子供の有無別未就学（～６歳）,100.0,1.3,98.7,-,100.0,-,100.0,14.8,-,-,-,-
子供の有無別小・中・高校生,320,17,301,2,320,-,23,320,18,7,-,-
子供の有無別小・中・高校生,100.0,5.3,94.1,0.6,100.0,-,7.2,100.0,5.6,2.2,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,92,4,86,2,92,-,-,18,92,18,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,4.3,93.5,2.2,100.0,-,-,19.6,100.0,19.6,1.1,-
子供の有無別学校教育終了,671,117,550,4,671,-,-,7,18,671,1,-
子供の有無別学校教育終了,100.0,17.4,82.0,0.6,100.0,-,-,1.0,2.7,100.0,0.1,-
子供の有無別その他,11,6,4,1,11,-,-,-,1,1,11,-
子供の有無別その他,100.0,54.5,36.4,9.1,100.0,-,-,-,9.1,9.1,100.0,-
職業別自営業（計）,174,79,95,-,174,83,8,24,5,52,1,5
職業別自営業（計）,100.0,45.4,54.6,-,100.0,47.7,4.6,13.8,2.9,29.9,0.6,2.9
職業別農林漁業,2,1,1,-,2,1,-,-,-,1,-,-
職業別農林漁業,100.0,50.0,50.0,-,100.0,50.0,-,-,-,50.0,-,-
職業別商工・サービス業,71,34,37,-,71,32,3,12,3,19,-,3
職業別商工・サービス業,100.0,47.9,52.1,-,100.0,45.1,4.2,16.9,4.2,26.8,-,4.2
職業別その他自由業,101,44,57,-,101,50,5,12,2,32,1,2
職業別その他自由業,100.0,43.6,56.4,-,100.0,49.5,5.0,11.9,2.0,31.7,1.0,2.0
職業別お勤め（計）,981,500,475,6,981,528,77,156,56,177,3,23
職業別お勤め（計）,100.0,51.0,48.4,0.6,100.0,53.8,7.8,15.9,5.7,18.0,0.3,2.3
職業別経営・管理職,109,20,88,1,109,25,7,24,14,46,1,1
職業別経営・管理職,100.0,18.3,80.7,0.9,100.0,22.9,6.4,22.0,12.8,42.2,0.9,0.9
職業別専門職・技術職,261,120,139,2,261,132,26,44,11,54,1,6
職業別専門職・技術職,100.0,46.0,53.3,0.8,100.0,50.6,10.0,16.9,4.2,20.7,0.4,2.3
職業別事務職,305,173,131,1,305,178,21,48,17,42,-,9
職業別事務職,100.0,56.7,43.0,0.3,100.0,58.4,6.9,15.7,5.6,13.8,-,3.0
職業別労務職・技能職,89,48,41,-,89,53,7,13,3,13,-,1
職業別労務職・技能職,100.0,53.9,46.1,-,100.0,59.6,7.9,14.6,3.4,14.6,-,1.1
職業別販売・サービス職,217,139,76,2,217,140,16,27,11,22,1,6
職業別販売・サービス職,100.0,64.1,35.0,0.9,100.0,64.5,7.4,12.4,5.1,10.1,0.5,2.8
職業別その他（計）,841,221,615,5,841,167,70,139,30,441,7,11
職業別その他（計）,100.0,26.3,73.1,0.6,100.0,19.9,8.3,16.5,3.6,52.4,0.8,1.3
職業別学生,53,50,3,-,53,49,-,1,2,-,-,1
職業別学生,100.0,94.3,5.7,-,100.0,92.5,-,1.9,3.8,-,-,1.9
職業別専業主婦（夫）,391,9,380,2,391,26,64,120,22,173,1,2
職業別専業主婦（夫）,100.0,2.3,97.2,0.5,100.0,6.6,16.4,30.7,5.6,44.2,0.3,0.5
職業別その他,62,29,33,-,62,25,5,15,3,17,1,1
職業別その他,100.0,46.8,53.2,-,100.0,40.3,8.1,24.2,4.8,27.4,1.6,1.6
職業別無職（年金受給者含む）,335,133,199,3,335,67,1,3,3,251,5,7
職業別無職（年金受給者含む）,100.0,39.7,59.4,0.9,100.0,20.0,0.3,0.9,0.9,74.9,1.5,2.1
投票所までの時間別５分以内,636,253,380,3,636,229,49,111,38,222,4,12
投票所までの時間別５分以内,100.0,39.8,59.7,0.5,100.0,36.0,7.7,17.5,6.0,34.9,0.6,1.9
投票所までの時間別10分以内,1060,444,610,6,1060,450,75,163,45,328,5,25
投票所までの時間別10分以内,100.0,41.9,57.5,0.6,100.0,42.5,7.1,15.4,4.2,30.9,0.5,2.4
投票所までの時間別20分以内,221,70,148,3,221,68,19,37,7,94,1,3
投票所までの時間別20分以内,100.0,31.7,67.0,1.4,100.0,30.8,8.6,16.7,3.2,42.5,0.5,1.4
投票所までの時間別30分以内,50,23,27,-,50,24,8,8,1,8,1,-
投票所までの時間別30分以内,100.0,46.0,54.0,-,100.0,48.0,16.0,16.0,2.0,16.0,2.0,-
投票所までの時間別30分を超える,26,3,21,2,26,4,4,1,1,16,-,-
投票所までの時間別30分を超える,100.0,11.5,80.8,7.7,100.0,15.4,15.4,3.8,3.8,61.5,-,-
地域別区部（計）,1392,609,774,9,1392,598,118,196,62,423,5,37
地域別区部（計）,100.0,43.8,55.6,0.6,100.0,43.0,8.5,14.1,4.5,30.4,0.4,2.7
地域別センターコア,372,163,208,1,372,174,26,38,15,122,3,4
地域別センターコア,100.0,43.8,55.9,0.3,100.0,46.8,7.0,10.2,4.0,32.8,0.8,1.1
地域別区部東部・北部エリア,408,187,220,1,408,184,49,59,11,119,1,5
地域別区部東部・北部エリア,100.0,45.8,53.9,0.2,100.0,45.1,12.0,14.5,2.7,29.2,0.2,1.2
地域別区部西部・南部エリア,612,259,346,7,612,240,43,99,36,182,1,28
地域別区部西部・南部エリア,100.0,42.3,56.5,1.1,100.0,39.2,7.0,16.2,5.9,29.7,0.2,4.6
地域別市郡部（計）,619,192,414,13,619,181,37,124,30,248,6,14
地域別市郡部（計）,100.0,31.0,66.9,2.1,100.0,29.2,6.0,20.0,4.8,40.1,1.0,2.3
地域別多摩東部エリア,235,79,153,3,235,73,11,45,12,90,1,3
地域別多摩東部エリア,100.0,33.6,65.1,1.3,100.0,31.1,4.7,19.1,5.1,38.3,0.4,1.3
地域別多摩中央部北エリア,88,22,65,1,88,21,9,20,7,38,1,1
地域別多摩中央部北エリア,100.0,25.0,73.9,1.1,100.0,23.9,10.2,22.7,8.0,43.2,1.1,1.1
地域別多摩中央部南エリア,261,81,173,7,261,78,17,48,10,110,4,6
地域別多摩中央部南エリア,100.0,31.0,66.3,2.7,100.0,29.9,6.5,18.4,3.8,42.1,1.5,2.3
地域別多摩西部エリア,35,10,23,2,35,9,-,11,1,10,-,4
地域別多摩西部エリア,100.0,28.6,65.7,5.7,100.0,25.7,-,31.4,2.9,28.6,-,11.4
