,ｎ,政党を重視（％）,候補者個人を重視した（％）,どちらともいえない（％）,わからない（％）,無回答（％）
全体,1246,56.5,24.1,17.7,1.2,0.5
性別男性,617,58.5,23.8,16.4,1.0,0.3
性別女性,629,54.5,24.3,19.1,1.4,0.6
年齢別20歳代,91,61.5,16.5,20.9,1.1,0.0
年齢別30歳代,161,54.0,19.9,21.1,5.0,0.0
年齢別40歳代,247,57.1,21.9,20.6,0.0,0.4
年齢別50歳代,195,53.8,26.7,17.9,1.0,0.5
年齢別60歳代,233,57.1,24.0,18.5,0.0,0.4
年齢別70歳代,239,57.3,29.3,10.5,1.7,1.3
年齢別80歳以上,80,56.3,26.3,17.5,0.0,0.0
職業別自営業,108,63.0,22.2,12.0,0.9,1.9
職業別勤め人,612,55.9,22.9,19.6,1.5,0.2
職業別学生,21,66.7,9.5,19.0,4.8,0.0
職業別専業主婦(夫),222,54.1,25.7,18.9,0.5,0.9
職業別その他,12,66.7,16.7,8.3,8.3,0.0
職業別無職(年金受給者含む),264,56.1,27.7,15.2,0.8,0.4
