,調査数,もともと政治や選挙そのものに関心があったから,もともと東京都政や東京都に関する選挙に関心があったから,候補者が訴える政策に関心があったから,候補者自身に関心があったから,平成28年6月に選挙権が18歳に引き下げられたから,その他
全体,1424,584,746,418,523,127,35
全体,100.0,41.0,52.4,29.4,36.7,8.9,2.5
性別男性,683,343,384,186,218,72,16
性別男性,100.0,50.2,56.2,27.2,31.9,10.5,2.3
性別女性,741,241,362,232,305,55,19
性別女性,100.0,32.5,48.9,31.3,41.2,7.4,2.6
年齢別18歳,5,1,1,-,2,4,-
年齢別18歳,100.0,20.0,20.0,-,40.0,80.0,-
年齢別19歳,8,2,1,-,-,4,1
年齢別19歳,100.0,25.0,12.5,-,-,50.0,12.5
年齢別20歳代,72,24,42,15,21,4,2
年齢別20歳代,100.0,33.3,58.3,20.8,29.2,5.6,2.8
年齢別30歳代,190,60,105,52,54,21,3
年齢別30歳代,100.0,31.6,55.3,27.4,28.4,11.1,1.6
年齢別40歳代,328,113,146,104,132,41,7
年齢別40歳代,100.0,34.5,44.5,31.7,40.2,12.5,2.1
年齢別50歳代,262,104,156,85,100,24,8
年齢別50歳代,100.0,39.7,59.5,32.4,38.2,9.2,3.1
年齢別60歳代,295,142,153,96,117,20,8
年齢別60歳代,100.0,48.1,51.9,32.5,39.7,6.8,2.7
年齢別70歳代,192,98,108,54,79,8,5
年齢別70歳代,100.0,51.0,56.3,28.1,41.1,4.2,2.6
年齢別80歳以上,72,40,34,12,18,1,1
年齢別80歳以上,100.0,55.6,47.2,16.7,25.0,1.4,1.4
性/年齢別男性18歳,1,-,-,-,1,-,-
性/年齢別男性18歳,100.0,-,-,-,100.0,-,-
性/年齢別男性19歳,7,2,1,-,-,3,1
性/年齢別男性19歳,100.0,28.6,14.3,-,-,42.9,14.3
性/年齢別男性20歳代,34,11,23,6,7,1,1
性/年齢別男性20歳代,100.0,32.4,67.6,17.6,20.6,2.9,2.9
性/年齢別男性30歳代,95,37,52,26,24,15,1
