質問,n,よく読んだ(%),一通りざっと読んだ(%),一部分だけ読んだ(%),読まなかった(%),無回答(%),読んだ(計)(%)
全体,(1086),15.4,60.6,14.8,8.6,0.6,90.8
性別男性,(512),17.8,59.0,16.0,6.4,0.8,92.8
性別女性,(574),13.2,62.0,13.8,10.5,0.5,89.0
年齢別20歳代,(55),12.7,50.9,21.8,14.5,0,85.5
年齢別30歳代,(171),12.9,59.1,14.6,11.7,1.8,86.5
年齢別40歳代,(226),12.4,60.6,18.6,7.5,0.9,91.6
年齢別50歳代,(187),12.8,59.9,18.7,8.6,0,91.4
年齢別60歳代,(223),17.0,63.2,12.1,7.6,0,92.4
年齢別70歳代,(149),22.1,63.8,8.7,4.0,1.3,94.6
年齢別80歳以上,(55),23.6,56.4,9.1,10.9,0,89.1
職業別自営業,(83),19.3,49.4,21.7,9.6,0,90.4
職業別勤め人,(478),14.0,59.2,17.6,8.2,1.0,90.8
職業別学生,(11),27.3,36.4,18.2,18.2,0,81.8
職業別専業主婦(夫),(266),10.5,66.9,12.8,9.0,0.8,90.2
職業別その他,(31),12.9,71.0,6.5,9.7,0,90.3
職業別無職,(212),23.1,59.0,9.9,8.0,0,92.0
