,投票率(%),n,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,無回答（％）,関心があった（計）（％）,関心がなかった（計）（％）,備考
今回選挙,59.73,1823,42.2,35.9,11.5,4.9,4.7,0.0,0.8,78.1,9.6,
平成26年東京都知事選挙,46.14,2011,31.6,26.6,14.8,15.7,10.8,0.5,0.0,58.2,26.5,
平成24年東京都知事選挙,62.60,1822,41.9,24.8,13.2,11.6,7.0,0.2,1.3,66.7,18.6,
平成23年東京都知事選挙,57.80,1991,44.2,26.6,8.3,13.9,6.4,0.2,0.4,70.9,20.3,
平成19年東京都知事選挙,54.35,1820,49.3,25.5,7.4,12.5,5.1,,0.2,74.8,17.6,
平成15年東京都知事選挙,44.94,1024,30.6,38.3,8.7,17.9,4.4,0.2,,68.8,22.3,
平成11年東京都知事選挙,57.87,1135,48.4,32.2,1.7,13.3,4.1,0.4,,80.6,17.4,
平成7年東京都知事選挙,50.67,1123,66.1,,13.2,,20.6,0.2,,66.1,20.6,
平成3年東京都知事選挙,51.56,1141,73.1,,9.1,,17.8,,,73.1,17.8,
,,,,,,,,,,,,注：平成24年及び平成23年の選択肢は「わからない」が「わからない、答えたくない」
,,,,,,,,,,,,平成19年の選択肢は平成24年及び平成23年の選択肢から「わからない、答えたくない」を除いたもの。
,,,,,,,,,,,,平成15年及び平成11年の選択肢は「かなり関心があった」「少しは関心があった」「どちらともいえない」「あまり関心がなかった」「まったく関心がなかった」「わからない、答えたくない」
,,,,,,,,,,,,平成7年及び平成3年の選択肢は、「関心があった」「関心がなかった」「どちらともいえない」
