,調査数,農林漁業,商工・サービス業,その他自由業,経営・管理職,専門職・技術職,事務職,労務職・技能職,販売・サービス職,学生,専業主婦（夫）,その他,無職（年金受給者含む）,無回答
全体,2011,2,71,101,109,261,305,89,217,53,391,62,335,15
全体,100.0,0.1,3.5,5.0,5.4,13.0,15.2,4.4,10.8,2.6,19.4,3.1,16.7,0.7
性別男性,950,2,46,71,93,199,98,83,106,23,6,17,195,11
性別男性,100.0,0.2,4.8,7.5,9.8,20.9,10.3,8.7,11.2,2.4,0.6,1.8,20.5,1.2
性別女性,1061,-,25,30,16,62,207,6,111,30,385,45,140,4
性別女性,100.0,-,2.4,2.8,1.5,5.8,19.5,0.6,10.5,2.8,36.3,4.2,13.2,0.4
年齢20歳代,295,-,7,3,3,52,65,22,72,51,3,13,3,1
年齢20歳代,100.0,-,2.4,1.0,1.0,17.6,22.0,7.5,24.4,17.3,1.0,4.4,1.0,0.3
年齢30歳代,355,-,14,11,10,68,99,18,54,-,63,8,7,3
年齢30歳代,100.0,-,3.9,3.1,2.8,19.2,27.9,5.1,15.2,-,17.7,2.3,2.0,0.8
年齢40歳代,398,-,14,26,31,58,65,21,47,2,101,20,11,2
年齢40歳代,100.0,-,3.5,6.5,7.8,14.6,16.3,5.3,11.8,0.5,25.4,5.0,2.8,0.5
年齢50歳代,293,1,16,21,33,50,47,16,25,-,65,7,11,1
年齢50歳代,100.0,0.3,5.5,7.2,11.3,17.1,16.0,5.5,8.5,-,22.2,2.4,3.8,0.3
年齢60歳代,327,-,10,26,25,25,23,9,12,-,88,9,97,3
年齢60歳代,100.0,-,3.1,8.0,7.6,7.6,7.0,2.8,3.7,-,26.9,2.8,29.7,0.9
年齢70歳代,232,-,6,11,6,3,2,3,3,-,55,5,137,1
年齢70歳代,100.0,-,2.6,4.7,2.6,1.3,0.9,1.3,1.3,-,23.7,2.2,59.1,0.4
年齢80歳以上,90,1,3,2,1,1,1,-,1,-,10,-,68,2
年齢80歳以上,100.0,1.1,3.3,2.2,1.1,1.1,1.1,-,1.1,-,11.1,-,75.6,2.2
性／年齢別男性20歳代,143,-,5,3,3,33,13,21,32,23,1,7,1,1
性／年齢別男性20歳代,100.0,-,3.5,2.1,2.1,23.1,9.1,14.7,22.4,16.1,0.7,4.9,0.7,0.7
性／年齢別男性30歳代,153,-,7,8,7,53,24,16,32,-,-,-,4,2
性／年齢別男性30歳代,100.0,-,4.6,5.2,4.6,34.6,15.7,10.5,20.9,-,-,-,2.6,1.3
性／年齢別男性40歳代,176,-,7,17,28,43,25,20,22,-,2,5,6,1
性／年齢別男性40歳代,100.0,-,4.0,9.7,15.9,24.4,14.2,11.4,12.5,-,1.1,2.8,3.4,0.6
性／年齢別男性50歳代,148,1,14,11,30,44,18,14,12,-,-,-,3,1
性／年齢別男性50歳代,100.0,0.7,9.5,7.4,20.3,29.7,12.2,9.5,8.1,-,-,-,2.0,0.7
性／年齢別男性60歳代,169,-,7,21,20,20,15,9,6,-,1,3,65,2
性／年齢別男性60歳代,100.0,-,4.1,12.4,11.8,11.8,8.9,5.3,3.6,-,0.6,1.8,38.5,1.2
性／年齢別男性70歳代,118,-,3,9,5,3,2,3,2,-,2,2,86,1
性／年齢別男性70歳代,100.0,-,2.5,7.6,4.2,2.5,1.7,2.5,1.7,-,1.7,1.7,72.9,0.8
性／年齢別男性80歳以上,39,1,3,2,-,1,-,-,-,-,-,-,30,2
性／年齢別男性80歳以上,100.0,2.6,7.7,5.1,-,2.6,-,-,-,-,-,-,76.9,5.1
性／年齢別女性20歳代,152,-,2,-,-,19,52,1,40,28,2,6,2,-
性／年齢別女性20歳代,100.0,-,1.3,-,-,12.5,34.2,0.7,26.3,18.4,1.3,3.9,1.3,-
性／年齢別女性30歳代,202,-,7,3,3,15,75,2,22,-,63,8,3,1
性／年齢別女性30歳代,100.0,-,3.5,1.5,1.5,7.4,37.1,1.0,10.9,-,31.2,4.0,1.5,0.5
性／年齢別女性40歳代,222,-,7,9,3,15,40,1,25,2,99,15,5,1
性／年齢別女性40歳代,100.0,-,3.2,4.1,1.4,6.8,18.0,0.5,11.3,0.9,44.6,6.8,2.3,0.5
性／年齢別女性50歳代,145,-,2,10,3,6,29,2,13,-,65,7,8,-
性／年齢別女性50歳代,100.0,-,1.4,6.9,2.1,4.1,20.0,1.4,9.0,-,44.8,4.8,5.5,-
性／年齢別女性60歳代,158,-,3,5,5,5,8,-,6,-,87,6,32,1
性／年齢別女性60歳代,100.0,-,1.9,3.2,3.2,3.2,5.1,-,3.8,-,55.1,3.8,20.3,0.6
性／年齢別女性70歳代,114,-,3,2,1,-,-,-,1,-,53,3,51,-
性／年齢別女性70歳代,100.0,-,2.6,1.8,0.9,-,-,-,0.9,-,46.5,2.6,44.7,-
性／年齢別女性80歳以上,51,-,-,-,1,-,1,-,1,-,10,-,38,-
性／年齢別女性80歳以上,100.0,-,-,-,2.0,-,2.0,-,2.0,-,19.6,-,74.5,-
未・既婚別未婚（死別・離別を含む）,801,1,34,44,20,120,173,48,139,50,9,29,133,1
未・既婚別未婚（死別・離別を含む）,100.0,0.1,4.2,5.5,2.5,15.0,21.6,6.0,17.4,6.2,1.1,3.6,16.6,0.1
未・既婚別既婚,1188,1,37,57,88,139,131,41,76,3,380,33,199,3
未・既婚別既婚,100.0,0.1,3.1,4.8,7.4,11.7,11.0,3.5,6.4,0.3,32.0,2.8,16.8,0.3
子供の有無別子供はいない,779,1,32,50,25,132,178,53,140,49,26,25,67,1
子供の有無別子供はいない,100.0,0.1,4.1,6.4,3.2,16.9,22.8,6.8,18.0,6.3,3.3,3.2,8.6,0.1
子供の有無別未就学（～６歳）,155,-,3,5,7,26,21,7,16,-,64,5,1,-
子供の有無別未就学（～６歳）,100.0,-,1.9,3.2,4.5,16.8,13.5,4.5,10.3,-,41.3,3.2,0.6,-
子供の有無別小・中・高校生,320,-,12,12,24,44,48,13,27,1,120,15,3,1
子供の有無別小・中・高校生,100.0,-,3.8,3.8,7.5,13.8,15.0,4.1,8.4,0.3,37.5,4.7,0.9,0.3
子供の有無別大学生・大学院生・短大生・専門学校生,92,-,3,2,14,11,17,3,11,2,22,3,3,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,-,3.3,2.2,15.2,12.0,18.5,3.3,12.0,2.2,23.9,3.3,3.3,1.1
子供の有無別学校教育終了,671,1,19,32,46,54,42,13,22,-,173,17,251,1
子供の有無別学校教育終了,100.0,0.1,2.8,4.8,6.9,8.0,6.3,1.9,3.3,-,25.8,2.5,37.4,0.1
子供の有無別その他,11,-,-,1,1,1,-,-,1,-,1,1,5,-
