,ｎ,家族と話しをした（された）（％）,友人・同僚と話しをした（された）（％）,その他（％）,話しはしていない（％）,,,,
全体,1746,47.3,16.6,0.4,45.5,,,,
性別男性,826,45.6,18.0,0.5,47.0,,,,
性別女性,920,48.7,15.3,0.3,44.2,,,,
年齢別18歳,7,71.4,42.9,-,14.3,,,,
年齢別19歳,19,26.3,31.6,-,47.4,,,,
年齢別20歳代,162,22.2,22.8,0.6,64.2,,,,
年齢別30歳代,252,46.0,22.6,-,44.8,,,,
年齢別40歳代,393,57.3,20.4,0.3,36.1,,,,
年齢別50歳代,308,59.1,15.6,0.6,36.4,,,,
年齢別60歳代,314,45.5,12.1,-,47.8,,,,
年齢別70歳代,210,41.4,7.1,1.4,54.3,,,,
年齢別80歳以上,81,32.1,7.4,-,61.7,,,,
職業別自営業,131,50.4,21.4,2.3,38.2,,,,
職業別勤め人,803,46.8,21.8,0.1,44.0,,,,
職業別学生,46,30.4,28.3,-,52.2,,,,
職業別専業主婦(夫),388,57.5,13.7,0.3,38.4,,,,
職業別その他,25,28.0,20.0,4.0,56.0,,,,
職業別無職(年金受給者含む),353,39.4,4.5,0.3,58.1,,,,
