,参議院議員選挙/調査数,参議院議員選挙/日常的に使っている,参議院議員選挙/時々使っている,参議院議員選挙/ほとんど利用しない,東京都知事選挙/調査数,東京都知事選挙/日常的に使っている,東京都知事選挙/時々使っている,東京都知事選挙/ほとんど利用しない
全体,1055,929,121,5,1055,929,121,5
全体,100.0,88.1,11.5,0.5,100.0,88.1,11.5,0.5
性別男性,521,476,44,1,521,476,44,1
性別男性,100.0,91.4,8.4,0.2,100.0,91.4,8.4,0.2
性別女性,534,453,77,4,534,453,77,4
性別女性,100.0,84.8,14.4,0.7,100.0,84.8,14.4,0.7
年齢別18歳,7,7,-,-,7,7,-,-
年齢別18歳,100.0,100.0,-,-,100.0,100.0,-,-
年齢別19歳,20,20,-,-,20,20,-,-
年齢別19歳,100.0,100.0,-,-,100.0,100.0,-,-
年齢別20歳代,157,155,2,-,157,155,2,-
年齢別20歳代,100.0,98.7,1.3,-,100.0,98.7,1.3,-
年齢別30歳代,227,213,14,-,227,213,14,-
年齢別30歳代,100.0,93.8,6.2,-,100.0,93.8,6.2,-
年齢別40歳代,322,290,31,1,322,290,31,1
年齢別40歳代,100.0,90.1,9.6,0.3,100.0,90.1,9.6,0.3
年齢別50歳代,195,145,47,3,195,145,47,3
年齢別50歳代,100.0,74.4,24.1,1.5,100.0,74.4,24.1,1.5
年齢別60歳代,94,73,20,1,94,73,20,1
年齢別60歳代,100.0,77.7,21.3,1.1,100.0,77.7,21.3,1.1
年齢別70歳代,26,21,5,-,26,21,5,-
年齢別70歳代,100.0,80.8,19.2,-,100.0,80.8,19.2,-
年齢別80歳以上,7,5,2,-,7,5,2,-
年齢別80歳以上,100.0,71.4,28.6,-,100.0,71.4,28.6,-
性/年齢別男性18歳,1,1,-,-,1,1,-,-
性/年齢別男性18歳,100.0,100.0,-,-,100.0,100.0,-,-
性/年齢別男性19歳,12,12,-,-,12,12,-,-
性/年齢別男性19歳,100.0,100.0,-,-,100.0,100.0,-,-
性/年齢別男性20歳代,80,79,1,-,80,79,1,-
性/年齢別男性20歳代,100.0,98.8,1.3,-,100.0,98.8,1.3,-
性/年齢別男性30歳代,110,107,3,-,110,107,3,-
性/年齢別男性30歳代,100.0,97.3,2.7,-,100.0,97.3,2.7,-
性/年齢別男性40歳代,142,136,6,-,142,136,6,-
性/年齢別男性40歳代,100.0,95.8,4.2,-,100.0,95.8,4.2,-
性/年齢別男性50歳代,102,79,22,1,102,79,22,1
性/年齢別男性50歳代,100.0,77.5,21.6,1.0,100.0,77.5,21.6,1.0
性/年齢別男性60歳代,58,47,11,-,58,47,11,-
性/年齢別男性60歳代,100.0,81.0,19.0,-,100.0,81.0,19.0,-
性/年齢別男性70歳代,11,11,-,-,11,11,-,-
性/年齢別男性70歳代,100.0,100.0,-,-,100.0,100.0,-,-
性/年齢別男性80歳以上,5,4,1,-,5,4,1,-
性/年齢別男性80歳以上,100.0,80.0,20.0,-,100.0,80.0,20.0,-
性/年齢別女性18歳,6,6,-,-,6,6,-,-
性/年齢別女性18歳,100.0,100.0,-,-,100.0,100.0,-,-
性/年齢別女性19歳,8,8,-,-,8,8,-,-
性/年齢別女性19歳,100.0,100.0,-,-,100.0,100.0,-,-
性/年齢別女性20歳代,77,76,1,-,77,76,1,-
性/年齢別女性20歳代,100.0,98.7,1.3,-,100.0,98.7,1.3,-
性/年齢別女性30歳代,117,106,11,-,117,106,11,-
性/年齢別女性30歳代,100.0,90.6,9.4,-,100.0,90.6,9.4,-
性/年齢別女性40歳代,180,154,25,1,180,154,25,1
性/年齢別女性40歳代,100.0,85.6,13.9,0.6,100.0,85.6,13.9,0.6
性/年齢別女性50歳代,93,66,25,2,93,66,25,2
性/年齢別女性50歳代,100.0,71.0,26.9,2.2,100.0,71.0,26.9,2.2
性/年齢別女性60歳代,36,26,9,1,36,26,9,1
性/年齢別女性60歳代,100.0,72.2,25.0,2.8,100.0,72.2,25.0,2.8
