,参議院議員選挙/調査数,参議院議員選挙/子供はいない,参議院議員選挙/未就学（～６歳）,参議院議員選挙/小・中・高校生,参議院議員選挙/大学生・大学院生・短大生・専門学校生,参議院議員選挙/学校教育終了,参議院議員選挙/その他,東京都知事選挙/調査数,東京都知事選挙/子供はいない,東京都知事選挙/未就学（～６歳）,東京都知事選挙/小・中・高校生,東京都知事選挙/大学生・大学院生・短大生・専門学校生,東京都知事選挙/学校教育終了,東京都知事選挙/その他
全体,1823,404,114,394,144,791,60,1823,404,114,394,144,791,60
全体,100.0,22.2,6.3,21.6,7.9,43.4,3.3,100.0,22.2,6.3,21.6,7.9,43.4,3.3
性別男性,852,210,53,170,65,369,23,852,210,53,170,65,369,23
性別男性,100.0,24.6,6.2,20.0,7.6,43.3,2.7,100.0,24.6,6.2,20.0,7.6,43.3,2.7
性別女性,971,194,61,224,79,422,37,971,194,61,224,79,422,37
性別女性,100.0,20.0,6.3,23.1,8.1,43.5,3.8,100.0,20.0,6.3,23.1,8.1,43.5,3.8
年齢別18歳,7,7,-,-,-,-,-,7,7,-,-,-,-,-
年齢別18歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
年齢別19歳,20,20,-,-,-,-,-,20,20,-,-,-,-,-
年齢別19歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
年齢別20歳代,164,150,13,-,1,-,-,164,150,13,-,1,-,-
年齢別20歳代,100.0,91.5,7.9,-,0.6,-,-,100.0,91.5,7.9,-,0.6,-,-
年齢別30歳代,257,111,64,89,6,3,-,257,111,64,89,6,3,-
年齢別30歳代,100.0,43.2,24.9,34.6,2.3,1.2,-,100.0,43.2,24.9,34.6,2.3,1.2,-
年齢別40歳代,398,59,35,246,49,46,1,398,59,35,246,49,46,1
年齢別40歳代,100.0,14.8,8.8,61.8,12.3,11.6,0.3,100.0,14.8,8.8,61.8,12.3,11.6,0.3
年齢別50歳代,311,25,2,56,81,170,4,311,25,2,56,81,170,4
年齢別50歳代,100.0,8.0,0.6,18.0,26.0,54.7,1.3,100.0,8.0,0.6,18.0,26.0,54.7,1.3
年齢別60歳代,337,17,-,3,7,285,28,337,17,-,3,7,285,28
年齢別60歳代,100.0,5.0,-,0.9,2.1,84.6,8.3,100.0,5.0,-,0.9,2.1,84.6,8.3
年齢別70歳代,231,12,-,-,-,200,19,231,12,-,-,-,200,19
年齢別70歳代,100.0,5.2,-,-,-,86.6,8.2,100.0,5.2,-,-,-,86.6,8.2
年齢別80歳以上,98,3,-,-,-,87,8,98,3,-,-,-,87,8
年齢別80歳以上,100.0,3.1,-,-,-,88.8,8.2,100.0,3.1,-,-,-,88.8,8.2
性/年齢別男性18歳,1,1,-,-,-,-,-,1,1,-,-,-,-,-
性/年齢別男性18歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
性/年齢別男性19歳,12,12,-,-,-,-,-,12,12,-,-,-,-,-
性/年齢別男性19歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
性/年齢別男性20歳代,83,78,5,-,-,-,-,83,78,5,-,-,-,-
性/年齢別男性20歳代,100.0,94.0,6.0,-,-,-,-,100.0,94.0,6.0,-,-,-,-
性/年齢別男性30歳代,122,54,28,41,4,3,-,122,54,28,41,4,3,-
性/年齢別男性30歳代,100.0,44.3,23.0,33.6,3.3,2.5,-,100.0,44.3,23.0,33.6,3.3,2.5,-
性/年齢別男性40歳代,170,31,18,92,21,24,1,170,31,18,92,21,24,1
性/年齢別男性40歳代,100.0,18.2,10.6,54.1,12.4,14.1,0.6,100.0,18.2,10.6,54.1,12.4,14.1,0.6
性/年齢別男性50歳代,152,14,2,34,37,76,1,152,14,2,34,37,76,1
性/年齢別男性50歳代,100.0,9.2,1.3,22.4,24.3,50.0,0.7,100.0,9.2,1.3,22.4,24.3,50.0,0.7
性/年齢別男性60歳代,157,11,-,3,3,132,9,157,11,-,3,3,132,9
性/年齢別男性60歳代,100.0,7.0,-,1.9,1.9,84.1,5.7,100.0,7.0,-,1.9,1.9,84.1,5.7
性/年齢別男性70歳代,107,7,-,-,-,92,8,107,7,-,-,-,92,8
性/年齢別男性70歳代,100.0,6.5,-,-,-,86.0,7.5,100.0,6.5,-,-,-,86.0,7.5
性/年齢別男性80歳以上,48,2,-,-,-,42,4,48,2,-,-,-,42,4
性/年齢別男性80歳以上,100.0,4.2,-,-,-,87.5,8.3,100.0,4.2,-,-,-,87.5,8.3
性/年齢別女性18歳,6,6,-,-,-,-,-,6,6,-,-,-,-,-
性/年齢別女性18歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
性/年齢別女性19歳,8,8,-,-,-,-,-,8,8,-,-,-,-,-
性/年齢別女性19歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
性/年齢別女性20歳代,81,72,8,-,1,-,-,81,72,8,-,1,-,-
性/年齢別女性20歳代,100.0,88.9,9.9,-,1.2,-,-,100.0,88.9,9.9,-,1.2,-,-
性/年齢別女性30歳代,135,57,36,48,2,-,-,135,57,36,48,2,-,-
性/年齢別女性30歳代,100.0,42.2,26.7,35.6,1.5,-,-,100.0,42.2,26.7,35.6,1.5,-,-
性/年齢別女性40歳代,228,28,17,154,28,22,-,228,28,17,154,28,22,-
性/年齢別女性40歳代,100.0,12.3,7.5,67.5,12.3,9.6,-,100.0,12.3,7.5,67.5,12.3,9.6,-
性/年齢別女性50歳代,159,11,-,22,44,94,3,159,11,-,22,44,94,3
性/年齢別女性50歳代,100.0,6.9,-,13.8,27.7,59.1,1.9,100.0,6.9,-,13.8,27.7,59.1,1.9
性/年齢別女性60歳代,180,6,-,-,4,153,19,180,6,-,-,4,153,19
