,ｎ,選挙に関する情報がリアルタイムで得ることができ（％）,候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた（％）,さほど効果や影響があるとは思わない（％）,インターネットを使わない人にとって不利になった（％）,選挙への関心が高まった（％）,ひぼう中傷やデマが横行した（％）,ビラやはがきが減った（％）,わからない（％）
全体,1246,19.7,18.1,16.1,14.0,8.9,8.2,7.5,36.8
性別男性,617,21.4,20.7,18.8,11.5,10.9,7.6,6.5,32.6
性別女性,629,18.0,15.6,13.5,16.4,7.0,8.7,8.6,40.9
年齢別20歳代,91,36.3,36.3,13.2,11.0,16.5,12.1,8.8,13.2
年齢別30歳代,161,29.2,28.0,19.3,10.6,13.7,11.2,7.5,23.0
年齢別40歳代,247,29.1,21.1,21.9,19.4,10.5,13.0,11.7,20.2
年齢別50歳代,195,23.1,21.0,17.9,19.0,8.2,8.2,8.2,32.3
年齢別60歳代,233,13.7,15.0,13.3,13.3,7.7,3.9,6.9,46.8
年齢別70歳代,239,5.0,7.1,13.8,9.2,5.0,5.9,4.6,55.6
年齢別80歳以上,80,5.0,3.8,6.3,11.3,2.5,2.5,2.5,67.5
