,ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,無回答（％）,参考にした（計）（％）
全体,373,23.6,33.2,35.7,3.5,4.0,56.8
性別男性,225,24.9,37.8,31.6,3.1,2.7,62.7
性別女性,148,21.6,26.4,41.9,4.1,6.1,48.0
年齢別20歳代,52,28.8,28.8,34.6,5.8,1.9,57.7
年齢別30歳代,69,36.2,26.1,31.9,4.3,1.4,62.3
年齢別40歳代,114,24.6,36.0,35.1,0.9,3.5,60.5
年齢別50歳代,63,15.9,41.3,36.5,1.6,4.8,57.1
年齢別60歳代,47,12.8,38.3,38.3,6.4,4.3,51.1
年齢別70歳代,24,16.7,20.8,41.7,4.2,16.7,37.5
年齢別80歳以上,4,0.0,25.0,50.0,25.0,0.0,0.0
職業別自営業,29,44.8,24.1,31.0,0.0,0.0,69.0
職業別勤め人,256,23.4,35.9,34.4,3.5,2.7,59.4
職業別学生,11,18.2,27.3,36.4,9.1,9.1,45.5
職業別専業主婦(夫),36,8.3,27.8,47.2,5.6,11.1,36.1
職業別その他,4,0.0,25.0,75.0,0.0,0.0,25.0
職業別無職(年金受給者含む),35,25.7,28.6,34.3,2.9,8.6,54.3
