,ｎ,仕事が忙しく、時間がなかったから（％）,適当な候補者がいなかったから（％）,病気（看病を含む）又は体調が悪かったから（％）,選挙によって政治や暮らしが良くなるわけではないから（％）,候補者の人柄や政策がわからなかったから（％）,自分一人が投票しなくても選挙の結果に影響がないから（％）,政治や選挙には関心がないから（％）,投票所へ行くのが面倒だったから（％）
全体,563,29.3,29.1,19.4,15.3,11.5,9.9,8.9,8.5
性別男性,258,36.0,31.0,11.6,15.5,12.0,10.5,7.4,8.1
性別女性,305,23.6,27.5,25.9,15.1,11.1,9.5,10.2,8.9
年齢別20歳代,80,50.0,17.5,3.8,21.3,12.5,16.3,11.3,16.3
年齢別30歳代,95,38.9,28.4,10.5,13.7,10.5,11.6,7.4,10.5
年齢別40歳代,113,32.7,37.2,11.5,11.5,14.2,8.0,11.5,8.8
年齢別50歳代,96,32.3,34.4,11.5,17.7,10.4,9.4,8.3,8.3
年齢別60歳代,80,23.8,37.5,16.3,20.0,16.3,7.5,3.8,3.8
年齢別70歳代,55,1.8,23.6,49.1,16.4,7.3,10.9,12.7,3.6
年齢別80歳以上,44,-,11.4,72.7,2.3,4.5,4.5,6.8,4.5
