,参議院議員選挙/調査数,参議院議員選挙/５分以内,参議院議員選挙/10分以内,参議院議員選挙/20分以内,参議院議員選挙/30分以内,参議院議員選挙/30分を超える,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/５分以内,東京都知事選挙/10分以内,東京都知事選挙/20分以内,東京都知事選挙/30分以内,東京都知事選挙/30分を超える,東京都知事選挙/わからない
全体,1823,433,1067,288,21,3,11,1823,433,1067,288,21,3,11
全体,100.0,23.8,58.5,15.8,1.2,0.2,0.6,100.0,23.8,58.5,15.8,1.2,0.2,0.6
性別男性,852,216,498,126,7,-,5,852,216,498,126,7,-,5
性別男性,100.0,25.4,58.5,14.8,0.8,-,0.6,100.0,25.4,58.5,14.8,0.8,-,0.6
性別女性,971,217,569,162,14,3,6,971,217,569,162,14,3,6
性別女性,100.0,22.3,58.6,16.7,1.4,0.3,0.6,100.0,22.3,58.6,16.7,1.4,0.3,0.6
年齢別18歳,7,2,3,1,-,-,1,7,2,3,1,-,-,1
年齢別18歳,100.0,28.6,42.9,14.3,-,-,14.3,100.0,28.6,42.9,14.3,-,-,14.3
年齢別19歳,20,8,12,-,-,-,-,20,8,12,-,-,-,-
年齢別19歳,100.0,40.0,60.0,-,-,-,-,100.0,40.0,60.0,-,-,-,-
年齢別20歳代,164,36,95,25,2,-,6,164,36,95,25,2,-,6
年齢別20歳代,100.0,22.0,57.9,15.2,1.2,-,3.7,100.0,22.0,57.9,15.2,1.2,-,3.7
年齢別30歳代,257,61,167,25,2,1,1,257,61,167,25,2,1,1
年齢別30歳代,100.0,23.7,65.0,9.7,0.8,0.4,0.4,100.0,23.7,65.0,9.7,0.8,0.4,0.4
年齢別40歳代,398,95,254,49,-,-,-,398,95,254,49,-,-,-
年齢別40歳代,100.0,23.9,63.8,12.3,-,-,-,100.0,23.9,63.8,12.3,-,-,-
年齢別50歳代,311,68,192,43,4,1,3,311,68,192,43,4,1,3
年齢別50歳代,100.0,21.9,61.7,13.8,1.3,0.3,1.0,100.0,21.9,61.7,13.8,1.3,0.3,1.0
年齢別60歳代,337,90,185,58,3,1,-,337,90,185,58,3,1,-
年齢別60歳代,100.0,26.7,54.9,17.2,0.9,0.3,-,100.0,26.7,54.9,17.2,0.9,0.3,-
年齢別70歳代,231,59,116,52,4,-,-,231,59,116,52,4,-,-
年齢別70歳代,100.0,25.5,50.2,22.5,1.7,-,-,100.0,25.5,50.2,22.5,1.7,-,-
年齢別80歳以上,98,14,43,35,6,-,-,98,14,43,35,6,-,-
年齢別80歳以上,100.0,14.3,43.9,35.7,6.1,-,-,100.0,14.3,43.9,35.7,6.1,-,-
性/年齢別男性18歳,1,1,-,-,-,-,-,1,1,-,-,-,-,-
性/年齢別男性18歳,100.0,100.0,-,-,-,-,-,100.0,100.0,-,-,-,-,-
性/年齢別男性19歳,12,7,5,-,-,-,-,12,7,5,-,-,-,-
性/年齢別男性19歳,100.0,58.3,41.7,-,-,-,-,100.0,58.3,41.7,-,-,-,-
性/年齢別男性20歳代,83,19,48,12,1,-,3,83,19,48,12,1,-,3
性/年齢別男性20歳代,100.0,22.9,57.8,14.5,1.2,-,3.6,100.0,22.9,57.8,14.5,1.2,-,3.6
性/年齢別男性30歳代,122,31,79,10,2,-,-,122,31,79,10,2,-,-
性/年齢別男性30歳代,100.0,25.4,64.8,8.2,1.6,-,-,100.0,25.4,64.8,8.2,1.6,-,-
性/年齢別男性40歳代,170,44,101,25,-,-,-,170,44,101,25,-,-,-
性/年齢別男性40歳代,100.0,25.9,59.4,14.7,-,-,-,100.0,25.9,59.4,14.7,-,-,-
性/年齢別男性50歳代,152,28,102,18,2,-,2,152,28,102,18,2,-,2
性/年齢別男性50歳代,100.0,18.4,67.1,11.8,1.3,-,1.3,100.0,18.4,67.1,11.8,1.3,-,1.3
性/年齢別男性60歳代,157,44,92,20,1,-,-,157,44,92,20,1,-,-
性/年齢別男性60歳代,100.0,28.0,58.6,12.7,0.6,-,-,100.0,28.0,58.6,12.7,0.6,-,-
性/年齢別男性70歳代,107,35,50,22,-,-,-,107,35,50,22,-,-,-
性/年齢別男性70歳代,100.0,32.7,46.7,20.6,-,-,-,100.0,32.7,46.7,20.6,-,-,-
性/年齢別男性80歳以上,48,7,21,19,1,-,-,48,7,21,19,1,-,-
性/年齢別男性80歳以上,100.0,14.6,43.8,39.6,2.1,-,-,100.0,14.6,43.8,39.6,2.1,-,-
性/年齢別女性18歳,6,1,3,1,-,-,1,6,1,3,1,-,-,1
性/年齢別女性18歳,100.0,16.7,50.0,16.7,-,-,16.7,100.0,16.7,50.0,16.7,-,-,16.7
性/年齢別女性19歳,8,1,7,-,-,-,-,8,1,7,-,-,-,-
性/年齢別女性19歳,100.0,12.5,87.5,-,-,-,-,100.0,12.5,87.5,-,-,-,-
性/年齢別女性20歳代,81,17,47,13,1,-,3,81,17,47,13,1,-,3
性/年齢別女性20歳代,100.0,21.0,58.0,16.0,1.2,-,3.7,100.0,21.0,58.0,16.0,1.2,-,3.7
性/年齢別女性30歳代,135,30,88,15,-,1,1,135,30,88,15,-,1,1
性/年齢別女性30歳代,100.0,22.2,65.2,11.1,-,0.7,0.7,100.0,22.2,65.2,11.1,-,0.7,0.7
性/年齢別女性40歳代,228,51,153,24,-,-,-,228,51,153,24,-,-,-
性/年齢別女性40歳代,100.0,22.4,67.1,10.5,-,-,-,100.0,22.4,67.1,10.5,-,-,-
性/年齢別女性50歳代,159,40,90,25,2,1,1,159,40,90,25,2,1,1
性/年齢別女性50歳代,100.0,25.2,56.6,15.7,1.3,0.6,0.6,100.0,25.2,56.6,15.7,1.3,0.6,0.6
性/年齢別女性60歳代,180,46,93,38,2,1,-,180,46,93,38,2,1,-
性/年齢別女性60歳代,100.0,25.6,51.7,21.1,1.1,0.6,-,100.0,25.6,51.7,21.1,1.1,0.6,-
性/年齢別女性70歳代,124,24,66,30,4,-,-,124,24,66,30,4,-,-
性/年齢別女性70歳代,100.0,19.4,53.2,24.2,3.2,-,-,100.0,19.4,53.2,24.2,3.2,-,-
性/年齢別女性80歳以上,50,7,22,16,5,-,-,50,7,22,16,5,-,-
性/年齢別女性80歳以上,100.0,14.0,44.0,32.0,10.0,-,-,100.0,14.0,44.0,32.0,10.0,-,-
未・既婚別未婚,344,81,191,59,5,-,8,344,81,191,59,5,-,8
未・既婚別未婚,100.0,23.5,55.5,17.2,1.5,-,2.3,100.0,23.5,55.5,17.2,1.5,-,2.3
未・既婚別既婚（死別・離別を含む）,1479,352,876,229,16,3,3,1479,352,876,229,16,3,3
未・既婚別既婚（死別・離別を含む）,100.0,23.8,59.2,15.5,1.1,0.2,0.2,100.0,23.8,59.2,15.5,1.1,0.2,0.2
子供の有無別子供はいない,404,104,219,68,5,-,8,404,104,219,68,5,-,8
子供の有無別子供はいない,100.0,25.7,54.2,16.8,1.2,-,2.0,100.0,25.7,54.2,16.8,1.2,-,2.0
子供の有無別未就学（～６歳）,114,37,60,14,1,1,1,114,37,60,14,1,1,1
子供の有無別未就学（～６歳）,100.0,32.5,52.6,12.3,0.9,0.9,0.9,100.0,32.5,52.6,12.3,0.9,0.9,0.9
子供の有無別小・中・高校生,394,88,270,33,2,-,1,394,88,270,33,2,-,1
子供の有無別小・中・高校生,100.0,22.3,68.5,8.4,0.5,-,0.3,100.0,22.3,68.5,8.4,0.5,-,0.3
子供の有無別大学生・大学院生・短大生・専門学校生,144,29,93,20,1,1,-,144,29,93,20,1,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,20.1,64.6,13.9,0.7,0.7,-,100.0,20.1,64.6,13.9,0.7,0.7,-
子供の有無別学校教育終了,791,173,455,148,13,1,1,791,173,455,148,13,1,1
子供の有無別学校教育終了,100.0,21.9,57.5,18.7,1.6,0.1,0.1,100.0,21.9,57.5,18.7,1.6,0.1,0.1
子供の有無別その他,60,25,22,12,1,-,-,60,25,22,12,1,-,-
子供の有無別その他,100.0,41.7,36.7,20.0,1.7,-,-,100.0,41.7,36.7,20.0,1.7,-,-
職業別自営業（計）,133,37,78,16,1,-,1,133,37,78,16,1,-,1
職業別自営業（計）,100.0,27.8,58.6,12.0,0.8,-,0.8,100.0,27.8,58.6,12.0,0.8,-,0.8
職業別農林漁業,1,-,1,-,-,-,-,1,-,1,-,-,-,-
職業別農林漁業,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-
職業別商工・サービス業,42,8,29,5,-,-,-,42,8,29,5,-,-,-
職業別商工・サービス業,100.0,19.0,69.0,11.9,-,-,-,100.0,19.0,69.0,11.9,-,-,-
職業別その他自由業,90,29,48,11,1,-,1,90,29,48,11,1,-,1
職業別その他自由業,100.0,32.2,53.3,12.2,1.1,-,1.1,100.0,32.2,53.3,12.2,1.1,-,1.1
職業別お勤め（計）,821,204,512,90,6,1,8,821,204,512,90,6,1,8
職業別お勤め（計）,100.0,24.8,62.4,11.0,0.7,0.1,1.0,100.0,24.8,62.4,11.0,0.7,0.1,1.0
職業別経営・管理職,74,29,41,4,-,-,-,74,29,41,4,-,-,-
職業別経営・管理職,100.0,39.2,55.4,5.4,-,-,-,100.0,39.2,55.4,5.4,-,-,-
職業別専門職・技術職,196,53,120,19,3,1,-,196,53,120,19,3,1,-
職業別専門職・技術職,100.0,27.0,61.2,9.7,1.5,0.5,-,100.0,27.0,61.2,9.7,1.5,0.5,-
職業別事務職,221,47,141,30,1,-,2,221,47,141,30,1,-,2
職業別事務職,100.0,21.3,63.8,13.6,0.5,-,0.9,100.0,21.3,63.8,13.6,0.5,-,0.9
職業別労務職・技能職,61,14,37,8,1,-,1,61,14,37,8,1,-,1
職業別労務職・技能職,100.0,23.0,60.7,13.1,1.6,-,1.6,100.0,23.0,60.7,13.1,1.6,-,1.6
職業別販売・サービス職,269,61,173,29,1,-,5,269,61,173,29,1,-,5
職業別販売・サービス職,100.0,22.7,64.3,10.8,0.4,-,1.9,100.0,22.7,64.3,10.8,0.4,-,1.9
職業別その他（計）,869,192,477,182,14,2,2,869,192,477,182,14,2,2
