,参議院議員選挙/調査数,参議院議員選挙/テレビ・ラジオの選挙報道,参議院議員選挙/新聞・雑誌などの選挙報道,参議院議員選挙/選挙公報,参議院議員選挙/テレビ・ラジオの政見放送・経歴放送,参議院議員選挙/候補者等の新聞広告,参議院議員選挙/候補者等のポスター,参議院議員選挙/候補者等の街頭演説,参議院議員選挙/候補者等の選挙運動用自動車からの連呼,参議院議員選挙/候補者の個人演説会,参議院議員選挙/候補者のはがき・候補者等のビラ,参議院議員選挙/各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,参議院議員選挙/候補者のホームページ、ツイッター等のネット上の情報,参議院議員選挙/候補者以外のホームページ、ツイッター等のネット上の情報,参議院議員選挙/政党、候補者の後援会などからの推薦,参議院議員選挙/各種団体からの推薦,参議院議員選挙/家族、友人、知人からの勧め,参議院議員選挙/その他,参議院議員選挙/どれにも接していない,参議院議員選挙/役立ったものはない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/テレビ・ラジオの選挙報道,東京都知事選挙/新聞・雑誌などの選挙報道,東京都知事選挙/選挙公報,東京都知事選挙/テレビ・ラジオの政見放送・経歴放送,東京都知事選挙/候補者等の新聞広告,東京都知事選挙/候補者等のポスター,東京都知事選挙/候補者等の街頭演説,東京都知事選挙/候補者等の選挙運動用自動車からの連呼,東京都知事選挙/候補者の個人演説会,東京都知事選挙/候補者のはがき・候補者等のビラ,東京都知事選挙/候補者のホームページ、ツイッター等のネット上の情報,東京都知事選挙/候補者以外のホームページ、ツイッター等のネット上の情報,東京都知事選挙/政党、候補者の後援会などからの推薦,東京都知事選挙/各種団体からの推薦,東京都知事選挙/家族、友人、知人からの勧め,東京都知事選挙/その他,東京都知事選挙/どれにも接していない,東京都知事選挙/役立ったものはない,東京都知事選挙/わからない、忘れた
全体,1435,1200,733,511,347,221,394,134,82,15,86,85,58,51,33,18,59,3,6,49,14,1491,1267,757,528,330,234,417,240,112,16,84,68,62,23,11,52,3,3,50,20
全体,100.0,83.6,51.1,35.6,24.2,15.4,27.5,9.3,5.7,1.0,6.0,5.9,4.0,3.6,2.3,1.3,4.1,0.2,0.4,3.4,1.0,100.0,85.0,50.8,35.4,22.1,15.7,28.0,16.1,7.5,1.1,5.6,4.6,4.2,1.5,0.7,3.5,0.2,0.2,3.4,1.3
性別男性,673,544,362,265,160,102,182,61,40,11,39,49,46,36,20,9,15,2,3,26,7,696,569,364,268,149,103,187,104,50,11,39,49,43,16,5,15,2,2,28,9
性別男性,100.0,80.8,53.8,39.4,23.8,15.2,27.0,9.1,5.9,1.6,5.8,7.3,6.8,5.3,3.0,1.3,2.2,0.3,0.4,3.9,1.0,100.0,81.8,52.3,38.5,21.4,14.8,26.9,14.9,7.2,1.6,5.6,7.0,6.2,2.3,0.7,2.2,0.3,0.3,4.0,1.3
性別女性,762,656,371,246,187,119,212,73,42,4,47,36,12,15,13,9,44,1,3,23,7,795,698,393,260,181,131,230,136,62,5,45,19,19,7,6,37,1,1,22,11
性別女性,100.0,86.1,48.7,32.3,24.5,15.6,27.8,9.6,5.5,0.5,6.2,4.7,1.6,2.0,1.7,1.2,5.8,0.1,0.4,3.0,0.9,100.0,87.8,49.4,32.7,22.8,16.5,28.9,17.1,7.8,0.6,5.7,2.4,2.4,0.9,0.8,4.7,0.1,0.1,2.8,1.4
年齢別18歳,6,6,3,-,1,1,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,6,6,3,-,-,1,2,2,-,-,-,-,1,-,-,-,-,-,-,-
年齢別18歳,100.0,100.0,50.0,-,16.7,16.7,33.3,16.7,-,-,-,-,-,16.7,-,-,-,-,-,-,-,100.0,100.0,50.0,-,-,16.7,33.3,33.3,-,-,-,-,16.7,-,-,-,-,-,-,-
年齢別19歳,10,7,3,3,1,-,1,1,-,-,1,1,1,-,-,-,-,-,-,1,-,11,5,2,2,2,-,1,1,-,-,1,1,-,-,-,-,-,-,2,-
年齢別19歳,100.0,70.0,30.0,30.0,10.0,-,10.0,10.0,-,-,10.0,10.0,10.0,-,-,-,-,-,-,10.0,-,100.0,45.5,18.2,18.2,18.2,-,9.1,9.1,-,-,9.1,9.1,-,-,-,-,-,-,18.2,-
