,ｎ,ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい（％）,ネット選挙運動の規制をより強化する（％）,現状のままでよい（％）,わからない（％）,無回答（％）
全体,1246,25.3,11.9,28.3,32.5,2.0
性別男性,617,32.9,11.5,28.5,24.6,2.4
性別女性,629,17.8,12.2,28.1,40.2,1.6
年齢別20歳代,91,44.0,5.5,30.8,19.8,0.0
年齢別30歳代,161,34.2,12.4,32.9,20.5,0.0
年齢別40歳代,247,34.8,13.4,28.3,21.5,2.0
年齢別50歳代,195,33.8,14.9,22.6,28.2,0.5
年齢別60歳代,233,18.5,10.3,25.3,42.9,3.0
年齢別70歳代,239,9.6,11.7,30.5,44.4,3.8
年齢別80歳以上,80,2.5,11.3,32.5,50.0,3.8
職業別自営業,108,27.8,13.0,30.6,23.1,5.6
職業別勤め人,612,33.0,12.4,27.8,25.3,1.5
職業別学生,21,47.6,0.0,23.8,28.6,0.0
職業別専業主婦(夫),222,16.7,13.1,24.8,44.1,1.4
職業別その他,12,0.0,16.7,25.0,50.0,8.3
職業別無職(年金受給者含む),264,13.3,10.2,32.6,41.7,2.3
