区分,基数,構成比の地域別内訳ｾﾝﾀｰ,構成比の地域別内訳東部/北部,構成比の地域別内訳西部/南部,構成比の地域別内訳多摩東部,構成比の地域別内訳多摩中央北,構成比の地域別内訳多摩中央南,構成比の地域別内訳多摩西部,構成比の地域別内訳区部計,構成比の地域別内訳市郡部計
全体実数,2011,372,408,612,235,88,261,35,1392,619
全体構成比（％）,100.0,18.5,20.3,30.4,11.7,4.4,13.0,1.7,69.2,30.8
地域別1.ｾﾝﾀｰ･ｺｱ･ｴﾘｱ実数,372,372,―,―,―,―,―,―,372,ー
地域別1.ｾﾝﾀｰ･ｺｱ･ｴﾘｱ構成比(%),100.0,100.0,―,―,―,―,―,―,100.0,ー
地域別2.区部東部・北部ｴﾘｱ実数,408,―,408,―,―,―,―,―,408,ー
地域別2.区部東部・北部ｴﾘｱ構成比(%),100.0,―,100.0,―,―,―,―,―,100.0,ー
地域別3.区部西部・南部ｴﾘｱ実数,612,―,―,612,―,―,―,―,612,ー
地域別3.区部西部・南部ｴﾘｱ構成比(%),100.0,―,―,100.0,―,―,―,―,100.0,ー
地域別区部（計）実数,1392,372,408,612,―,―,―,―,1392,ー
地域別区部（計）構成比(%),100.0,26.7,29.3,44.0,―,―,―,―,100.0,ー
地域別4.多摩東部ｴﾘｱ実数,235,―,―,―,235,―,―,―,ー,235
地域別4.多摩東部ｴﾘｱ構成比(%),100.0,―,―,―,100.0,―,―,―,ー,100.0
地域別5.多摩中央部北ｴﾘｱ実数,88,―,―,―,―,88,―,―,ー,88
地域別5.多摩中央部北ｴﾘｱ構成比(%),100.0,―,―,―,―,100.0,―,―,ー,100.0
地域別6.多摩中央部南ｴﾘｱ実数,261,―,―,―,―,―,261,―,ー,261
地域別6.多摩中央部南ｴﾘｱ構成比(%),100.0,―,―,―,―,―,100.0,―,ー,100.0
地域別7.多摩西部ｴﾘｱ実数,35,―,―,―,―,―,―,35,ー,35
地域別7.多摩西部ｴﾘｱ構成比(%),100.0,―,―,―,―,―,―,100.0,ー,100.0
地域別市郡部（計）実数,619,―,―,―,235,88,261,35,ー,619
地域別市郡部（計）構成比(%),100.0,―,―,―,38.0,14.2,42.2,5.7,ー,100.0
性別男性実数,950,178,189,268,113,41,141,20,635,315
性別男性構成比(%),100.0,18.7,19.9,28.2,11.9,4.3,14.8,2.1,66.8,33.2
性別女性実数,1061,194,219,344,122,47,120,15,757,304
性別女性構成比(%),100.0,18.3,20.6,32.4,11.5,4.4,11.3,1.4,71.3,28.7
年齢別20歳代実数,295,61,66,83,30,12,38,5,210,85
年齢別20歳代構成比(%),100.0,20.7,22.4,28.1,10.2,4.1,12.9,1.7,71.2,28.8
年齢別20歳代（20～24歳）実数,120,23,21,30,17,4,23,2,74,46
年齢別20歳代（20～24歳）構成比(%),100.0,19.2,17.5,25.0,14.2,3.3,19.2,1.7,61.7,38.3
年齢別20歳代（25～29歳）実数,175,38,45,53,13,8,15,3,136,39
年齢別20歳代（25～29歳）構成比(%),100.0,21.7,25.7,30.3,7.4,4.6,8.6,1.7,77.7,22.3
年齢別30歳代実数,355,66,75,116,48,11,34,5,257,98
年齢別30歳代構成比(%),100.0,18.6,21.1,32.7,13.5,3.1,9.6,1.4,72.4,27.6
年齢別40歳代実数,398,75,86,129,34,20,45,9,290,108
年齢別40歳代構成比(%),100.0,18.8,21.6,32.4,8.5,5.0,11.3,2.3,72.9,27.1
年齢別50歳代実数,293,51,57,90,39,14,37,5,198,95
年齢別50歳代構成比(%),100.0,17.4,19.5,30.7,13.3,4.8,12.6,1.7,67.6,32.4
年齢別60歳代実数,327,49,56,102,48,14,54,4,207,120
年齢別60歳代構成比(%),100.0,15.0,17.1,31.2,14.7,4.3,16.5,1.2,63.3,36.7
年齢別70歳代実数,232,42,55,71,24,8,27,5,168,64
年齢別70歳代構成比(%),100.0,18.1,23.7,30.6,10.3,3.4,11.6,2.2,72.4,27.6
年齢別80歳以上実数,90,28,13,21,9,7,11,1,62,28
年齢別80歳以上構成比(%),100.0,31.1,14.4,23.3,10.0,7.8,12.2,1.1,68.9,31.1
性・年齢別男性20歳代実数,143,26,32,42,13,5,22,3,100,43
性・年齢別男性20歳代構成比(%),100.0,18.2,22.4,29.4,9.1,3.5,15.4,2.1,69.9,30.1
性・年齢別男性30歳代実数,153,28,36,41,24,4,16,4,105,48
性・年齢別男性30歳代構成比(%),100.0,18.3,23.5,26.8,15.7,2.6,10.5,2.6,68.6,31.4
性・年齢別男性40歳代実数,176,36,36,52,12,8,27,5,124,52
性・年齢別男性40歳代構成比(%),100.0,20.5,20.5,29.5,6.8,4.5,15.3,2.8,70.5,29.5
性・年齢別男性50歳代実数,148,23,29,43,21,7,24,1,95,53
性・年齢別男性50歳代構成比(%),100.0,15.5,19.6,29.1,14.2,4.7,16.2,0.7,64.2,35.8
性・年齢別男性60歳代実数,169,31,23,47,28,9,29,2,101,68
性・年齢別男性60歳代構成比(%),100.0,18.3,13.6,27.8,16.6,5.3,17.2,1.2,59.8,40.2
性・年齢別男性70歳代実数,118,20,28,36,12,5,13,4,84,34
性・年齢別男性70歳代構成比(%),100.0,16.9,23.7,30.5,10.2,4.2,11.0,3.4,71.2,28.8
性・年齢別男性80歳以上実数,39,14,5,7,2,3,7,1,26,13
性・年齢別男性80歳以上構成比(%),100.0,35.9,12.8,17.9,5.1,7.7,17.9,2.6,66.7,33.3
性・年齢別女性20歳代実数,152,35,34,41,17,7,16,2,110,42
性・年齢別女性20歳代構成比(%),100.0,23.0,22.4,27.0,11.2,4.6,10.5,1.3,72.4,27.6
性・年齢別女性30歳代実数,202,38,39,75,24,7,18,1,152,50
性・年齢別女性30歳代構成比(%),100.0,18.8,19.3,37.1,11.9,3.5,8.9,0.5,75.2,24.8
性・年齢別女性40歳代実数,222,39,50,77,22,12,18,4,166,56
性・年齢別女性40歳代構成比(%),100.0,17.6,22.5,34.7,9.9,5.4,8.1,1.8,74.8,25.2
性・年齢別女性50歳代実数,145,28,28,47,18,7,13,4,103,42
性・年齢別女性50歳代構成比(%),100.0,19.3,19.3,32.4,12.4,4.8,9.0,2.8,71.0,29.0
性・年齢別女性60歳代実数,158,18,33,55,20,5,25,2,106,52
性・年齢別女性60歳代構成比(%),100.0,11.4,20.9,34.8,12.7,3.2,15.8,1.3,67.1,32.9
性・年齢別女性70歳代実数,114,22,27,35,12,3,14,1,84,30
性・年齢別女性70歳代構成比(%),100.0,19.3,23.7,30.7,10.5,2.6,12.3,0.9,73.7,26.3
性・年齢別女性80歳以上実数,51,14,8,14,7,4,4,―,36,15
性・年齢別女性80歳以上構成比(%),100.0,27.5,15.7,27.5,13.7,7.8,7.8,―,70.6,29.4
職業別自営業農林漁業実数,2,1,,,1,―,―,―,1,1
職業別自営業農林漁業構成比(%),100.0,50.0,,,50.0,―,―,―,50.0,50.0
職業別自営業商工・ｻｰﾋﾞｽ業実数,71,15,18,29,2,4,2,1,62,9
職業別自営業商工・ｻｰﾋﾞｽ業構成比(%),100.0,21.1,25.4,40.8,2.8,5.6,2.8,1.4,87.3,12.7
職業別自営業その他自由業実数,101,23,23,36,4,3,12,―,82,19
職業別自営業その他自由業構成比(%),100.0,22.8,22.8,35.6,4.0,3.0,11.9,―,81.2,18.8
職業別勤め人経営・管理職実数,109,24,20,45,7,5,7,1,89,20
職業別勤め人経営・管理職構成比(%),100.0,22.0,18.3,41.3,6.4,4.6,6.4,0.9,81.7,18.3
職業別勤め人専門職・技術職実数,261,57,56,69,18,10,47,4,182,79
職業別勤め人専門職・技術職構成比(%),100.0,21.8,21.5,26.4,6.9,3.8,18.0,1.5,69.7,30.3
職業別勤め人事務職実数,305,63,68,74,42,9,42,7,205,100
職業別勤め人事務職構成比(%),100.0,20.7,22.3,24.3,13.8,3.0,13.8,2.3,67.2,32.8
職業別勤め人労務・技能職実数,89,17,18,18,20,5,8,3,53,36
職業別勤め人労務・技能職構成比(%),100.0,19.1,20.2,20.2,22.5,5.6,9.0,3.4,59.6,40.4
職業別勤め人販売・ｻｰﾋﾞｽ職実数,217,45,45,84,12,7,22,2,174,43
職業別勤め人販売・ｻｰﾋﾞｽ職構成比(%),100.0,20.7,20.7,38.7,5.5,3.2,10.1,0.9,80.2,19.8
職業別その他学生実数,53,4,7,11,13,3,15,,22,31
職業別その他学生構成比(%),100.0,7.5,13.2,20.8,24.5,5.7,28.3,,41.5,58.5
職業別その他専業主婦（夫）実数,391,45,61,121,71,20,63,10,227,164
職業別その他専業主婦（夫）構成比(%),100.0,11.5,15.6,30.9,18.2,5.1,16.1,2.6,58.1,41.9
職業別その他その他実数,62,15,31,6,2,8,―,―,52,10
職業別その他その他構成比(%),100.0,24.2,50.0,9.7,3.2,12.9,―,―,83.9,16.1
職業別その他無職実数,335,63,59,116,40,12,39,6,238,97
職業別その他無職構成比(%),100.0,18.8,17.6,34.6,11.9,3.6,11.6,1.8,71.0,29.0
職業別再掲自営業（計）実数,174,39,41,65,7,7,14,1,145,29
職業別再掲自営業（計）構成比(%),100.0,22.4,23.6,37.4,4.0,4.0,8.0,0.6,83.3,16.7
職業別再掲勤め人（計）実数,981,206,207,290,99,36,126,17,703,278
職業別再掲勤め人（計）構成比(%),100.0,21.0,21.1,29.6,10.1,3.7,12.8,1.7,71.7,28.3
職業別再掲その他（計）実数,841,127,158,254,126,43,117,16,539,302
職業別再掲その他（計）構成比(%),100.0,15.1,18.8,30.2,15.0,5.1,13.9,1.9,64.1,35.9
