質問,n,目にした(%),目にしなかった(%),わからない、忘れた(%),無回答(%)
全体,(2011),54.0,35.0,10.9,0.1
性別男性,(950),53.9,34.8,11.2,0.1
性別女性,(1061),54.1,35.1,10.7,0.2
年齢別20歳代,(295),18.6,67.1,13.6,0.7
年齢別30歳代,(355),48.2,41.1,10.7,0
年齢別40歳代,(398),56.8,32.9,10.3,0
年齢別50歳代,(293),63.8,28.7,7.5,0
年齢別60歳代,(327),68.2,22.3,9.5,0
年齢別70歳代,(232),64.2,21.6,14.2,0
年齢別80歳以上,(90),61.1,22.2,15.6,1.1
職業別自営業,(174),47.7,39.7,12.6,0
職業別勤め人,(981),48.7,42.8,8.3,0.2
職業別学生,(53),20.8,49.1,30.2,0
職業別専業主婦(夫),(391),68.0,22.8,9.0,0.3
職業別その他,(62),50.0,38.7,11.3,0
職業別無職,(335),63.3,21.5,15.2,0
