,調査数,候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,選挙に関する情報がリアルタイムで得ることができた,さほど効果や影響があるとは思わない,選挙への関心が高まった,ビラやはがきが減った,候補者になりすましたり偽名を使った不正な情報が氾濫した,ひぼう中傷やデマが横行した,インターネットを使わない人にとって不利になった,その他,わからない,無回答
全体,999,197,160,271,72,66,38,58,107,18,296,43
全体,100.0,19.7,16.0,27.1,7.2,6.6,3.8,5.8,10.7,1.8,29.6,4.3
性別男性,485,105,80,140,37,32,20,30,44,10,131,17
性別男性,100.0,21.6,16.5,28.9,7.6,6.6,4.1,6.2,9.1,2.1,27.0,3.5
性別女性,514,92,80,131,35,34,18,28,63,8,165,26
性別女性,100.0,17.9,15.6,25.5,6.8,6.6,3.5,5.4,12.3,1.6,32.1,5.1
年齢20歳代,52,22,21,15,13,3,2,6,6,-,5,1
年齢20歳代,100.0,42.3,40.4,28.8,25.0,5.8,3.8,11.5,11.5,-,9.6,1.9
年齢30歳代,145,54,47,31,16,17,11,17,20,1,18,5
年齢30歳代,100.0,37.2,32.4,21.4,11.0,11.7,7.6,11.7,13.8,0.7,12.4,3.4
年齢40歳代,217,49,44,63,16,15,10,14,29,5,49,4
年齢40歳代,100.0,22.6,20.3,29.0,7.4,6.9,4.6,6.5,13.4,2.3,22.6,1.8
年齢50歳代,178,39,22,48,14,14,8,14,22,1,45,10
年齢50歳代,100.0,21.9,12.4,27.0,7.9,7.9,4.5,7.9,12.4,0.6,25.3,5.6
年齢60歳代,213,23,20,66,8,11,5,6,16,6,79,11
年齢60歳代,100.0,10.8,9.4,31.0,3.8,5.2,2.3,2.8,7.5,2.8,37.1,5.2
年齢70歳代,151,8,5,35,5,5,1,1,10,2,82,9
年齢70歳代,100.0,5.3,3.3,23.2,3.3,3.3,0.7,0.7,6.6,1.3,54.3,6.0
年齢80歳以上,36,2,1,8,-,1,1,-,4,3,16,3
年齢80歳以上,100.0,5.6,2.8,22.2,-,2.8,2.8,-,11.1,8.3,44.4,8.3
性／年齢別男性20歳代,28,12,9,9,8,1,2,4,2,-,3,-
性／年齢別男性20歳代,100.0,42.9,32.1,32.1,28.6,3.6,7.1,14.3,7.1,-,10.7,-
性／年齢別男性30歳代,66,25,24,15,6,10,6,9,11,-,4,3
性／年齢別男性30歳代,100.0,37.9,36.4,22.7,9.1,15.2,9.1,13.6,16.7,-,6.1,4.5
性／年齢別男性40歳代,92,25,22,25,9,5,6,6,12,3,18,1
性／年齢別男性40歳代,100.0,27.2,23.9,27.2,9.8,5.4,6.5,6.5,13.0,3.3,19.6,1.1
性／年齢別男性50歳代,93,23,11,26,8,7,3,5,10,1,20,4
性／年齢別男性50歳代,100.0,24.7,11.8,28.0,8.6,7.5,3.2,5.4,10.8,1.1,21.5,4.3
性／年齢別男性60歳代,110,13,10,36,3,6,3,5,7,3,39,6
性／年齢別男性60歳代,100.0,11.8,9.1,32.7,2.7,5.5,2.7,4.5,6.4,2.7,35.5,5.5
性／年齢別男性70歳代,75,5,3,23,3,3,-,1,1,1,38,2
性／年齢別男性70歳代,100.0,6.7,4.0,30.7,4.0,4.0,-,1.3,1.3,1.3,50.7,2.7
性／年齢別男性80歳以上,20,2,1,6,-,-,-,-,1,2,8,1
性／年齢別男性80歳以上,100.0,10.0,5.0,30.0,-,-,-,-,5.0,10.0,40.0,5.0
性／年齢別女性20歳代,24,10,12,6,5,2,-,2,4,-,2,1
性／年齢別女性20歳代,100.0,41.7,50.0,25.0,20.8,8.3,-,8.3,16.7,-,8.3,4.2
性／年齢別女性30歳代,79,29,23,16,10,7,5,8,9,1,14,2
性／年齢別女性30歳代,100.0,36.7,29.1,20.3,12.7,8.9,6.3,10.1,11.4,1.3,17.7,2.5
性／年齢別女性40歳代,125,24,22,38,7,10,4,8,17,2,31,3
