,ｎ,小選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）（％）,投開票速報及び結果（％）,比例代表の情報（名簿届出政党等一覧、選挙公報）（％）,期日前投票所一覧、開票所一覧（％）,国民審査の情報（審査に付される裁判官の氏名、国民審査公報）（％）,選挙Ｑ＆Ａ（％）,政見放送・経歴放送の日程,わからない、覚えていない（％）
全体,427,33.3,32.8,29.5,22.5,10.8,10.1,9.1,40.7
性別男性,214,40.2,29.9,34.1,23.4,12.1,9.3,9.3,39.3
性別女性,213,26.3,35.7,24.9,21.6,9.4,10.8,8.9,42.3
年齢別20歳代,33,30.3,51.5,30.3,27.3,12.1,24.2,6.1,24.2
年齢別30歳代,53,35.8,39.6,28.3,28.3,7.5,17.0,7.5,34.0
年齢別40歳代,87,39.1,31.0,37.9,25.3,13.8,9.2,4.6,40.2
年齢別50歳代,76,35.5,27.6,31.6,17.1,9.2,9.2,9.2,43.4
年齢別60歳代,86,27.9,31.4,25.6,20.9,10.5,11.6,18.6,46.5
年齢別70歳代,75,29.3,29.3,24.0,18.7,12.0,1.3,6.7,45.3
年齢別80歳以上,17,35.3,29.4,23.5,29.4,5.9,-,5.9,35.3
