,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,投票所入場（整理）券,候補者の新聞広告,候補者等のポスター,候補者等の街頭演説,候補者の個人演説会,候補者のはがき・ビラ,候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等,政党、候補者の後援会などからの推薦,ＴＶ・ラジオ・街頭・コンビニレジ・駅構内ビジョンによるＣＭ放映,東京都選挙管理委員会が作成した選挙広報用のポスター,選挙広報用の新聞広告,庁舎や公園などの懸垂幕・横断幕・のぼり旗,都知事選メッセージバスキャンペーン
全体,2011,1662,1073,774,231,181,757,273,42,105,83,36,140,104,134,38,17
全体,100.0,82.6,53.4,38.5,11.5,9.0,37.6,13.6,2.1,5.2,4.1,1.8,7.0,5.2,6.7,1.9,0.8
性別男性,950,777,525,370,106,87,347,124,19,46,42,22,64,51,64,15,7
性別男性,100.0,81.8,55.3,38.9,11.2,9.2,36.5,13.1,2.0,4.8,4.4,2.3,6.7,5.4,6.7,1.6,0.7
性別女性,1061,885,548,404,125,94,410,149,23,59,41,14,76,53,70,23,10
性別女性,100.0,83.4,51.6,38.1,11.8,8.9,38.6,14.0,2.2,5.6,3.9,1.3,7.2,5.0,6.6,2.2,0.9
年齢20歳代,295,223,69,34,17,13,77,39,2,4,15,3,19,14,7,4,3
年齢20歳代,100.0,75.6,23.4,11.5,5.8,4.4,26.1,13.2,0.7,1.4,5.1,1.0,6.4,4.7,2.4,1.4,1.0
年齢30歳代,355,289,153,114,42,23,143,55,4,16,29,3,32,14,13,4,2
年齢30歳代,100.0,81.4,43.1,32.1,11.8,6.5,40.3,15.5,1.1,4.5,8.2,0.8,9.0,3.9,3.7,1.1,0.6
年齢40歳代,398,333,219,157,54,36,160,64,9,26,18,2,33,28,29,16,2
年齢40歳代,100.0,83.7,55.0,39.4,13.6,9.0,40.2,16.1,2.3,6.5,4.5,0.5,8.3,7.0,7.3,4.0,0.5
年齢50歳代,293,251,186,149,46,46,129,43,8,14,11,10,20,17,28,5,5
年齢50歳代,100.0,85.7,63.5,50.9,15.7,15.7,44.0,14.7,2.7,4.8,3.8,3.4,6.8,5.8,9.6,1.7,1.7
年齢60歳代,327,285,222,164,39,37,138,36,13,24,7,7,20,19,29,6,2
年齢60歳代,100.0,87.2,67.9,50.2,11.9,11.3,42.2,11.0,4.0,7.3,2.1,2.1,6.1,5.8,8.9,1.8,0.6
年齢70歳代,232,187,155,112,23,17,85,28,5,14,2,7,12,8,21,3,1
年齢70歳代,100.0,80.6,66.8,48.3,9.9,7.3,36.6,12.1,2.2,6.0,0.9,3.0,5.2,3.4,9.1,1.3,0.4
年齢80歳以上,90,75,55,34,8,5,19,5,-,4,-,2,1,2,4,-,1
年齢80歳以上,100.0,83.3,61.1,37.8,8.9,5.6,21.1,5.6,-,4.4,-,2.2,1.1,2.2,4.4,-,1.1
性／年齢別男性20歳代,143,109,34,18,5,8,31,21,2,3,8,3,6,7,3,3,-
性／年齢別男性20歳代,100.0,76.2,23.8,12.6,3.5,5.6,21.7,14.7,1.4,2.1,5.6,2.1,4.2,4.9,2.1,2.1,-
性／年齢別男性30歳代,153,121,74,53,16,12,64,27,1,6,13,1,15,6,5,1,1
性／年齢別男性30歳代,100.0,79.1,48.4,34.6,10.5,7.8,41.8,17.6,0.7,3.9,8.5,0.7,9.8,3.9,3.3,0.7,0.7
性／年齢別男性40歳代,176,142,92,64,26,16,70,26,3,10,10,1,17,11,14,5,1
性／年齢別男性40歳代,100.0,80.7,52.3,36.4,14.8,9.1,39.8,14.8,1.7,5.7,5.7,0.6,9.7,6.3,8.0,2.8,0.6
性／年齢別男性50歳代,148,127,98,73,21,22,62,18,6,5,6,7,9,8,17,2,3
性／年齢別男性50歳代,100.0,85.8,66.2,49.3,14.2,14.9,41.9,12.2,4.1,3.4,4.1,4.7,6.1,5.4,11.5,1.4,2.0
性／年齢別男性60歳代,169,147,117,86,20,15,68,14,5,11,4,4,10,11,11,3,1
性／年齢別男性60歳代,100.0,87.0,69.2,50.9,11.8,8.9,40.2,8.3,3.0,6.5,2.4,2.4,5.9,6.5,6.5,1.8,0.6
性／年齢別男性70歳代,118,95,81,58,11,12,39,13,2,9,1,4,6,6,11,1,-
