,ｎ,選挙期間に入る前から（12月1日以前）（％）,投票日当日を除く選挙期間中（12月2日～12月13日まで）（％）,投票日当日（12月14日）（％）,わからない、忘れた（％）,無回答（％）
全体,987,34.0,45.3,16.9,2.1,1.6
性別男性,492,40.4,42.1,15.2,1.2,1.0
性別女性,495,27.7,48.5,18.6,3.0,2.2
年齢別20歳代,68,14.7,48.5,30.9,4.4,1.5
年齢別30歳代,133,18.8,51.1,22.6,6.0,1.5
年齢別40歳代,198,28.3,49.0,18.7,1.0,3.0
年齢別50歳代,154,29.9,50.0,16.9,2.6,0.6
年齢別60歳代,178,43.3,38.2,14.6,1.1,2.8
年齢別70歳代,186,45.7,41.9,11.3,0.5,0.5
年齢別80歳以上,70,52.9,37.1,8.6,1.4,0.0
職業別自営業,81,42.0,44.4,9.9,1.2,2.5
職業別勤め人,472,28.2,48.3,18.4,2.8,2.3
職業別学生,18,11.1,44.4,44.4,0.0,0.0
職業別専業主婦(夫),178,31.5,48.9,17.4,1.7,0.6
職業別その他,7,71.4,14.3,14.3,0.0,0.0
職業別無職(年金受給者含む),224,46.4,37.5,13.8,1.3,0.9
