,参議院議員選挙／調査数,参議院議員選挙／各戸配布（新聞折込以外）,参議院議員選挙／新聞折込で配布,参議院議員選挙／区市町村からの郵送,参議院議員選挙／公共施設等に置いてあった,参議院議員選挙／都及び区市町村・総務省のホームページ,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／各戸配布（新聞折込以外）,東京都知事選挙／新聞折込で配布,東京都知事選挙／区市町村からの郵送,東京都知事選挙／公共施設等に置いてあった,東京都知事選挙／都及び区市町村のホームページ,東京都知事選挙／わからない、忘れた
全体,1208,622,611,27,138,21,46,1232,644,616,29,140,30,50
全体,100.0,51.5,50.6,2.2,11.4,1.7,3.8,100.0,52.3,50.0,2.4,11.4,2.4,4.1
性別男性,571,300,285,14,70,15,22,577,307,285,15,72,21,22
性別男性,100.0,52.5,49.9,2.5,12.3,2.6,3.9,100.0,53.2,49.4,2.6,12.5,3.6,3.8
性別女性,637,322,326,13,68,6,24,655,337,331,14,68,9,28
性別女性,100.0,50.5,51.2,2.0,10.7,0.9,3.8,100.0,51.5,50.5,2.1,10.4,1.4,4.3
年齢別18歳,3,1,3,-,-,-,-,3,1,3,-,-,-,-
年齢別18歳,100.0,33.3,100.0,-,-,-,-,100.0,33.3,100.0,-,-,-,-
年齢別19歳,6,3,3,1,1,-,-,6,3,3,1,1,-,-
年齢別19歳,100.0,50.0,50.0,16.7,16.7,-,-,100.0,50.0,50.0,16.7,16.7,-,-
年齢別20歳代,59,26,20,-,11,2,6,61,27,20,-,11,4,7
年齢別20歳代,100.0,44.1,33.9,-,18.6,3.4,10.2,100.0,44.3,32.8,-,18.0,6.6,11.5
年齢別30歳代,151,79,72,3,22,8,3,159,84,73,4,22,10,4
年齢別30歳代,100.0,52.3,47.7,2.0,14.6,5.3,2.0,100.0,52.8,45.9,2.5,13.8,6.3,2.5
年齢別40歳代,274,151,132,10,34,7,10,279,152,133,11,34,10,13
年齢別40歳代,100.0,55.1,48.2,3.6,12.4,2.6,3.6,100.0,54.5,47.7,3.9,12.2,3.6,4.7
年齢別50歳代,230,115,134,3,22,2,11,233,121,135,3,24,3,10
年齢別50歳代,100.0,50.0,58.3,1.3,9.6,0.9,4.8,100.0,51.9,57.9,1.3,10.3,1.3,4.3
年齢別60歳代,251,125,130,6,31,1,9,254,129,131,6,31,2,9
年齢別60歳代,100.0,49.8,51.8,2.4,12.4,0.4,3.6,100.0,50.8,51.6,2.4,12.2,0.8,3.5
年齢別70歳代,176,93,87,3,12,1,4,178,97,88,3,12,1,4
年齢別70歳代,100.0,52.8,49.4,1.7,6.8,0.6,2.3,100.0,54.5,49.4,1.7,6.7,0.6,2.2
年齢別80歳以上,58,29,30,1,5,-,3,59,30,30,1,5,-,3
年齢別80歳以上,100.0,50.0,51.7,1.7,8.6,-,5.2,100.0,50.8,50.8,1.7,8.5,-,5.1
性/年齢別男性18歳,1,-,1,-,-,-,-,1,-,1,-,-,-,-
性/年齢別男性18歳,100.0,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-
性/年齢別男性19歳,5,2,2,1,1,-,-,5,2,2,1,1,-,-
性/年齢別男性19歳,100.0,40.0,40.0,20.0,20.0,-,-,100.0,40.0,40.0,20.0,20.0,-,-
性/年齢別男性20歳代,26,9,7,-,4,1,5,26,9,7,-,4,2,5
性/年齢別男性20歳代,100.0,34.6,26.9,-,15.4,3.8,19.2,100.0,34.6,26.9,-,15.4,7.7,19.2
性/年齢別男性30歳代,76,43,36,2,12,5,1,80,45,37,3,11,6,1
性/年齢別男性30歳代,100.0,56.6,47.4,2.6,15.8,6.6,1.3,100.0,56.3,46.3,3.8,13.8,7.5,1.3
性/年齢別男性40歳代,121,68,54,5,17,5,4,122,68,54,6,17,7,6
性/年齢別男性40歳代,100.0,56.2,44.6,4.1,14.0,4.1,3.3,100.0,55.7,44.3,4.9,13.9,5.7,4.9
性/年齢別男性50歳代,114,61,65,-,14,2,6,116,66,66,-,16,3,4
性/年齢別男性50歳代,100.0,53.5,57.0,-,12.3,1.8,5.3,100.0,56.9,56.9,-,13.8,2.6,3.4
性/年齢別男性60歳代,114,55,62,3,13,1,3,114,55,61,2,14,2,3
性/年齢別男性60歳代,100.0,48.2,54.4,2.6,11.4,0.9,2.6,100.0,48.2,53.5,1.8,12.3,1.8,2.6
性/年齢別男性70歳代,84,44,43,3,6,1,3,83,44,42,3,6,1,3
性/年齢別男性70歳代,100.0,52.4,51.2,3.6,7.1,1.2,3.6,100.0,53.0,50.6,3.6,7.2,1.2,3.6
性/年齢別男性80歳以上,30,18,15,-,3,-,-,30,18,15,-,3,-,-
性/年齢別男性80歳以上,100.0,60.0,50.0,-,10.0,-,-,100.0,60.0,50.0,-,10.0,-,-
性/年齢別女性18歳,2,1,2,-,-,-,-,2,1,2,-,-,-,-
性/年齢別女性18歳,100.0,50.0,100.0,-,-,-,-,100.0,50.0,100.0,-,-,-,-
性/年齢別女性19歳,1,1,1,-,-,-,-,1,1,1,-,-,-,-
性/年齢別女性19歳,100.0,100.0,100.0,-,-,-,-,100.0,100.0,100.0,-,-,-,-
性/年齢別女性20歳代,33,17,13,-,7,1,1,35,18,13,-,7,2,2
性/年齢別女性20歳代,100.0,51.5,39.4,-,21.2,3.0,3.0,100.0,51.4,37.1,-,20.0,5.7,5.7
性/年齢別女性30歳代,75,36,36,1,10,3,2,79,39,36,1,11,4,3
性/年齢別女性30歳代,100.0,48.0,48.0,1.3,13.3,4.0,2.7,100.0,49.4,45.6,1.3,13.9,5.1,3.8
性/年齢別女性40歳代,153,83,78,5,17,2,6,157,84,79,5,17,3,7
性/年齢別女性40歳代,100.0,54.2,51.0,3.3,11.1,1.3,3.9,100.0,53.5,50.3,3.2,10.8,1.9,4.5
性/年齢別女性50歳代,116,54,69,3,8,-,5,117,55,69,3,8,-,6
性/年齢別女性50歳代,100.0,46.6,59.5,2.6,6.9,-,4.3,100.0,47.0,59.0,2.6,6.8,-,5.1
性/年齢別女性60歳代,137,70,68,3,18,-,6,140,74,70,4,17,-,6
性/年齢別女性60歳代,100.0,51.1,49.6,2.2,13.1,-,4.4,100.0,52.9,50.0,2.9,12.1,-,4.3
性/年齢別女性70歳代,92,49,44,-,6,-,1,95,53,46,-,6,-,1
性/年齢別女性70歳代,100.0,53.3,47.8,-,6.5,-,1.1,100.0,55.8,48.4,-,6.3,-,1.1
性/年齢別女性80歳以上,28,11,15,1,2,-,3,29,12,15,1,2,-,3
性/年齢別女性80歳以上,100.0,39.3,53.6,3.6,7.1,-,10.7,100.0,41.4,51.7,3.4,6.9,-,10.3
未・既婚別未婚,141,69,57,4,20,1,5,146,72,57,5,21,3,6
未・既婚別未婚,100.0,48.9,40.4,2.8,14.2,0.7,3.5,100.0,49.3,39.0,3.4,14.4,2.1,4.1
