,調査数,参考にした（計）,ネット上の情報が一番参考になった,参考にしたが、その他の情報の方が役にたった,ほとんど参考にしなかった,わからない,無回答
全体実数,373,212,88,124,133,13,15
全体（％）,100.0,56.8,23.6,33.2,35.7,3.5,4.0
性別男性実数,225,141,56,85,71,7,6
性別男性（％）,100.0,62.7,24.9,37.8,31.6,3.1,2.7
性別女性実数,148,71,32,39,62,6,9
性別女性（％）,100.0,48.0,21.6,26.4,41.9,4.1,6.1
年齢別20歳代実数,52,30,15,15,18,3,1
年齢別20歳代（％）,100.0,57.7,28.8,28.8,34.6,5.8,1.9
年齢別30歳代実数,69,43,25,18,22,3,1
年齢別30歳代（％）,100.0,62.3,36.2,26.1,31.9,4.3,1.4
年齢別40歳代実数,114,69,28,41,40,1,4
年齢別40歳代（％）,100.0,60.5,24.6,36.0,35.1,0.9,3.5
年齢別50歳代実数,63,36,10,26,23,1,3
年齢別50歳代（％）,100.0,57.1,15.9,41.3,36.5,1.6,4.8
年齢別60歳代実数,47,24,6,18,18,3,2
年齢別60歳代（％）,100.0,51.1,12.8,38.3,38.3,6.4,4.3
年齢別70歳代実数,24,9,4,5,10,1,4
年齢別70歳代（％）,100.0,37.5,16.7,20.8,41.7,4.2,16.7
年齢別80歳以上実数,4,1,-,1,2,1,-
年齢別80歳以上（％）,100.0,25.0,-,25.0,50.0,25.0,-
性/年齢別男性20歳代実数,28,17,8,9,9,2,-
性/年齢別男性20歳代（％）,100.0,60.7,28.6,32.1,32.1,7.1,-
性/年齢別男性30歳代実数,39,26,12,14,11,2,-
性/年齢別男性30歳代（％）,100.0,66.7,30.8,35.9,28.2,5.1,-
性/年齢別男性40歳代実数,65,45,19,26,19,1,-
性/年齢別男性40歳代（％）,100.0,69.2,29.2,40.0,29.2,1.5,-
性/年齢別男性50歳代実数,47,29,9,20,15,1,2
性/年齢別男性50歳代（％）,100.0,61.7,19.1,42.6,31.9,2.1,4.3
性/年齢別男性60歳代実数,27,16,5,11,9,-,2
性/年齢別男性60歳代（％）,100.0,59.3,18.5,40.7,33.3,-,7.4
性/年齢別男性70歳代実数,15,7,3,4,6,-,2
性/年齢別男性70歳代（％）,100.0,46.7,20.0,26.7,40.0,-,13.3
性/年齢別男性80歳以上実数,4,1,-,1,2,1,-
性/年齢別男性80歳以上（％）,100.0,25.0,-,25.0,50.0,25.0,-
性/年齢別女性20歳代実数,24,13,7,6,9,1,1
性/年齢別女性20歳代（％）,100.0,54.2,29.2,25.0,37.5,4.2,4.2
性/年齢別女性30歳代実数,30,17,13,4,11,1,1
性/年齢別女性30歳代（％）,100.0,56.7,43.3,13.3,36.7,3.3,3.3
性/年齢別女性40歳代実数,49,24,9,15,21,-,4
性/年齢別女性40歳代（％）,100.0,49.0,18.4,30.6,42.9,-,8.2
性/年齢別女性50歳代実数,16,7,1,6,8,-,1
性/年齢別女性50歳代（％）,100.0,43.8,6.3,37.5,50.0,-,6.3
性/年齢別女性60歳代実数,20,8,1,7,9,3,-
性/年齢別女性60歳代（％）,100.0,40.0,5.0,35.0,45.0,15.0,-
性/年齢別女性70歳代実数,9,2,1,1,4,1,2
性/年齢別女性70歳代（％）,100.0,22.2,11.1,11.1,44.4,11.1,22.2
性/年齢別女性80歳以上実数,-,-,-,-,-,-,-
