,ｎ,利用した（％）,知っているが利用していない（％）,知らない（％）,わからない（％）,無回答（％）,知っている（計）（％）,備考
全体,1827,2.0,21.3,71.5,4.4,0.7,23.4,
性別男性,882,1.9,22.3,71.1,4.1,0.6,24.3,
性別女性,945,2.1,20.4,72.0,4.7,0.8,22.5,
年齢別20歳代,174,4.0,14.9,76.4,4.0,0.6,19.0,
年齢別30歳代,261,2.7,17.6,74.3,4.2,1.1,20.3,
年齢別40歳代,365,3.6,20.3,74.2,1.4,0.5,23.8,
年齢別50歳代,294,1.7,24.1,69.7,3.7,0.7,25.9,
年齢別60歳代,313,0.6,26.8,67.4,5.1,0.0,27.5,
年齢別70歳代,296,0.7,24.7,68.2,4.7,1.7,25.3,
年齢別80歳以上,124,0.8,12.9,73.4,12.9,0.0,13.7,
職業別自営業,152,1.3,24.3,69.1,5.3,0.0,25.7,
職業別勤め人,934,2.7,21.2,73.0,2.6,0.5,23.9,
職業別学生,35,2.9,20.0,65.7,11.4,0.0,22.9,
職業別専業主婦(夫),309,1.9,21.4,71.5,4.5,0.6,23.3,
職業別その他,18,0.0,16.7,72.2,5.6,0.0,16.7,
職業別無職(年金受給者含む),370,0.8,21.4,68.9,7.6,1.4,22.2,
,,,,,,,,注：合計値では四捨五入の関係上、比率の単純な合計とは多少の差がある。
