,調査数,１回のみ,２～３回,４回以上,わからない,無回答
全体,46,15,13,16,1,1
全体,100.0,32.6,28.3,34.8,2.2,2.2
性別男性,27,8,8,10,1,-
性別男性,100.0,29.6,29.6,37.0,3.7,-
性別女性,19,7,5,6,-,1
性別女性,100.0,36.8,26.3,31.6,-,5.3
年齢20歳代,4,2,1,1,-,-
年齢20歳代,100.0,50.0,25.0,25.0,-,-
年齢30歳代,11,1,4,6,-,-
年齢30歳代,100.0,9.1,36.4,54.5,-,-
年齢40歳代,7,3,2,2,-,-
年齢40歳代,100.0,42.9,28.6,28.6,-,-
年齢50歳代,11,3,2,5,1,-
年齢50歳代,100.0,27.3,18.2,45.5,9.1,-
年齢60歳代,5,1,2,2,-,-
年齢60歳代,100.0,20.0,40.0,40.0,-,-
年齢70歳代,6,4,1,-,-,1
年齢70歳代,100.0,66.7,16.7,-,-,16.7
年齢80歳以上,1,-,1,-,-,-
年齢80歳以上,100.0,-,100.0,-,-,-
性／年齢別男性20歳代,4,2,1,1,-,-
性／年齢別男性20歳代,100.0,50.0,25.0,25.0,-,-
性／年齢別男性30歳代,4,-,1,3,-,-
性／年齢別男性30歳代,100.0,-,25.0,75.0,-,-
性／年齢別男性40歳代,5,1,2,2,-,-
性／年齢別男性40歳代,100.0,20.0,40.0,40.0,-,-
性／年齢別男性50歳代,9,3,2,3,1,-
性／年齢別男性50歳代,100.0,33.3,22.2,33.3,11.1,-
性／年齢別男性60歳代,1,-,-,1,-,-
性／年齢別男性60歳代,100.0,-,-,100.0,-,-
性／年齢別男性70歳代,3,2,1,-,-,-
性／年齢別男性70歳代,100.0,66.7,33.3,-,-,-
性／年齢別男性80歳以上,1,-,1,-,-,-
性／年齢別男性80歳以上,100.0,-,100.0,-,-,-
性／年齢別女性20歳代,-,-,-,-,-,-
性／年齢別女性20歳代,-,-,-,-,-,-
性／年齢別女性30歳代,7,1,3,3,-,-
性／年齢別女性30歳代,100.0,14.3,42.9,42.9,-,-
性／年齢別女性40歳代,2,2,-,-,-,-
性／年齢別女性40歳代,100.0,100.0,-,-,-,-
性／年齢別女性50歳代,2,-,-,2,-,-
性／年齢別女性50歳代,100.0,-,-,100.0,-,-
性／年齢別女性60歳代,4,1,2,1,-,-
性／年齢別女性60歳代,100.0,25.0,50.0,25.0,-,-
性／年齢別女性70歳代,3,2,-,-,-,1
性／年齢別女性70歳代,100.0,66.7,-,-,-,33.3
性／年齢別女性80歳以上,-,-,-,-,-,-
性／年齢別女性80歳以上,-,-,-,-,-,-
未・既婚別未婚（死別・離別を含む）,23,8,6,7,1,1
未・既婚別未婚（死別・離別を含む）,100.0,34.8,26.1,30.4,4.3,4.3
未・既婚別既婚,23,7,7,9,-,-
未・既婚別既婚,100.0,30.4,30.4,39.1,-,-
子供の有無別子供はいない,20,5,5,9,1,-
子供の有無別子供はいない,100.0,25.0,25.0,45.0,5.0,-
子供の有無別未就学（～６歳）,4,-,2,2,-,-
子供の有無別未就学（～６歳）,100.0,-,50.0,50.0,-,-
子供の有無別小・中・高校生,7,3,-,4,-,-
子供の有無別小・中・高校生,100.0,42.9,-,57.1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,1,1,-,-,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,100.0,-,-,-,-
子供の有無別学校教育終了,15,6,6,2,-,1
子供の有無別学校教育終了,100.0,40.0,40.0,13.3,-,6.7
子供の有無別その他,-,-,-,-,-,-
子供の有無別その他,-,-,-,-,-,-
職業別自営業（計）,6,2,2,2,-,-
職業別自営業（計）,100.0,33.3,33.3,33.3,-,-
職業別農林漁業,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-
職業別商工・サービス業,3,2,1,-,-,-
職業別商工・サービス業,100.0,66.7,33.3,-,-,-
職業別その他自由業,3,-,1,2,-,-
職業別その他自由業,100.0,-,33.3,66.7,-,-
職業別お勤め（計）,22,6,7,8,1,-
職業別お勤め（計）,100.0,27.3,31.8,36.4,4.5,-
職業別経営・管理職,3,1,1,1,-,-
職業別経営・管理職,100.0,33.3,33.3,33.3,-,-
職業別専門職・技術職,8,1,6,1,-,-
職業別専門職・技術職,100.0,12.5,75.0,12.5,-,-
職業別事務職,2,1,-,1,-,-
職業別事務職,100.0,50.0,-,50.0,-,-
職業別労務職・技能職,5,2,-,3,-,-
職業別労務職・技能職,100.0,40.0,-,60.0,-,-
職業別販売・サービス職,4,1,-,2,1,-
職業別販売・サービス職,100.0,25.0,-,50.0,25.0,-
職業別その他（計）,18,7,4,6,-,1
職業別その他（計）,100.0,38.9,22.2,33.3,-,5.6
職業別学生,1,1,-,-,-,-
職業別学生,100.0,100.0,-,-,-,-
職業別専業主婦（夫）,8,2,3,3,-,-
職業別専業主婦（夫）,100.0,25.0,37.5,37.5,-,-
職業別その他,-,-,-,-,-,-
職業別その他,-,-,-,-,-,-
職業別無職（年金受給者含む）,9,4,1,3,-,1
職業別無職（年金受給者含む）,100.0,44.4,11.1,33.3,-,11.1
投票所までの時間別５分以内,21,7,4,8,1,1
投票所までの時間別５分以内,100.0,33.3,19.0,38.1,4.8,4.8
投票所までの時間別10分以内,15,7,3,5,-,-
投票所までの時間別10分以内,100.0,46.7,20.0,33.3,-,-
投票所までの時間別20分以内,3,-,1,2,-,-
投票所までの時間別20分以内,100.0,-,33.3,66.7,-,-
投票所までの時間別30分以内,5,-,4,1,-,-
投票所までの時間別30分以内,100.0,-,80.0,20.0,-,-
投票所までの時間別30分を超える,2,1,1,-,-,-
投票所までの時間別30分を超える,100.0,50.0,50.0,-,-,-
地域別区部（計）,36,9,12,13,1,1
地域別区部（計）,100.0,25.0,33.3,36.1,2.8,2.8
地域別センターコア,12,2,5,4,1,-
地域別センターコア,100.0,16.7,41.7,33.3,8.3,-
地域別区部東部・北部エリア,8,4,2,1,-,1
地域別区部東部・北部エリア,100.0,50.0,25.0,12.5,-,12.5
