質問,n,ネット上の情報を参考にした程度ネット上の情報が一番参考になった,ネット上の情報を参考にした程度参考にしたが、その他の情報の方が役に立った,ネット上の情報を参考にした程度ほとんど参考にしなかった,ネット上の情報を参考にした程度わからない,ネット上の情報を参考にした程度無回答,参考にした(計)(%)
全体,(999),7.4,12.3,55.0,21.5,3.8,19.7
性別男性,(485),8.7,13.6,52.8,21.6,3.3,22.3
性別女性,(514),6.2,11.1,57.0,21.4,4.3,17.3
年齢別20歳代,(52),19.2,25.0,46.2,9.6,0,44.2
年齢別30歳代,(145),19.3,19.3,51.0,7.6,2.8,38.6
年齢別40歳代,(217),6.5,19.4,57.1,15.7,1.4,25.8
年齢別50歳代,(178),7.9,10.1,66.9,13.5,1.7,18.0
年齢別60歳代,(213),2.3,8.0,60.6,23.5,5.6,10.3
年齢別70歳代,(151),2.0,2.0,39.7,49.0,7.3,4.0
年齢別80歳以上,(36),0,2.8,38.9,44.4,13.9,2.8
職業別自営業,(92),10.9,17.4,42.4,23.9,5.4,28.3
職業別勤め人,(452),9.5,17.5,57.3,13.1,2.7,27.0
職業別学生,(11),0,18.2,63.6,18.2,0,18.2
職業別専業主婦(夫),(221),4.5,5.9,63.3,24.0,2.3,10.4
職業別その他,(35),8.6,14.3,37.1,37.1,2.9,22.9
職業別無職,(180),3.9,4.4,48.9,35.0,7.8,8.3
