,調査数,選挙期間に入る前から（12月1日以前）,投票日当日を除く選挙期間中（12月2日から12月13日まで）,投票日当日（12月14日）,わからない、忘れた,無回答
全体実数,987,336,447,167,21,16
全体（％）,100.0,34.0,45.3,16.9,2.1,1.6
性別男性実数,492,199,207,75,6,5
性別男性（％）,100.0,40.4,42.1,15.2,1.2,1.0
性別女性実数,495,137,240,92,15,11
性別女性（％）,100.0,27.7,48.5,18.6,3.0,2.2
年齢別20歳代実数,68,10,33,21,3,1
年齢別20歳代（％）,100.0,14.7,48.5,30.9,4.4,1.5
年齢別30歳代実数,133,25,68,30,8,2
年齢別30歳代（％）,100.0,18.8,51.1,22.6,6.0,1.5
年齢別40歳代実数,198,56,97,37,2,6
年齢別40歳代（％）,100.0,28.3,49.0,18.7,1.0,3.0
年齢別50歳代実数,154,46,77,26,4,1
年齢別50歳代（％）,100.0,29.9,50.0,16.9,2.6,0.6
年齢別60歳代実数,178,77,68,26,2,5
年齢別60歳代（％）,100.0,43.3,38.2,14.6,1.1,2.8
年齢別70歳代実数,186,85,78,21,1,1
年齢別70歳代（％）,100.0,45.7,41.9,11.3,0.5,0.5
年齢別80歳以上実数,70,37,26,6,1,-
年齢別80歳以上（％）,100.0,52.9,37.1,8.6,1.4,-
性/年齢別男性20歳代実数,32,6,15,10,-,1
性/年齢別男性20歳代（％）,100.0,18.8,46.9,31.3,-,3.1
性/年齢別男性30歳代実数,61,15,30,14,2,-
性/年齢別男性30歳代（％）,100.0,24.6,49.2,23.0,3.3,-
性/年齢別男性40歳代実数,94,31,45,15,1,2
性/年齢別男性40歳代（％）,100.0,33.0,47.9,16.0,1.1,2.1
性/年齢別男性50歳代実数,90,29,43,16,2,-
性/年齢別男性50歳代（％）,100.0,32.2,47.8,17.8,2.2,-
性/年齢別男性60歳代実数,93,50,30,11,-,2
性/年齢別男性60歳代（％）,100.0,53.8,32.3,11.8,-,2.2
性/年齢別男性70歳代実数,89,49,32,8,-,-
性/年齢別男性70歳代（％）,100.0,55.1,36.0,9.0,-,-
性/年齢別男性80歳以上実数,33,19,12,1,1,-
性/年齢別男性80歳以上（％）,100.0,57.6,36.4,3.0,3.0,-
性/年齢別女性20歳代実数,36,4,18,11,3,-
性/年齢別女性20歳代（％）,100.0,11.1,50.0,30.6,8.3,-
性/年齢別女性30歳代実数,72,10,38,16,6,2
性/年齢別女性30歳代（％）,100.0,13.9,52.8,22.2,8.3,2.8
性/年齢別女性40歳代実数,104,25,52,22,1,4
性/年齢別女性40歳代（％）,100.0,24.0,50.0,21.2,1.0,3.8
性/年齢別女性50歳代実数,64,17,34,10,2,1
性/年齢別女性50歳代（％）,100.0,26.6,53.1,15.6,3.1,1.6
性/年齢別女性60歳代実数,85,27,38,15,2,3
性/年齢別女性60歳代（％）,100.0,31.8,44.7,17.6,2.4,3.5
性/年齢別女性70歳代実数,97,36,46,13,1,1
性/年齢別女性70歳代（％）,100.0,37.1,47.4,13.4,1.0,1.0
性/年齢別女性80歳以上実数,37,18,14,5,-,-
性/年齢別女性80歳以上（％）,100.0,48.6,37.8,13.5,-,-
未・既婚別未婚実数,193,54,83,48,5,3
未・既婚別未婚（％）,100.0,28.0,43.0,24.9,2.6,1.6
未・既婚別既婚（死別・離別を含む）実数,787,279,361,119,16,12
未・既婚別既婚（死別・離別を含む）（％）,100.0,35.5,45.9,15.1,2.0,1.5
子供の有無別子供はいない実数,300,84,133,66,8,9
子供の有無別子供はいない（％）,100.0,28.0,44.3,22.0,2.7,3.0
子供の有無別未就学（～６歳）実数,95,16,50,20,6,3
子供の有無別未就学（～６歳）（％）,100.0,16.8,52.6,21.1,6.3,3.2
子供の有無別小・中・高校生実数,163,48,84,27,1,3
子供の有無別小・中・高校生（％）,100.0,29.4,51.5,16.6,0.6,1.8
子供の有無別大学生・大学院生・短大生・専門学校生実数,63,20,32,10,1,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,31.7,50.8,15.9,1.6,-
子供の有無別学校教育終了実数,431,188,181,54,5,3
子供の有無別学校教育終了（％）,100.0,43.6,42.0,12.5,1.2,0.7
子供の有無別その他実数,5,3,2,-,-,-
子供の有無別その他（％）,100.0,60.0,40.0,-,-,-
職業別自営業（計）実数,81,34,36,8,1,2
職業別自営業（計）（％）,100.0,42.0,44.4,9.9,1.2,2.5
職業別農林漁業実数,2,1,-,1,-,-
職業別農林漁業（％）,100.0,50.0,-,50.0,-,-
職業別商工・サービス業実数,51,21,24,4,1,1
職業別商工・サービス業（％）,100.0,41.2,47.1,7.8,2.0,2.0
職業別その他自由業実数,28,12,12,3,-,1
職業別その他自由業（％）,100.0,42.9,42.9,10.7,-,3.6
職業別お勤め（計）実数,472,133,228,87,13,11
職業別お勤め（計）（％）,100.0,28.2,48.3,18.4,2.8,2.3
職業別経営・管理職実数,49,18,20,9,2,-
職業別経営・管理職（％）,100.0,36.7,40.8,18.4,4.1,-
職業別専門職・技術職実数,138,40,64,28,3,3
職業別専門職・技術職（％）,100.0,29.0,46.4,20.3,2.2,2.2
職業別事務職実数,127,33,66,20,3,5
職業別事務職（％）,100.0,26.0,52.0,15.7,2.4,3.9
職業別労務職・技能職実数,51,18,23,9,1,-
職業別労務職・技能職（％）,100.0,35.3,45.1,17.6,2.0,-
職業別販売・サービス職実数,107,24,55,21,4,3
職業別販売・サービス職（％）,100.0,22.4,51.4,19.6,3.7,2.8
職業別その他（計）実数,427,167,180,70,7,3
職業別その他（計）（％）,100.0,39.1,42.2,16.4,1.6,0.7
職業別生徒・学生実数,18,2,8,8,-,-
職業別生徒・学生（％）,100.0,11.1,44.4,44.4,-,-
職業別専業主婦（夫）実数,178,56,87,31,3,1
職業別専業主婦（夫）（％）,100.0,31.5,48.9,17.4,1.7,0.6
職業別その他実数,7,5,1,-,1,-
職業別その他（％）,100.0,71.4,14.3,-,14.3,-
職業別無職（年金受給者含む）実数,224,104,84,31,3,2
職業別無職（年金受給者含む）（％）,100.0,46.4,37.5,13.8,1.3,0.9
投票所までの時間別５分以内実数,463,157,206,77,10,13
投票所までの時間別５分以内（％）,100.0,33.9,44.5,16.6,2.2,2.8
投票所までの時間別10分以内実数,402,139,191,64,6,2
投票所までの時間別10分以内（％）,100.0,34.6,47.5,15.9,1.5,0.5
