,調査数,１回のみ,２～３回,４回以上,わからない
全体,102,43,40,15,4
全体,100.0,42.2,39.2,14.7,3.9
性別男性,60,23,25,10,2
性別男性,100.0,38.3,41.7,16.7,3.3
性別女性,42,20,15,5,2
性別女性,100.0,47.6,35.7,11.9,4.8
年齢別18歳,1,-,1,-,-
年齢別18歳,100.0,-,100.0,-,-
年齢別19歳,-,-,-,-,-
年齢別19歳,-,-,-,-,-
年齢別20歳代,9,6,2,1,-
年齢別20歳代,100.0,66.7,22.2,11.1,-
年齢別30歳代,21,13,6,1,1
年齢別30歳代,100.0,61.9,28.6,4.8,4.8
年齢別40歳代,27,8,13,5,1
年齢別40歳代,100.0,29.6,48.1,18.5,3.7
年齢別50歳代,19,6,10,2,1
年齢別50歳代,100.0,31.6,52.6,10.5,5.3
年齢別60歳代,18,8,5,4,1
年齢別60歳代,100.0,44.4,27.8,22.2,5.6
年齢別70歳代,6,1,3,2,-
年齢別70歳代,100.0,16.7,50.0,33.3,-
年齢別80歳以上,1,1,-,-,-
年齢別80歳以上,100.0,100,-,-,-
性/年齢別男性18歳,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-
性/年齢別男性19歳,-,-,-,-,-
性/年齢別男性19歳,-,-,-,-,-
性/年齢別男性20歳代,2,1,1,-,-
性/年齢別男性20歳代,100.0,50.0,50.0,-,-
性/年齢別男性30歳代,12,8,3,-,1
性/年齢別男性30歳代,100.0,66.7,25.0,-,8.3
性/年齢別男性40歳代,17,5,9,3,-
性/年齢別男性40歳代,100.0,29.4,52.9,17.6,-
性/年齢別男性50歳代,12,2,7,2,1
性/年齢別男性50歳代,100.0,16.7,58.3,16.7,8.3
性/年齢別男性60歳代,14,7,3,4,-
性/年齢別男性60歳代,100.0,50.0,21.4,28.6,-
性/年齢別男性70歳代,3,-,2,1,-
性/年齢別男性70歳代,100.0,-,66.7,33.3,-
性/年齢別男性80歳以上,-,-,-,-,-
性/年齢別男性80歳以上,-,-,-,-,-
性/年齢別女性18歳,1,-,1,-,-
性/年齢別女性18歳,100.0,-,100.0,-,-
性/年齢別女性19歳,-,-,-,-,-
性/年齢別女性19歳,-,-,-,-,-
性/年齢別女性20歳代,7,5,1,1,-
性/年齢別女性20歳代,100.0,71.4,14.3,14.3,-
性/年齢別女性30歳代,9,5,3,1,-
性/年齢別女性30歳代,100.0,55.6,33.3,11.1,-
性/年齢別女性40歳代,10,3,4,2,1
性/年齢別女性40歳代,100.0,30.0,40.0,20.0,10.0
性/年齢別女性50歳代,7,4,3,-,-
性/年齢別女性50歳代,100.0,57.1,42.9,-,-
性/年齢別女性60歳代,4,1,2,-,1
性/年齢別女性60歳代,100.0,25.0,50.0,-,25.0
性/年齢別女性70歳代,3,1,1,1,-
性/年齢別女性70歳代,100.0,33.3,33.3,33.3,-
性/年齢別女性80歳以上,1,1,-,-,-
性/年齢別女性80歳以上,100.0,100,-,-,-
未・既婚別未婚,15,9,3,2,1
未・既婚別未婚,100.0,60.0,20.0,13.3,6.7
未・既婚別既婚（死別・離別を含む）,87,34,37,13,3
未・既婚別既婚（死別・離別を含む）,100.0,39.1,42.5,14.9,3.4
子供の有無別子供はいない,20,12,4,3,1
子供の有無別子供はいない,100.0,60.0,20.0,15.0,5.0
子供の有無別未就学（～６歳）,10,5,4,1,-
子供の有無別未就学（～６歳）,100.0,50.0,40.0,10.0,-
子供の有無別小・中・高校生,28,13,11,2,2
子供の有無別小・中・高校生,100.0,46.4,39.3,7.1,7.1
子供の有無別大学生・大学院生・短大生・専門学校生,8,3,5,-,-
