,今回選挙(n=1435)（％）,平成25年参議院議員選挙(n=696)（％）,平成22年参議院議員選挙(n=1528)（％）,平成19年参議院議員選挙(n=1543)（％）,備考
テレビ・ラジオの選挙報道,83.6,69.0,63.7,58.9,
新聞・雑誌などの選挙報道,51.1,53.2,49.2,48.1,
選挙公報,35.6,41.4,27.2,29.2,
候補者等のポスター,27.5,22.0,18.7,19.3,
テレビ・ラジオの政見放送・経歴放送※4,24.2,21.0,20.0,19.4,
候補者等の新聞広告,15.4,7.3,9.4,11.7,
候補者等の街頭演説,9.3,11.5,10.5,8.4,
候補者のはがき・候補者等のビラ※2,6.0,5.3,5.5,8.2,
各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,5.9,6.9,17.1,9.1,
候補者等の選挙運動用自動車からの連呼,5.7,6.5,2.6,4.1,
家族、友人、知人からの勧め,4.1,9.2,7.6,15.3,
候補者のホームページ、ツイッター等のネット上の情報※1,4.0,-,-,-,
候補者以外のホームページ、ツイッター等のネット上の情報※1,3.6,-,-,-,
政党、候補者の後援会などからの推薦,2.3,4.3,4.5,7.3,
各種団体からの推薦,1.3,1.9,1.7,3.2,
候補者の個人演説会,1.0,2.9,5.0,4.7,
電話による投票依頼※3,-,2.7,0.9,1.7,
インターネットの情報※5,-,-,8.7,4.7,
候補者のブログ※6,-,-,2.5,-,
その他,0.2,1.4,1.3,-,
どれにも接していない,0.4,0.9,0.5,-,
役立ったものはない,3.4,1.3,2.7,5.9,
わからない、忘れた,1.0,1.4,0.4,-,
無回答,-,1.3,0.4,0.8,
,,,,,注：※1今回調査で追加
,,,,,※2平成25年以前調査の「候補者等のビラ」と「候補者のはがき」は「候補者のはがき・候補者等のビラ」へ統合
,,,,,※3平成25年以前調査のみ
,,,,,※4平成22年以前調査の「テレビの政見放送・経歴放送」と「ラジオの政見放送・経歴放送」は「テレビ・ラジオの政見放送・経歴放送」へ統合
,,,,,※5平成22年以前調査のみ
,,,,,※6平成22年調査のみ
