,調査数,庁舎・公共施設等での選挙広報用ポスター（女優の広瀬すずさん起用）,コンビニレジ画面の広告,選挙広報用の新聞広告,国、都、区市町村の広報誌,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映,庁舎や公園などの懸垂幕・横断幕,18歳選挙権（参議院議員選挙）周知イベント（渋谷・新宿）,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ等の広報グッズ,区市町村の広報車,区市町村の広報掲示板,都及び区市町村・総務省のホームページ,都、区市町村、総務省のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,その他,見たり聞いたりしたものはない,わからない、忘れた
全体,1823,632,241,401,375,400,78,33,96,41,376,397,29,18,143,8,210,354
全体,100.0,34.7,13.2,22.0,20.6,21.9,4.3,1.8,5.3,2.2,20.6,21.8,1.6,1.0,7.8,0.4,11.5,19.4
性別男性,852,312,108,197,174,222,27,18,30,17,177,183,19,12,94,3,89,158
性別男性,100.0,36.6,12.7,23.1,20.4,26.1,3.2,2.1,3.5,2.0,20.8,21.5,2.2,1.4,11.0,0.4,10.4,18.5
性別女性,971,320,133,204,201,178,51,15,66,24,199,214,10,6,49,5,121,196
性別女性,100.0,33.0,13.7,21.0,20.7,18.3,5.3,1.5,6.8,2.5,20.5,22.0,1.0,0.6,5.0,0.5,12.5,20.2
年齢別18歳,7,2,2,1,-,1,1,-,1,-,-,-,-,-,1,-,1,1
年齢別18歳,100.0,28.6,28.6,14.3,-,14.3,14.3,-,14.3,-,-,-,-,-,14.3,-,14.3,14.3
年齢別19歳,20,8,1,2,-,3,-,-,-,-,2,1,-,1,1,-,3,7
年齢別19歳,100.0,40.0,5.0,10.0,-,15.0,-,-,-,-,10.0,5.0,-,5.0,5.0,-,15.0,35.0
年齢別20歳代,164,48,25,13,14,45,4,4,7,4,14,12,1,1,28,-,25,43
年齢別20歳代,100.0,29.3,15.2,7.9,8.5,27.4,2.4,2.4,4.3,2.4,8.5,7.3,0.6,0.6,17.1,-,15.2,26.2
年齢別30歳代,257,108,48,42,45,92,9,3,14,8,60,63,5,4,41,2,18,41
年齢別30歳代,100.0,42.0,18.7,16.3,17.5,35.8,3.5,1.2,5.4,3.1,23.3,24.5,1.9,1.6,16.0,0.8,7.0,16.0
年齢別40歳代,398,153,74,84,85,120,20,11,35,12,99,107,9,8,46,-,42,41
年齢別40歳代,100.0,38.4,18.6,21.1,21.4,30.2,5.0,2.8,8.8,3.0,24.9,26.9,2.3,2.0,11.6,-,10.6,10.3
年齢別50歳代,311,119,39,87,68,67,13,6,15,5,82,73,8,2,20,1,30,60
年齢別50歳代,100.0,38.3,12.5,28.0,21.9,21.5,4.2,1.9,4.8,1.6,26.4,23.5,2.6,0.6,6.4,0.3,9.6,19.3
年齢別60歳代,337,120,34,90,89,47,19,5,16,9,68,83,3,-,6,1,48,60
年齢別60歳代,100.0,35.6,10.1,26.7,26.4,13.9,5.6,1.5,4.7,2.7,20.2,24.6,0.9,-,1.8,0.3,14.2,17.8
年齢別70歳代,231,56,15,54,55,20,10,4,8,2,43,47,3,2,-,4,31,64
年齢別70歳代,100.0,24.2,6.5,23.4,23.8,8.7,4.3,1.7,3.5,0.9,18.6,20.3,1.3,0.9,-,1.7,13.4,27.7
年齢別80歳以上,98,18,3,28,19,5,2,-,-,1,8,11,-,-,-,-,12,37
年齢別80歳以上,100.0,18.4,3.1,28.6,19.4,5.1,2.0,-,-,1.0,8.2,11.2,-,-,-,-,12.2,37.8
性/年齢別男性18歳,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,12,6,1,2,-,2,-,-,-,-,1,-,-,1,-,-,1,3
性/年齢別男性19歳,100.0,50.0,8.3,16.7,-,16.7,-,-,-,-,8.3,-,-,8.3,-,-,8.3,25.0
性/年齢別男性20歳代,83,20,11,4,3,20,1,2,4,1,5,4,-,1,20,-,13,20
性/年齢別男性20歳代,100.0,24.1,13.3,4.8,3.6,24.1,1.2,2.4,4.8,1.2,6.0,4.8,-,1.2,24.1,-,15.7,24.1
性/年齢別男性30歳代,122,58,21,26,26,56,4,2,6,3,35,36,4,2,27,-,7,14
性/年齢別男性30歳代,100.0,47.5,17.2,21.3,21.3,45.9,3.3,1.6,4.9,2.5,28.7,29.5,3.3,1.6,22.1,-,5.7,11.5
性/年齢別男性40歳代,170,71,35,26,37,66,7,6,10,5,44,47,6,5,27,-,18,17
性/年齢別男性40歳代,100.0,41.8,20.6,15.3,21.8,38.8,4.1,3.5,5.9,2.9,25.9,27.6,3.5,2.9,15.9,-,10.6,10.0
性/年齢別男性50歳代,152,62,17,45,33,34,5,3,3,2,38,37,5,2,15,1,12,30
性/年齢別男性50歳代,100.0,40.8,11.2,29.6,21.7,22.4,3.3,2.0,2.0,1.3,25.0,24.3,3.3,1.3,9.9,0.7,7.9,19.7
性/年齢別男性60歳代,157,60,15,46,42,33,5,3,5,5,34,31,3,-,5,1,20,28
性/年齢別男性60歳代,100.0,38.2,9.6,29.3,26.8,21.0,3.2,1.9,3.2,3.2,21.7,19.7,1.9,-,3.2,0.6,12.7,17.8
