,n,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,関心があった（計）（％）,関心がなかった（計）（％）
全体,1823,34.7,35.7,16.3,6.9,5.6,0.8,70.4,12.5
性別男性,852,42.3,33.3,12.1,5.8,5.8,0.8,75.6,11.5
性別女性,971,28.1,37.7,20.1,7.8,5.5,0.8,65.8,13.3
年齢別18歳,7,42.9,14.3,28.6,14.3,0.0,0.0,57.1,14.3
年齢別19歳,20,15.0,25.0,15.0,10.0,25.0,10.0,40.0,35.0
年齢別20歳代,164,18.3,18.9,22.0,20.7,19.5,0.6,37.2,40.2
年齢別30歳代,257,23.3,42.8,23.3,6.6,3.9,0.0,66.1,10.5
年齢別40歳代,398,24.6,45.0,19.1,6.5,4.8,0.0,69.6,11.3
年齢別50歳代,311,37.3,40.8,14.5,4.2,2.9,0.3,78.1,7.1
年齢別60歳代,337,46.3,35.0,11.0,4.2,3.6,0.0,81.3,7.7
年齢別70歳代,231,51.1,25.1,12.6,6.5,3.9,0.9,76.2,10.4
年齢別80歳以上,98,50.0,21.4,10.2,4.1,5.1,9.2,71.4,9.2
