,調査数,投開票速報及び結果,立候補者の一覧,選挙公報,期日前投票所一覧、開票所一覧,東京都選挙管理委員会のツイッター,東京都知事選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後の更新予定,選挙期日等を周知する啓発動画広告（投票用紙をモチーフにしたもの）,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,東京都知事選挙投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない
全体,407,204,149,96,111,22,30,20,8,37,66,9,15,-,147
全体,100.0,50.1,36.6,23.6,27.3,5.4,7.4,4.9,2.0,9.1,16.2,2.2,3.7,-,36.1
性別男性,233,123,94,59,69,9,15,12,5,26,44,6,9,-,73
性別男性,100.0,52.8,40.3,25.3,29.6,3.9,6.4,5.2,2.1,11.2,18.9,2.6,3.9,-,31.3
性別女性,174,81,55,37,42,13,15,8,3,11,22,3,6,-,74
性別女性,100.0,46.6,31.6,21.3,24.1,7.5,8.6,4.6,1.7,6.3,12.6,1.7,3.4,-,42.5
年齢別18歳,2,-,1,1,-,-,1,-,-,-,-,-,-,-,1
年齢別18歳,100.0,-,50.0,50.0,-,-,50.0,-,-,-,-,-,-,-,50.0
年齢別19歳,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1
年齢別19歳,100.0,50.0,-,-,-,-,-,-,-,-,-,-,-,-,50.0
年齢別20歳代,36,20,8,8,11,4,3,4,1,1,4,1,1,-,12
年齢別20歳代,100.0,55.6,22.2,22.2,30.6,11.1,8.3,11.1,2.8,2.8,11.1,2.8,2.8,-,33.3
年齢別30歳代,77,47,34,20,25,3,3,3,1,4,10,1,2,-,22
年齢別30歳代,100.0,61.0,44.2,26.0,32.5,3.9,3.9,3.9,1.3,5.2,13.0,1.3,2.6,-,28.6
年齢別40歳代,104,64,48,30,31,5,6,4,1,11,20,2,4,-,28
年齢別40歳代,100.0,61.5,46.2,28.8,29.8,4.8,5.8,3.8,1.0,10.6,19.2,1.9,3.8,-,26.9
年齢別50歳代,86,37,27,15,25,3,5,4,-,9,14,1,4,-,33
年齢別50歳代,100.0,43.0,31.4,17.4,29.1,3.5,5.8,4.7,-,10.5,16.3,1.2,4.7,-,38.4
年齢別60歳代,65,24,22,16,12,5,9,4,5,9,13,3,4,-,30
年齢別60歳代,100.0,36.9,33.8,24.6,18.5,7.7,13.8,6.2,7.7,13.8,20.0,4.6,6.2,-,46.2
年齢別70歳代,31,10,8,5,7,2,3,1,-,3,4,1,-,-,19
