,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,
全体,1823,66.3,23.0,10.7,
性別男性,852,67.0,23.4,9.6,
性別女性,971,65.6,22.8,11.6,
年齢別18歳,7,42.9,42.9,14.3,
年齢別19歳,20,30.0,50.0,20.0,
年齢別20歳代,164,36.0,51.2,12.8,
年齢別30歳代,257,58.8,32.3,8.9,
年齢別40歳代,398,68.8,20.9,10.3,
年齢別50歳代,311,74.0,19.0,7.1,
年齢別60歳代,337,74.5,15.7,9.8,
年齢別70歳代,231,76.2,11.7,12.1,
年齢別80歳以上,98,59.2,18.4,22.4,
職業別自営業,133,73.7,20.3,6.0,
職業別勤め人,821,61.8,29.2,9.0,
職業別学生,47,36.2,48.9,14.9,
職業別専業主婦(夫),395,72.9,16.5,10.6,
職業別その他,25,72.0,24.0,4.0,
職業別無職(年金受給者含む),402,69.7,14.7,15.7,
