,調査数,知っている,知らなかった,無回答
全体実数,1827,955,752,120
全体（％）,100.0,52.3,41.2,6.6
性別男性実数,882,518,312,52
性別男性（％）,100.0,58.7,35.4,5.9
性別女性実数,945,437,440,68
性別女性（％）,100.0,46.2,46.6,7.2
年齢別20歳代実数,174,81,91,2
年齢別20歳代（％）,100.0,46.6,52.3,1.1
年齢別30歳代実数,261,153,102,6
年齢別30歳代（％）,100.0,58.6,39.1,2.3
年齢別40歳代実数,365,213,141,11
年齢別40歳代（％）,100.0,58.4,38.6,3.0
年齢別50歳代実数,294,184,97,13
年齢別50歳代（％）,100.0,62.6,33.0,4.4
年齢別60歳代実数,313,167,120,26
年齢別60歳代（％）,100.0,53.4,38.3,8.3
年齢別70歳代実数,296,127,124,45
年齢別70歳代（％）,100.0,42.9,41.9,15.2
年齢別80歳以上実数,124,30,77,17
年齢別80歳以上（％）,100.0,24.2,62.1,13.7
性/年齢別男性20歳代実数,92,52,38,2
性/年齢別男性20歳代（％）,100.0,56.5,41.3,2.2
性/年齢別男性30歳代実数,118,67,48,3
性/年齢別男性30歳代（％）,100.0,56.8,40.7,2.5
性/年齢別男性40歳代実数,174,116,55,3
性/年齢別男性40歳代（％）,100.0,66.7,31.6,1.7
性/年齢別男性50歳代実数,161,110,45,6
性/年齢別男性50歳代（％）,100.0,68.3,28.0,3.7
性/年齢別男性60歳代実数,153,86,53,14
性/年齢別男性60歳代（％）,100.0,56.2,34.6,9.2
性/年齢別男性70歳代実数,134,69,52,13
性/年齢別男性70歳代（％）,100.0,51.5,38.8,9.7
性/年齢別男性80歳以上実数,50,18,21,11
性/年齢別男性80歳以上（％）,100.0,36.0,42.0,22.0
性/年齢別女性20歳代実数,82,29,53,-
性/年齢別女性20歳代（％）,100.0,35.4,64.6,-
性/年齢別女性30歳代実数,143,86,54,3
性/年齢別女性30歳代（％）,100.0,60.1,37.8,2.1
性/年齢別女性40歳代実数,191,97,86,8
性/年齢別女性40歳代（％）,100.0,50.8,45.0,4.2
性/年齢別女性50歳代実数,133,74,52,7
性/年齢別女性50歳代（％）,100.0,55.6,39.1,5.3
性/年齢別女性60歳代実数,160,81,67,12
性/年齢別女性60歳代（％）,100.0,50.6,41.9,7.5
性/年齢別女性70歳代実数,162,58,72,32
性/年齢別女性70歳代（％）,100.0,35.8,44.4,19.8
性/年齢別女性80歳以上実数,74,12,56,6
性/年齢別女性80歳以上（％）,100.0,16.2,75.7,8.1
未・既婚別未婚実数,453,248,194,11
