区市町村名,長の任期満了日,長の氏名,議員の任期満了日,議員の定数
千代田区,令和3年2月7日（2021年2月7日）,石川雅己,令和5年4月30日（2023年4月30日）,25
中央区,令和5年4月26日（2023年4月26日）,山本泰人,令和5年4月30日（2023年4月30日）,30
港区,令和6年6月27日（2024年6月27日）,武井雅昭,令和5年4月30日（2023年4月30日）,34
新宿区,令和4年11月23日（2022年11月23日）,吉住健一,令和5年4月30日（2023年4月30日）,38
文京区,令和5年4月26日（2023年4月26日）,成澤廣修,令和5年4月30日（2023年4月30日）,34
台東区,令和5年3月16日（2023年3月16日）,服部征夫,令和5年4月30日（2023年4月30日）,32
墨田区,令和5年4月26日（2023年4月26日）,山本?亨,令和5年4月30日（2023年4月30日）,32
江東区,令和5年4月26日（2023年4月26日）,山崎孝明,令和5年4月30日（2023年4月30日）,44
品川区,令和4年10月7日（2022年10月7日）,濱野健,令和5年4月30日（2023年4月30日）,40
目黒区,令和6年4月24日（2024年4月24日）,青木英二,令和5年4月30日（2023年4月30日）,36
大田区,令和5年4月26日（2023年4月26日）,松原忠義,令和5年4月30日（2023年4月30日）,50
世田谷区,令和5年4月26日（2023年4月26日）,保坂展人,令和5年4月30日（2023年4月30日）,50
渋谷区,令和5年4月26日（2023年4月26日）,長谷部健,令和5年4月30日（2023年4月30日）,34
中野区,令和4年6月14日（2022年6月14日）,酒井直人,令和5年4月30日（2023年4月30日）,42
杉並区,令和4年7月10日（2022年7月10日）,田中良,令和5年4月30日（2023年4月30日）,48
豊島区,令和5年4月26日（2023年4月26日）,高野之夫,令和5年4月30日（2023年4月30日）,36
北区,令和5年4月26日（2023年4月26日）,花川與惣太,令和5年4月30日（2023年4月30日）,40
荒川区,令和2年11月13日（2020年11月13日）,西川太一郎,令和5年4月30日（2023年4月30日）,32
板橋区,令和5年4月26日（2023年4月26日）,坂本健,令和5年4月30日（2023年4月30日）,46
練馬区,令和4年4月19日（2022年4月19日）,前川燿男,令和5年5月29日（2023年5月29日）,50
足立区,令和5年6月19日（2023年6月19日）,近藤弥生,令和5年5月25日（2023年5月25日）,45
葛飾区,令和3年12月18日（2021年12月18日）,青木克徳,令和3年11月12日（2021年11月12日）,40
江戸川区,令和5年4月26日（2023年4月26日）,斉藤猛,令和5年5月1日（2023年5月1日）,44
八王子市,令和6年1月28日（2024年1月28日）,石森孝志,令和5年4月30日（2023年4月30日）,40
立川市,令和5年9月7日（2023年9月7日）,清水庄平,令和4年7月13日（2022年7月13日）,28
武蔵野市,令和3年10月8日（2021年10月8日）,松下玲子,令和5年4月30日（2023年4月30日）,26
三鷹市,令和5年4月29日（2023年4月29日）,河村孝,令和5年4月30日（2023年4月30日）,28
青梅市,令和5年11月29日（2023年11月29日）,浜中啓一,令和5年4月30日（2023年4月30日）,24
府中市,令和6年2月9日（2024年2月9日）,高野律雄,令和5年4月29日（2023年4月29日）,30
昭島市,令和6年10月20日（2024年10月20日）,臼井伸介,令和5年4月30日（2023年4月30日）,22
調布市,令和4年7月21日（2022年7月21日）,長友貴樹,令和5年5月31日（2023年5月31日）,28
町田市,令和4年3月8日（2022年3月8日）,石阪丈一,令和4年3月8日（2022年3月8日）,36
小金井市,令和5年12月17日（2023年12月17日）,西岡真一郎,令和3年4月4日（2021年4月4日）,24
小平市,令和3年4月10日（2021年4月10日）,小林正則,令和5年4月30日（2023年4月30日）,28
日野市,令和3年4月26日（2021年4月26日）,大坪冬彦,令和4年3月8日（2022年3月8日）,24
東村山市,令和5年4月30日（2023年4月30日）,渡部尚,令和5年4月30日（2023年4月30日）,25
国分寺市,令和3年7月12日（2021年7月12日）,井澤邦夫,令和5年4月30日（2023年4月30日）,22
国立市,令和2年12月24日（2020年12月24日）,永見理夫,令和5年4月30日（2023年4月30日）,21
福生市,令和6年5月20日（2024年5月20日）,加藤育男,令和5年4月30日（2023年4月30日）,19
狛江市,令和4年7月21日（2022年7月21日）,松原俊雄,令和5年4月30日（2023年4月30日）,22
東大和市,令和5年4月30日（2023年4月30日）,尾崎保夫,令和5年4月30日（2023年4月30日）,22
清瀬市,令和5年4月30日（2023年4月30日）,渋谷金太郎,令和5年4月30日（2023年4月30日）,20
東久留米市,令和4年1月19日（2022年1月19日）,並木克巳,令和5年4月30日（2023年4月30日）,22
武蔵村山市,令和4年5月29日（2022年5月29日）,藤野勝,令和5年4月30日（2023年4月30日）,20
多摩市,令和4年4月20日（2022年4月20日）,阿部裕行,令和5年4月30日（2023年4月30日）,26
稲城市,令和5年4月26日（2023年4月26日）,高橋勝浩,令和5年4月30日（2023年4月30日）,22
羽村市,令和3年4月25日（2021年4月25日）,並木心,令和5年4月30日（2023年4月30日）,18
あきる野市,令和5年10月14日（2023年10月14日）,村木英幸,令和3年6月30日（2021年6月30日）,21
西東京市,令和3年2月17日（2021年2月17日）,丸山浩一,令和5年1月20日（2023年1月20日）,28
瑞穂町,令和3年5月15日（2021年5月15日）,杉浦裕之,令和5年4月30日（2023年4月30日）,16
日の出町,令和4年4月15日（2022年4月15日）,橋本聖二,令和5年8月31日（2023年8月31日）,14
檜原村,令和5年4月30日（2023年4月30日）,坂本義次,令和5年4月30日（2023年4月30日）,9
奥多摩町,令和6年5月23日（2024年5月23日）,師岡伸公,令和5年11月30日（2023年11月30日）,12
大島町,令和5年4月29日（2023年4月29日）,三辻利弘,令和5年4月29日（2023年4月29日）,14
利島村,令和3年11月30日（2021年11月30日）,前田福夫,令和6年10月23日（2024年10月23日）,6
新島村,令和5年10月10日（2023年10月10日）,青沼邦和,令和5年2月14日（2023年2月14日）,10
神津島村,令和4年9月30日（2022年9月30日）,前田弘,令和5年4月29日（2023年4月29日）,8
三宅村,令和6年2月14日（2024年2月14日）,櫻田昭正,令和6年2月24日（2024年2月24日）,8
御蔵島村,令和5年10月22日（2023年10月22日）,廣瀬久雄,令和5年4月30日（2023年4月30日）,6
八丈町,令和5年9月24日（2023年9月24日）,山下奉也,令和4年10月24日（2022年10月24日）,14
青ヶ島村,令和3年9月30日（2021年9月30日）,菊池利光,令和3年9月5日（2021年9月5日）,6
小笠原村,令和5年7月26日（2023年7月26日）,森下一男,令和5年4月26日（2023年4月26日）,8
