,調査数,都政全体のことを考えてくれる人だと思ったから,自分の日常の暮らしを守ってくれる人だと思ったから,候補者の政策や主張に賛成だから,地元の利益を考えてくれる人だと思ったから,自分の仕事や職業上の利益を守ってくれる人だと思ったから,テレビや新聞などマスコミを通して知っている人だから,人柄、経歴などから都政を託すのに最適な人だと思ったから,自分の支持する政党の推薦する人だから,団体や組織や知人に頼まれたから,テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,ポスターや選挙公報などを見て、ふさわしい人だと思ったから,その他,特に理由はない（なんとなく）,わからない,無回答,
全体,999,456,243,430,61,28,199,280,61,29,93,30,66,29,49,38,7,6,
全体,100.0,45.6,24.3,43.0,6.1,2.8,19.9,28.0,6.1,2.9,9.3,3.0,6.6,2.9,4.9,3.8,0.7,0.6,
性別男性,485,202,92,225,31,15,93,145,41,12,47,18,19,14,28,24,6,3,
性別男性,100.0,41.6,19.0,46.4,6.4,3.1,19.2,29.9,8.5,2.5,9.7,3.7,3.9,2.9,5.8,4.9,1.2,0.6,
性別女性,514,254,151,205,30,13,106,135,20,17,46,12,47,15,21,14,1,3,
性別女性,100.0,49.4,29.4,39.9,5.8,2.5,20.6,26.3,3.9,3.3,8.9,2.3,9.1,2.9,4.1,2.7,0.2,0.6,
年齢20歳代,52,11,5,26,1,3,10,7,2,1,9,5,8,2,1,3,-,-,
年齢20歳代,100.0,21.2,9.6,50.0,1.9,5.8,19.2,13.5,3.8,1.9,17.3,9.6,15.4,3.8,1.9,5.8,-,-,
年齢30歳代,145,57,36,62,8,5,28,37,4,2,13,11,11,8,10,4,1,-,
年齢30歳代,100.0,39.3,24.8,42.8,5.5,3.4,19.3,25.5,2.8,1.4,9.0,7.6,7.6,5.5,6.9,2.8,0.7,-,
年齢40歳代,217,98,50,75,10,3,43,56,6,5,18,5,13,1,13,14,1,1,
年齢40歳代,100.0,45.2,23.0,34.6,4.6,1.4,19.8,25.8,2.8,2.3,8.3,2.3,6.0,0.5,6.0,6.5,0.5,0.5,
年齢50歳代,178,79,48,80,14,7,39,48,13,6,18,6,8,7,9,6,1,1,
年齢50歳代,100.0,44.4,27.0,44.9,7.9,3.9,21.9,27.0,7.3,3.4,10.1,3.4,4.5,3.9,5.1,3.4,0.6,0.6,
年齢60歳代,213,108,45,106,8,7,44,72,17,10,18,1,12,6,7,7,1,2,
年齢60歳代,100.0,50.7,21.1,49.8,3.8,3.3,20.7,33.8,8.0,4.7,8.5,0.5,5.6,2.8,3.3,3.3,0.5,0.9,
年齢70歳代,151,81,47,58,16,3,31,48,13,3,14,2,12,5,7,4,2,-,
年齢70歳代,100.0,53.6,31.1,38.4,10.6,2.0,20.5,31.8,8.6,2.0,9.3,1.3,7.9,3.3,4.6,2.6,1.3,-,
年齢80歳以上,36,18,11,19,4,-,3,8,6,2,3,-,1,-,2,-,1,1,
年齢80歳以上,100.0,50.0,30.6,52.8,11.1,-,8.3,22.2,16.7,5.6,8.3,-,2.8,-,5.6,-,2.8,2.8,
性/年齢別男性20歳代,28,8,3,16,-,-,6,4,2,-,6,4,4,-,-,1,-,-,
性/年齢別男性20歳代,100.0,28.6,10.7,57.1,-,-,21.4,14.3,7.1,-,21.4,14.3,14.3,-,-,3.6,-,-,
性/年齢別男性30歳代,66,27,12,32,4,4,12,19,1,1,6,6,4,5,5,1,1,-,
性/年齢別男性30歳代,100.0,40.9,18.2,48.5,6.1,6.1,18.2,28.8,1.5,1.5,9.1,9.1,6.1,7.6,7.6,1.5,1.5,-,
性/年齢別男性40歳代,92,35,9,33,2,1,18,22,4,2,11,4,3,-,9,8,1,-,
性/年齢別男性40歳代,100.0,38.0,9.8,35.9,2.2,1.1,19.6,23.9,4.3,2.2,12.0,4.3,3.3,-,9.8,8.7,1.1,-,
性/年齢別男性50歳代,93,34,28,44,9,6,20,30,12,2,7,2,4,4,2,6,1,-,
