,調査数,デザインが気に入った,デザインが気に入らない,著名人をキャラクターに立てていないのがさびしい,一般のモデルを使っているので親近感が湧く,あまり選挙らしさを感じないので良い（気に入った）,あまり選挙らしさを感じないのは良くない（不満）,目立つ配色やデザインがよい,もっと質素でおとなしめなデザインの方がよい,その他,わからない,無回答
全体,2011,330,162,105,85,312,267,284,72,79,607,27
全体,100.0,16.4,8.1,5.2,4.2,15.5,13.3,14.1,3.6,3.9,30.2,1.3
性別男性,950,143,89,48,36,141,139,125,33,38,299,9
性別男性,100.0,15.1,9.4,5.1,3.8,14.8,14.6,13.2,3.5,4.0,31.5,0.9
性別女性,1061,187,73,57,49,171,128,159,39,41,308,18
性別女性,100.0,17.6,6.9,5.4,4.6,16.1,12.1,15.0,3.7,3.9,29.0,1.7
年齢20歳代,295,63,20,19,14,58,27,54,17,5,82,2
年齢20歳代,100.0,21.4,6.8,6.4,4.7,19.7,9.2,18.3,5.8,1.7,27.8,0.7
年齢30歳代,355,68,31,21,15,51,42,56,8,11,109,5
年齢30歳代,100.0,19.2,8.7,5.9,4.2,14.4,11.8,15.8,2.3,3.1,30.7,1.4
年齢40歳代,398,84,34,12,20,69,57,63,10,14,97,5
年齢40歳代,100.0,21.1,8.5,3.0,5.0,17.3,14.3,15.8,2.5,3.5,24.4,1.3
年齢50歳代,293,40,21,19,13,37,55,50,8,12,81,3
年齢50歳代,100.0,13.7,7.2,6.5,4.4,12.6,18.8,17.1,2.7,4.1,27.6,1.0
年齢60歳代,327,39,35,19,13,51,45,33,14,18,100,4
年齢60歳代,100.0,11.9,10.7,5.8,4.0,15.6,13.8,10.1,4.3,5.5,30.6,1.2
年齢70歳代,232,24,14,9,6,38,25,24,9,15,91,5
年齢70歳代,100.0,10.3,6.0,3.9,2.6,16.4,10.8,10.3,3.9,6.5,39.2,2.2
年齢80歳以上,90,10,6,2,1,5,12,3,6,4,43,2
年齢80歳以上,100.0,11.1,6.7,2.2,1.1,5.6,13.3,3.3,6.7,4.4,47.8,2.2
性／年齢別男性20歳代,143,26,15,6,7,30,10,28,8,3,38,1
性／年齢別男性20歳代,100.0,18.2,10.5,4.2,4.9,21.0,7.0,19.6,5.6,2.1,26.6,0.7
性／年齢別男性30歳代,153,29,15,13,5,18,22,20,1,6,48,1
性／年齢別男性30歳代,100.0,19.0,9.8,8.5,3.3,11.8,14.4,13.1,0.7,3.9,31.4,0.7
性／年齢別男性40歳代,176,30,16,3,5,28,26,21,7,6,55,2
性／年齢別男性40歳代,100.0,17.0,9.1,1.7,2.8,15.9,14.8,11.9,4.0,3.4,31.3,1.1
性／年齢別男性50歳代,148,23,12,10,8,14,31,28,6,6,40,-
性／年齢別男性50歳代,100.0,15.5,8.1,6.8,5.4,9.5,20.9,18.9,4.1,4.1,27.0,-
性／年齢別男性60歳代,169,18,21,11,8,28,28,13,6,8,53,2
性／年齢別男性60歳代,100.0,10.7,12.4,6.5,4.7,16.6,16.6,7.7,3.6,4.7,31.4,1.2
