,調査数,１回のみ,２～３回,４回以上,わからない
全体,94,41,38,12,3
全体,100.0,43.6,40.4,12.8,3.2
性別男性,54,19,25,8,2
性別男性,100.0,35.2,46.3,14.8,3.7
性別女性,40,22,13,4,1
性別女性,100.0,55.0,32.5,10.0,2.5
年齢別18歳,1,-,1,-,-
年齢別18歳,100.0,-,100.0,-,-
年齢別19歳,-,-,-,-,-
年齢別19歳,-,-,-,-,-
年齢別20歳代,6,4,1,1,-
年齢別20歳代,100.0,66.7,16.7,16.7,-
年齢別30歳代,16,9,5,1,1
年齢別30歳代,100.0,56.3,31.3,6.3,6.3
年齢別40歳代,29,11,12,6,-
年齢別40歳代,100.0,37.9,41.4,20.7,-
年齢別50歳代,19,7,10,1,1
年齢別50歳代,100.0,36.8,52.6,5.3,5.3
年齢別60歳代,17,7,7,2,1
年齢別60歳代,100.0,41.2,41.2,11.8,5.9
年齢別70歳代,5,2,2,1,-
年齢別70歳代,100.0,40.0,40.0,20.0,-
年齢別80歳以上,1,1,-,-,-
年齢別80歳以上,100.0,100.0,-,-,-
性/年齢別男性18歳,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-
性/年齢別男性19歳,-,-,-,-,-
性/年齢別男性19歳,-,-,-,-,-
性/年齢別男性20歳代,1,-,1,-,-
性/年齢別男性20歳代,100.0,-,100.0,-,-
性/年齢別男性30歳代,8,4,3,-,1
性/年齢別男性30歳代,100.0,50.0,37.5,-,12.5
性/年齢別男性40歳代,17,5,8,4,-
性/年齢別男性40歳代,100.0,29.4,47.1,23.5,-
性/年齢別男性50歳代,12,3,7,1,1
性/年齢別男性50歳代,100.0,25.0,58.3,8.3,8.3
性/年齢別男性60歳代,13,6,5,2,-
性/年齢別男性60歳代,100.0,46.2,38.5,15.4,-
性/年齢別男性70歳代,3,1,1,1,-
性/年齢別男性70歳代,100.0,33.3,33.3,33.3,-
性/年齢別男性80歳以上,-,-,-,-,-
性/年齢別男性80歳以上,-,-,-,-,-
性/年齢別女性18歳,1,-,1,-,-
性/年齢別女性18歳,100.0,-,100.0,-,-
性/年齢別女性19歳,-,-,-,-,-
性/年齢別女性19歳,-,-,-,-,-
性/年齢別女性20歳代,5,4,-,1,-
性/年齢別女性20歳代,100.0,80.0,-,20.0,-
性/年齢別女性30歳代,8,5,2,1,-
性/年齢別女性30歳代,100.0,62.5,25.0,12.5,-
性/年齢別女性40歳代,12,6,4,2,-
性/年齢別女性40歳代,100.0,50.0,33.3,16.7,-
性/年齢別女性50歳代,7,4,3,-,-
性/年齢別女性50歳代,100.0,57.1,42.9,-,-
性/年齢別女性60歳代,4,1,2,-,1
性/年齢別女性60歳代,100.0,25.0,50.0,-,25.0
性/年齢別女性70歳代,2,1,1,-,-
性/年齢別女性70歳代,100.0,50.0,50.0,-,-
性/年齢別女性80歳以上,1,1,-,-,-
性/年齢別女性80歳以上,100.0,100.0,-,-,-
未・既婚別未婚,14,8,3,2,1
未・既婚別未婚,100.0,57.1,21.4,14.3,7.1
未・既婚別既婚（死別・離別を含む）,80,33,35,10,2
未・既婚別既婚（死別・離別を含む）,100.0,41.3,43.8,12.5,2.5
子供の有無別子供はいない,18,10,3,4,1
子供の有無別子供はいない,100.0,55.6,16.7,22.2,5.6
