,問６－２調査数,問６－２よく読んだ,問６－２一通りざっと読んだ,問６－２一部分だけ読んだ,問６－２読まなかった,問６－２無回答,問７調査数,問７すべてのポスターを一枚一枚よく見た,問７すべてのポスターをざっと見た,問７関心のある候補者のポスターしか見なかった,問７ほとんど見なかった,問７わからない、忘れた,問７無回答
全体,1086,167,658,161,93,7,2011,102,829,255,707,109,9
全体,100.0,15.4,60.6,14.8,8.6,0.6,100.0,5.1,41.2,12.7,35.2,5.4,0.4
性別男性,512,91,302,82,33,4,950,55,389,130,319,54,3
性別男性,100.0,17.8,59.0,16.0,6.4,0.8,100.0,5.8,40.9,13.7,33.6,5.7,0.3
性別女性,574,76,356,79,60,3,1061,47,440,125,388,55,6
性別女性,100.0,13.2,62.0,13.8,10.5,0.5,100.0,4.4,41.5,11.8,36.6,5.2,0.6
年齢20歳代,55,7,28,12,8,-,295,3,64,27,177,23,1
年齢20歳代,100.0,12.7,50.9,21.8,14.5,-,100.0,1.0,21.7,9.2,60.0,7.8,0.3
年齢30歳代,171,22,101,25,20,3,355,14,129,49,145,15,3
年齢30歳代,100.0,12.9,59.1,14.6,11.7,1.8,100.0,3.9,36.3,13.8,40.8,4.2,0.8
年齢40歳代,226,28,137,42,17,2,398,16,183,47,127,22,3
年齢40歳代,100.0,12.4,60.6,18.6,7.5,0.9,100.0,4.0,46.0,11.8,31.9,5.5,0.8
年齢50歳代,187,24,112,35,16,-,293,19,136,37,88,13,-
年齢50歳代,100.0,12.8,59.9,18.7,8.6,-,100.0,6.5,46.4,12.6,30.0,4.4,-
年齢60歳代,223,38,141,27,17,-,327,20,175,45,72,14,1
年齢60歳代,100.0,17.0,63.2,12.1,7.6,-,100.0,6.1,53.5,13.8,22.0,4.3,0.3
年齢70歳代,149,33,95,13,6,2,232,20,102,36,60,13,1
年齢70歳代,100.0,22.1,63.8,8.7,4.0,1.3,100.0,8.6,44.0,15.5,25.9,5.6,0.4
年齢80歳以上,55,13,31,5,6,-,90,9,31,10,31,9,-
年齢80歳以上,100.0,23.6,56.4,9.1,10.9,-,100.0,10.0,34.4,11.1,34.4,10.0,-
性／年齢別男性20歳代,30,3,15,9,3,-,143,2,27,14,88,12,-
性／年齢別男性20歳代,100.0,10.0,50.0,30.0,10.0,-,100.0,1.4,18.9,9.8,61.5,8.4,-
性／年齢別男性30歳代,78,9,50,9,7,3,153,6,61,22,56,7,1
性／年齢別男性30歳代,100.0,11.5,64.1,11.5,9.0,3.8,100.0,3.9,39.9,14.4,36.6,4.6,0.7
性／年齢別男性40歳代,93,15,51,20,6,1,176,8,75,26,56,10,1
性／年齢別男性40歳代,100.0,16.1,54.8,21.5,6.5,1.1,100.0,4.5,42.6,14.8,31.8,5.7,0.6
性／年齢別男性50歳代,90,13,54,18,5,-,148,10,66,24,41,7,-
性／年齢別男性50歳代,100.0,14.4,60.0,20.0,5.6,-,100.0,6.8,44.6,16.2,27.7,4.7,-
