,参議院議員選挙/調査数,参議院議員選挙/参考にした（計）,参議院議員選挙/ネット上の情報が一番参考になった,参議院議員選挙/参考にしたが、その他の情報の方が役にたった,参議院議員選挙/ほとんど参考にしなかった,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/参考にした（計）,東京都知事選挙/ネット上の情報が一番参考になった,東京都知事選挙/参考にしたが、その他の情報の方が役にたった,東京都知事選挙/ほとんど参考にしなかった,東京都知事選挙/わからない
全体,381,213,95,118,157,11,412,238,114,124,162,12
全体,100.0,55.9,24.9,31.0,41.2,2.9,100.0,57.8,27.7,30.1,39.3,2.9
性別男性,226,134,67,67,88,4,246,149,77,72,92,5
性別男性,100.0,59.3,29.6,29.6,38.9,1.8,100.0,60.6,31.3,29.3,37.4,2.0
性別女性,155,79,28,51,69,7,166,89,37,52,70,7
性別女性,100.0,51.0,18.1,32.9,44.5,4.5,100.0,53.6,22.3,31.3,42.2,4.2
年齢別18歳,3,3,1,2,-,-,3,3,1,2,-,-
年齢別18歳,100.0,100.0,33.3,66.7,-,-,100.0,100.0,33.3,66.7,-,-
年齢別19歳,3,2,1,1,1,-,3,2,1,1,1,-
年齢別19歳,100.0,66.7,33.3,33.3,33.3,-,100.0,66.7,33.3,33.3,33.3,-
年齢別20歳代,39,24,13,11,13,2,46,29,17,12,16,1
年齢別20歳代,100.0,61.5,33.3,28.2,33.3,5.1,100.0,63.0,37.0,26.1,34.8,2.2
年齢別30歳代,81,41,24,17,40,-,91,53,30,23,36,2
年齢別30歳代,100.0,50.6,29.6,21.0,49.4,-,100.0,58.2,33.0,25.3,39.6,2.2
年齢別40歳代,123,71,33,38,44,8,129,77,40,37,44,8
年齢別40歳代,100.0,57.7,26.8,30.9,35.8,6.5,100.0,59.7,31.0,28.7,34.1,6.2
年齢別50歳代,68,44,14,30,23,1,73,46,16,30,26,1
年齢別50歳代,100.0,64.7,20.6,44.1,33.8,1.5,100.0,63.0,21.9,41.1,35.6,1.4
年齢別60歳代,46,20,7,13,26,-,45,19,6,13,26,-
年齢別60歳代,100.0,43.5,15.2,28.3,56.5,-,100.0,42.2,13.3,28.9,57.8,-
年齢別70歳代,16,8,2,6,8,-,18,9,3,6,9,-
年齢別70歳代,100.0,50.0,12.5,37.5,50.0,-,100.0,50.0,16.7,33.3,50.0,-
年齢別80歳以上,2,-,-,-,2,-,4,-,-,-,4,-
年齢別80歳以上,100.0,-,-,-,100.0,-,100.0,-,-,-,100.0,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,3,2,1,1,1,-,3,2,1,1,1,-
性/年齢別男性19歳,100.0,66.7,33.3,33.3,33.3,-,100.0,66.7,33.3,33.3,33.3,-
性/年齢別男性20歳代,18,10,7,3,6,2,23,16,10,6,6,1
性/年齢別男性20歳代,100.0,55.6,38.9,16.7,33.3,11.1,100.0,69.6,43.5,26.1,26.1,4.3
性/年齢別男性30歳代,52,27,18,9,25,-,58,32,20,12,24,2
性/年齢別男性30歳代,100.0,51.9,34.6,17.3,48.1,-,100.0,55.2,34.5,20.7,41.4,3.4
性/年齢別男性40歳代,65,42,21,21,21,2,72,46,25,21,24,2
性/年齢別男性40歳代,100.0,64.6,32.3,32.3,32.3,3.1,100.0,63.9,34.7,29.2,33.3,2.8
性/年齢別男性50歳代,45,33,13,20,12,-,47,33,14,19,14,-
性/年齢別男性50歳代,100.0,73.3,28.9,44.4,26.7,-,100.0,70.2,29.8,40.4,29.8,-
性/年齢別男性60歳代,31,16,6,10,15,-,30,15,5,10,15,-
性/年齢別男性60歳代,100.0,51.6,19.4,32.3,48.4,-,100.0,50.0,16.7,33.3,50.0,-
性/年齢別男性70歳代,10,4,1,3,6,-,10,5,2,3,5,-
性/年齢別男性70歳代,100.0,40.0,10.0,30.0,60.0,-,100.0,50.0,20.0,30.0,50.0,-
性/年齢別男性80歳以上,2,-,-,-,2,-,3,-,-,-,3,-
性/年齢別男性80歳以上,100.0,-,-,-,100.0,-,100.0,-,-,-,100.0,-
性/年齢別女性18歳,3,3,1,2,-,-,3,3,1,2,-,-
性/年齢別女性18歳,100.0,100.0,33.3,66.7,-,-,100.0,100.0,33.3,66.7,-,-
性/年齢別女性19歳,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性19歳,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性20歳代,21,14,6,8,7,-,23,13,7,6,10,-
性/年齢別女性20歳代,100.0,66.7,28.6,38.1,33.3,-,100.0,56.5,30.4,26.1,43.5,-
性/年齢別女性30歳代,29,14,6,8,15,-,33,21,10,11,12,-
性/年齢別女性30歳代,100.0,48.3,20.7,27.6,51.7,-,100.0,63.6,30.3,33.3,36.4,-
性/年齢別女性40歳代,58,29,12,17,23,6,57,31,15,16,20,6
性/年齢別女性40歳代,100.0,50.0,20.7,29.3,39.7,10.3,100.0,54.4,26.3,28.1,35.1,10.5
性/年齢別女性50歳代,23,11,1,10,11,1,26,13,2,11,12,1
