,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,候補者等のポスター（％）,テレビ・ラジオの政見放送・経歴放送（％）,候補者等の街頭演説（％）,候補者等の新聞広告（％）,候補者等の選挙運動用自動車からの連呼（％）,,
全体,1491,85.0,50.8,35.4,28.0,22.1,16.1,15.7,7.5,,
性別男性,696,81.8,52.3,38.5,26.9,21.4,14.9,14.8,7.2,,
性別女性,795,87.8,49.4,32.7,28.9,22.8,17.1,16.5,7.8,,
年齢別18歳,6,100.0,50.0,-,33.3,-,33.3,16.7,-,,
年齢別19歳,11,45.5,18.2,18.2,9.1,18.2,9.1,-,-,,
年齢別20歳代,95,68.4,30.5,23.2,22.1,21.1,9.5,7.4,4.2,,
年齢別30歳代,210,89.0,39.0,27.6,33.3,19.5,19.0,17.1,11.0,,
年齢別40歳代,337,85.5,40.4,30.0,35.6,22.6,19.3,17.5,7.1,,
年齢別50歳代,266,88.0,62.0,41.0,27.8,22.2,16.5,16.5,9.0,,
年齢別60歳代,305,87.9,61.6,41.3,23.3,23.6,15.4,13.8,5.9,,
年齢別70歳代,196,82.1,56.6,42.9,22.4,23.5,15.3,15.3,9.2,,
年齢別80歳以上,65,81.5,63.1,40.0,21.5,21.5,3.1,23.1,1.5,,
