,調査数,知っている,知らなかった,無回答
全体,2011,1291,645,75
全体,100.0,64.2,32.1,3.7
性別男性,950,642,272,36
性別男性,100.0,67.6,28.6,3.8
性別女性,1061,649,373,39
性別女性,100.0,61.2,35.2,3.7
年齢20歳代,295,171,121,3
年齢20歳代,100.0,58.0,41.0,1.0
年齢30歳代,355,259,88,8
年齢30歳代,100.0,73.0,24.8,2.3
年齢40歳代,398,289,103,6
年齢40歳代,100.0,72.6,25.9,1.5
年齢50歳代,293,199,79,15
年齢50歳代,100.0,67.9,27.0,5.1
年齢60歳代,327,212,88,27
年齢60歳代,100.0,64.8,26.9,8.3
年齢70歳代,232,114,109,9
年齢70歳代,100.0,49.1,47.0,3.9
年齢80歳以上,90,27,56,7
年齢80歳以上,100.0,30.0,62.2,7.8
性／年齢別男性20歳代,143,86,54,3
性／年齢別男性20歳代,100.0,60.1,37.8,2.1
性／年齢別男性30歳代,153,123,28,2
性／年齢別男性30歳代,100.0,80.4,18.3,1.3
性／年齢別男性40歳代,176,130,43,3
性／年齢別男性40歳代,100.0,73.9,24.4,1.7
性／年齢別男性50歳代,148,107,37,4
性／年齢別男性50歳代,100.0,72.3,25.0,2.7
性／年齢別男性60歳代,169,116,39,14
性／年齢別男性60歳代,100.0,68.6,23.1,8.3
性／年齢別男性70歳代,118,59,53,6
性／年齢別男性70歳代,100.0,50.0,44.9,5.1
性／年齢別男性80歳以上,39,17,18,4
性／年齢別男性80歳以上,100.0,43.6,46.2,10.3
性／年齢別女性20歳代,152,85,67,-
性／年齢別女性20歳代,100.0,55.9,44.1,-
性／年齢別女性30歳代,202,136,60,6
性／年齢別女性30歳代,100.0,67.3,29.7,3.0
性／年齢別女性40歳代,222,159,60,3
性／年齢別女性40歳代,100.0,71.6,27.0,1.4
性／年齢別女性50歳代,145,92,42,11
性／年齢別女性50歳代,100.0,63.4,29.0,7.6
性／年齢別女性60歳代,158,96,49,13
性／年齢別女性60歳代,100.0,60.8,31.0,8.2
性／年齢別女性70歳代,114,55,56,3
性／年齢別女性70歳代,100.0,48.2,49.1,2.6
性／年齢別女性80歳以上,51,10,38,3
性／年齢別女性80歳以上,100.0,19.6,74.5,5.9
未・既婚別未婚（死別・離別を含む）,801,463,318,20
未・既婚別未婚（死別・離別を含む）,100.0,57.8,39.7,2.5
未・既婚別既婚,1188,818,317,53
未・既婚別既婚,100.0,68.9,26.7,4.5
子供の有無別子供はいない,779,485,275,19
子供の有無別子供はいない,100.0,62.3,35.3,2.4
子供の有無別未就学（～６歳）,155,123,31,1
子供の有無別未就学（～６歳）,100.0,79.4,20.0,0.6
子供の有無別小・中・高校生,320,240,75,5
子供の有無別小・中・高校生,100.0,75.0,23.4,1.6
子供の有無別大学生・大学院生・短大生・専門学校生,92,70,18,4
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,76.1,19.6,4.3
子供の有無別学校教育終了,671,392,235,44
子供の有無別学校教育終了,100.0,58.4,35.0,6.6
子供の有無別その他,11,6,4,1
子供の有無別その他,100.0,54.5,36.4,9.1
職業別自営業（計）,174,103,59,12
職業別自営業（計）,100.0,59.2,33.9,6.9
職業別農林漁業,2,2,-,-
職業別農林漁業,100.0,100.0,-,-
職業別商工・サービス業,71,46,20,5
職業別商工・サービス業,100.0,64.8,28.2,7.0
職業別その他自由業,101,55,39,7
職業別その他自由業,100.0,54.5,38.6,6.9
職業別お勤め（計）,981,702,260,19
職業別お勤め（計）,100.0,71.6,26.5,1.9
職業別経営・管理職,109,94,14,1
職業別経営・管理職,100.0,86.2,12.8,0.9
職業別専門職・技術職,261,199,57,5
職業別専門職・技術職,100.0,76.2,21.8,1.9
職業別事務職,305,217,83,5
職業別事務職,100.0,71.1,27.2,1.6
職業別労務職・技能職,89,62,25,2
職業別労務職・技能職,100.0,69.7,28.1,2.2
職業別販売・サービス職,217,130,81,6
職業別販売・サービス職,100.0,59.9,37.3,2.8
職業別その他（計）,841,478,320,43
職業別その他（計）,100.0,56.8,38.0,5.1
職業別学生,53,31,22,-
職業別学生,100.0,58.5,41.5,-
職業別専業主婦（夫）,391,258,119,14
職業別専業主婦（夫）,100.0,66.0,30.4,3.6
職業別その他,62,42,20,-
職業別その他,100.0,67.7,32.3,-
職業別無職（年金受給者含む）,335,147,159,29
職業別無職（年金受給者含む）,100.0,43.9,47.5,8.7
投票所までの時間別５分以内,636,411,202,23
投票所までの時間別５分以内,100.0,64.6,31.8,3.6
投票所までの時間別10分以内,1060,707,320,33
投票所までの時間別10分以内,100.0,66.7,30.2,3.1
投票所までの時間別20分以内,221,131,74,16
投票所までの時間別20分以内,100.0,59.3,33.5,7.2
投票所までの時間別30分以内,50,15,34,1
投票所までの時間別30分以内,100.0,30.0,68.0,2.0
投票所までの時間別30分を超える,26,23,3,-
投票所までの時間別30分を超える,100.0,88.5,11.5,-
