,割合（％）,備考
今回選挙電車・駅構内、庁舎・公共施設等での選挙公報用ポスター（仲間由紀恵）,34.1,
平成24年衆議院議員選挙電車・駅構内、庁舎・公共施設等での選挙公報用ポスター（仲間由紀恵）,-,※1
今回選挙選挙広報用の新聞広告,30.7,
平成24年衆議院議員選挙選挙広報用の新聞広告,23.6,
今回選挙区市町村の広報車,19.4,
平成24年衆議院議員選挙区市町村の広報車,7.7,
今回選挙国、都、区市町村の広報誌,16.7,
平成24年衆議院議員選挙国、都、区市町村の広報誌,-,※2
今回選挙区市町村の広報掲示板,14.4,
平成24年衆議院議員選挙区市町村の広報掲示板,4.1,
今回選挙ラジオ告知（都民ニュース）,5.6,※3
平成24年衆議院議員選挙ラジオ告知（都民ニュース）,-,
今回選挙庁舎や公園などの懸垂幕・横断幕,5.5,
平成24年衆議院議員選挙庁舎や公園などの懸垂幕・横断幕,5.2,
今回選挙インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,4.2,
平成24年衆議院議員選挙インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,2.3,
今回選挙ポケットティッシュ、マスク等の広報グッズ,2.5,
平成24年衆議院議員選挙ポケットティッシュ、マスク等の広報グッズ,1.6,
今回選挙コンビニレジ画面の広告,2.5,
平成24年衆議院議員選挙コンビニレジ画面の広告,0.5,
今回選挙スーパー、コンビニなどの店内放送、防災無線による放送,1.6,
平成24年衆議院議員選挙スーパー、コンビニなどの店内放送、防災無線による放送,-,※4
今回選挙都及び区市町村、総務省のホームページ,1.6,
平成24年衆議院議員選挙都及び区市町村、総務省のホームページ,1.6,
今回選挙都、区市町村、総務省のＳＮＳ（ツイッター等）,0.9,
平成24年衆議院議員選挙都、区市町村、総務省のＳＮＳ（ツイッター等）,-,※5
今回選挙衆議院議員選挙メッセージツリーイベント（渋谷・吉祥寺）,0.5,※3
平成24年衆議院議員選挙衆議院議員選挙メッセージツリーイベント（渋谷・吉祥寺）,-,
今回選挙都庁舎のライトアップ,0.4,※3
平成24年衆議院議員選挙都庁舎のライトアップ,-,
今回選挙はし袋広告（コンビニ、大学で配布）,0.1,
平成24年衆議院議員選挙はし袋広告（コンビニ、大学で配布）,0.1,
今回選挙その他,0.3,
平成24年衆議院議員選挙その他,0.2,
今回選挙見たり聞いたりしたものはない,21.3,
平成24年衆議院議員選挙見たり聞いたりしたものはない,27.8,
今回選挙わからない、忘れた,11.4,
平成24年衆議院議員選挙わからない、忘れた,4.3,
今回選挙無回答,0.6,
平成24年衆議院議員選挙無回答,0.5,
,,今回選挙（ｎ＝1827）
,,平成24年衆議院議員選挙（ｎ＝1822）
,,※1平成24年は「各駅構内のポスター」9.1％、「庁舎や公共施設等でのポスター」8.6％
,,※2平成24年は「区市町村の広報紙」17.8％、「都の広報紙」16.3％、「国の広報紙」7.5％
,,※3今回調査で追加
,,※4平成24年は「防災無線による放送」1.5％、「スーパーなどの店内放送」0.2％
,,※5平成24年は「都選管のフェイスブック」0.3％
