質問,n,さほど効果や影響があるとは思わない(%),候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた(%),選挙に関する情報がリアルタイムで得ることができた(%),インターネットを使わない人にとって不利になった(%),選挙への関心が高まった(%),ビラやはがきが減った(%),ひぼう中傷やデマが横行した(%),わからない(%)
全体,(999),27.1,19.7,16.0,10.7,7.2,6.6,5.8,29.6
性別男性,(485),28.9,21.6,16.5,9.1,7.6,6.6,6.2,27.0
性別女性,(514),25.5,17.9,15.6,12.3,6.8,6.6,5.4,32.1
年齢別20歳代,(52),28.8,42.3,40.4,11.5,25.0,5.8,11.5,9.6
年齢別30歳代,(145),21.4,37.2,32.4,13.8,11.0,11.7,11.7,12.4
年齢別40歳代,(217),29.0,22.6,20.3,13.4,7.4,6.9,6.5,22.6
年齢別50歳代,(178),27.0,21.9,12.4,12.4,7.9,7.9,7.9,25.3
年齢別60歳代,(213),31.0,10.8,9.4,7.5,3.8,5.2,2.8,37.1
年齢別70歳代,(151),23.2,5.3,3.3,6.6,3.3,3.3,0.7,54.3
年齢別80歳以上,(36),22.2,5.6,2.8,11.1,0,2.8,0,44.4
