,調査数,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80歳以上,無回答
全体,2011,120,175,150,205,208,190,158,135,160,167,137,95,90,21
全体,100.0,6.0,8.7,7.5,10.2,10.3,9.4,7.9,6.7,8.0,8.3,6.8,4.7,4.5,1.0
性別男性,950,59,84,67,86,89,87,74,74,84,85,64,54,39,4
性別男性,100.0,6.2,8.8,7.1,9.1,9.4,9.2,7.8,7.8,8.8,8.9,6.7,5.7,4.1,0.4
性別女性,1061,61,91,83,119,119,103,84,61,76,82,73,41,51,17
性別女性,100.0,5.7,8.6,7.8,11.2,11.2,9.7,7.9,5.7,7.2,7.7,6.9,3.9,4.8,1.6
年齢20歳代,295,120,175,-,-,-,-,-,-,-,-,-,-,-,-
年齢20歳代,100.0,40.7,59.3,-,-,-,-,-,-,-,-,-,-,-,-
年齢30歳代,355,-,-,150,205,-,-,-,-,-,-,-,-,-,-
年齢30歳代,100.0,-,-,42.3,57.7,-,-,-,-,-,-,-,-,-,-
年齢40歳代,398,-,-,-,-,208,190,-,-,-,-,-,-,-,-
年齢40歳代,100.0,-,-,-,-,52.3,47.7,-,-,-,-,-,-,-,-
年齢50歳代,293,-,-,-,-,-,-,158,135,-,-,-,-,-,-
年齢50歳代,100.0,-,-,-,-,-,-,53.9,46.1,-,-,-,-,-,-
年齢60歳代,327,-,-,-,-,-,-,-,-,160,167,-,-,-,-
年齢60歳代,100.0,-,-,-,-,-,-,-,-,48.9,51.1,-,-,-,-
年齢70歳代,232,-,-,-,-,-,-,-,-,-,-,137,95,-,-
年齢70歳代,100.0,-,-,-,-,-,-,-,-,-,-,59.1,40.9,-,-
年齢80歳以上,90,-,-,-,-,-,-,-,-,-,-,-,-,90,-
年齢80歳以上,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
性／年齢別男性20歳代,143,59,84,-,-,-,-,-,-,-,-,-,-,-,-
性／年齢別男性20歳代,100.0,41.3,58.7,-,-,-,-,-,-,-,-,-,-,-,-
性／年齢別男性30歳代,153,-,-,67,86,-,-,-,-,-,-,-,-,-,-
性／年齢別男性30歳代,100.0,-,-,43.8,56.2,-,-,-,-,-,-,-,-,-,-
性／年齢別男性40歳代,176,-,-,-,-,89,87,-,-,-,-,-,-,-,-
性／年齢別男性40歳代,100.0,-,-,-,-,50.6,49.4,-,-,-,-,-,-,-,-
性／年齢別男性50歳代,148,-,-,-,-,-,-,74,74,-,-,-,-,-,-
性／年齢別男性50歳代,100.0,-,-,-,-,-,-,50.0,50.0,-,-,-,-,-,-
性／年齢別男性60歳代,169,-,-,-,-,-,-,-,-,84,85,-,-,-,-
性／年齢別男性60歳代,100.0,-,-,-,-,-,-,-,-,49.7,50.3,-,-,-,-
性／年齢別男性70歳代,118,-,-,-,-,-,-,-,-,-,-,64,54,-,-
性／年齢別男性70歳代,100.0,-,-,-,-,-,-,-,-,-,-,54.2,45.8,-,-
性／年齢別男性80歳以上,39,-,-,-,-,-,-,-,-,-,-,-,-,39,-
性／年齢別男性80歳以上,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
性／年齢別女性20歳代,152,61,91,-,-,-,-,-,-,-,-,-,-,-,-
性／年齢別女性20歳代,100.0,40.1,59.9,-,-,-,-,-,-,-,-,-,-,-,-
性／年齢別女性30歳代,202,-,-,83,119,-,-,-,-,-,-,-,-,-,-
性／年齢別女性30歳代,100.0,-,-,41.1,58.9,-,-,-,-,-,-,-,-,-,-
性／年齢別女性40歳代,222,-,-,-,-,119,103,-,-,-,-,-,-,-,-
性／年齢別女性40歳代,100.0,-,-,-,-,53.6,46.4,-,-,-,-,-,-,-,-
性／年齢別女性50歳代,145,-,-,-,-,-,-,84,61,-,-,-,-,-,-
性／年齢別女性50歳代,100.0,-,-,-,-,-,-,57.9,42.1,-,-,-,-,-,-
性／年齢別女性60歳代,158,-,-,-,-,-,-,-,-,76,82,-,-,-,-
性／年齢別女性60歳代,100.0,-,-,-,-,-,-,-,-,48.1,51.9,-,-,-,-
性／年齢別女性70歳代,114,-,-,-,-,-,-,-,-,-,-,73,41,-,-
性／年齢別女性70歳代,100.0,-,-,-,-,-,-,-,-,-,-,64.0,36.0,-,-
性／年齢別女性80歳以上,51,-,-,-,-,-,-,-,-,-,-,-,-,51,-
性／年齢別女性80歳以上,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
未・既婚別未婚（死別・離別を含む）,801,119,155,90,80,60,56,37,31,28,30,34,29,46,6
未・既婚別未婚（死別・離別を含む）,100.0,14.9,19.4,11.2,10.0,7.5,7.0,4.6,3.9,3.5,3.7,4.2,3.6,5.7,0.7
未・既婚別既婚,1188,1,20,58,124,146,134,119,103,131,133,101,64,41,13
未・既婚別既婚,100.0,0.1,1.7,4.9,10.4,12.3,11.3,10.0,8.7,11.0,11.2,8.5,5.4,3.5,1.1
子供の有無別子供はいない,779,116,155,100,107,76,63,39,30,29,21,20,10,7,6
子供の有無別子供はいない,100.0,14.9,19.9,12.8,13.7,9.8,8.1,5.0,3.9,3.7,2.7,2.6,1.3,0.9,0.8
子供の有無別未就学（～６歳）,155,-,5,35,54,42,14,-,1,-,-,-,-,-,4
子供の有無別未就学（～６歳）,100.0,-,3.2,22.6,34.8,27.1,9.0,-,0.6,-,-,-,-,-,2.6
子供の有無別小・中・高校生,320,-,3,7,48,94,98,46,15,1,4,-,-,-,4
子供の有無別小・中・高校生,100.0,-,0.9,2.2,15.0,29.4,30.6,14.4,4.7,0.3,1.3,-,-,-,1.3
子供の有無別大学生・大学院生・短大生・専門学校生,92,1,1,1,-,8,11,35,26,5,2,1,-,-,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,1.1,1.1,1.1,-,8.7,12.0,38.0,28.3,5.4,2.2,1.1,-,-,1.1
子供の有無別学校教育終了,671,-,-,-,1,1,11,56,64,125,136,112,83,75,7
子供の有無別学校教育終了,100.0,-,-,-,0.1,0.1,1.6,8.3,9.5,18.6,20.3,16.7,12.4,11.2,1.0
子供の有無別その他,11,-,-,-,-,-,1,-,1,1,1,4,1,2,-
子供の有無別その他,100.0,-,-,-,-,-,9.1,-,9.1,9.1,9.1,36.4,9.1,18.2,-
職業別自営業（計）,174,2,8,9,16,18,22,24,14,21,15,9,8,6,2
職業別自営業（計）,100.0,1.1,4.6,5.2,9.2,10.3,12.6,13.8,8.0,12.1,8.6,5.2,4.6,3.4,1.1
職業別農林漁業,2,-,-,-,-,-,-,1,-,-,-,-,-,1,-
職業別農林漁業,100.0,-,-,-,-,-,-,50.0,-,-,-,-,-,50.0,-
職業別商工・サービス業,71,2,5,4,10,10,4,12,4,7,3,2,4,3,1
職業別商工・サービス業,100.0,2.8,7.0,5.6,14.1,14.1,5.6,16.9,5.6,9.9,4.2,2.8,5.6,4.2,1.4
職業別その他自由業,101,-,3,5,6,8,18,11,10,14,12,7,4,2,1
職業別その他自由業,100.0,-,3.0,5.0,5.9,7.9,17.8,10.9,9.9,13.9,11.9,6.9,4.0,2.0,1.0
職業別お勤め（計）,981,67,147,114,135,123,99,81,90,60,34,12,5,4,10
職業別お勤め（計）,100.0,6.8,15.0,11.6,13.8,12.5,10.1,8.3,9.2,6.1,3.5,1.2,0.5,0.4,1.0
職業別経営・管理職,109,-,3,1,9,10,21,20,13,12,13,5,1,1,-
職業別経営・管理職,100.0,-,2.8,0.9,8.3,9.2,19.3,18.3,11.9,11.0,11.9,4.6,0.9,0.9,-
職業別専門職・技術職,261,18,34,32,36,33,25,20,30,17,8,2,1,1,4
職業別専門職・技術職,100.0,6.9,13.0,12.3,13.8,12.6,9.6,7.7,11.5,6.5,3.1,0.8,0.4,0.4,1.5
職業別事務職,305,17,48,46,53,37,28,22,25,18,5,1,1,1,3
職業別事務職,100.0,5.6,15.7,15.1,17.4,12.1,9.2,7.2,8.2,5.9,1.6,0.3,0.3,0.3,1.0
職業別労務職・技能職,89,4,18,5,13,13,8,6,10,7,2,1,2,-,-
職業別労務職・技能職,100.0,4.5,20.2,5.6,14.6,14.6,9.0,6.7,11.2,7.9,2.2,1.1,2.2,-,-
職業別販売・サービス職,217,28,44,30,24,30,17,13,12,6,6,3,-,1,3
職業別販売・サービス職,100.0,12.9,20.3,13.8,11.1,13.8,7.8,6.0,5.5,2.8,2.8,1.4,-,0.5,1.4
職業別その他（計）,841,50,20,25,53,65,69,53,30,79,115,115,82,78,7
職業別その他（計）,100.0,5.9,2.4,3.0,6.3,7.7,8.2,6.3,3.6,9.4,13.7,13.7,9.8,9.3,0.8
職業別学生,53,44,7,-,-,2,-,-,-,-,-,-,-,-,-
職業別学生,100.0,83.0,13.2,-,-,3.8,-,-,-,-,-,-,-,-,-
職業別専業主婦（夫）,391,-,3,16,47,51,50,39,26,42,46,36,19,10,6
職業別専業主婦（夫）,100.0,-,0.8,4.1,12.0,13.0,12.8,10.0,6.6,10.7,11.8,9.2,4.9,2.6,1.5
職業別その他,62,6,7,5,3,9,11,7,-,5,4,4,1,-,-
職業別その他,100.0,9.7,11.3,8.1,4.8,14.5,17.7,11.3,-,8.1,6.5,6.5,1.6,-,-
職業別無職（年金受給者含む）,335,-,3,4,3,3,8,7,4,32,65,75,62,68,1
職業別無職（年金受給者含む）,100.0,-,0.9,1.2,0.9,0.9,2.4,2.1,1.2,9.6,19.4,22.4,18.5,20.3,0.3
