,参議院議員選挙／調査数,参議院議員選挙／選挙期間に入る前から（6月21日以前）,参議院議員選挙／投票日当日を除く選挙期間中(6月22日から7月9日まで),参議院議員選挙／投票日当日（7月10日）,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／選挙期間に入る前から（7月13日以前）,東京都知事選挙／投票日当日を除く選挙期間中(7月14日から7月30日まで）,東京都知事選挙／投票日当日（7月31日）,東京都知事選挙／わからない、忘れた
全体,1226,263,812,143,8,1254,350,776,122,6
全体,100.0,21.5,66.2,11.7,0.7,100.0,27.9,61.9,9.7,0.5
性別男性,582,133,389,55,5,593,168,371,50,4
性別男性,100.0,22.9,66.8,9.5,0.9,100.0,28.3,62.6,8.4,0.7
性別女性,644,130,423,88,3,661,182,405,72,2
性別女性,100.0,20.2,65.7,13.7,0.5,100.0,27.5,61.3,10.9,0.3
年齢別18歳,5,1,2,2,-,5,2,1,2,-
年齢別18歳,100.0,20.0,40.0,40.0,-,100.0,40.0,20.0,40.0,-
年齢別19歳,9,-,6,2,1,10,2,5,2,1
年齢別19歳,100.0,-,66.7,22.2,11.1,100.0,20.0,50.0,20.0,10.0
年齢別20歳代,69,6,43,18,2,72,11,44,15,2
年齢別20歳代,100.0,8.7,62.3,26.1,2.9,100.0,15.3,61.1,20.8,2.8
年齢別30歳代,172,24,117,30,1,174,39,108,27,-
年齢別30歳代,100.0,14.0,68.0,17.4,0.6,100.0,22.4,62.1,15.5,-
年齢別40歳代,277,45,200,30,2,281,67,193,19,2
年齢別40歳代,100.0,16.2,72.2,10.8,0.7,100.0,23.8,68.7,6.8,0.7
年齢別50歳代,228,47,156,25,-,225,58,142,24,1
年齢別50歳代,100.0,20.6,68.4,11.0,-,100.0,25.8,63.1,10.7,0.4
年齢別60歳代,255,65,170,19,1,264,79,168,17,-
年齢別60歳代,100.0,25.5,66.7,7.5,0.4,100.0,29.9,63.6,6.4,-
年齢別70歳代,158,53,93,11,1,169,70,88,11,-
年齢別70歳代,100.0,33.5,58.9,7.0,0.6,100.0,41.4,52.1,6.5,-
年齢別80歳以上,53,22,25,6,-,54,22,27,5,-
年齢別80歳以上,100.0,41.5,47.2,11.3,-,100.0,40.7,50.0,9.3,-
性/年齢別男性18歳,1,-,1,-,-,1,-,1,-,-
性/年齢別男性18歳,100.0,-,100.0,-,-,100.0,-,100.0,-,-
性/年齢別男性19歳,8,-,5,2,1,8,2,3,2,1
性/年齢別男性19歳,100.0,-,62.5,25.0,12.5,100.0,25.0,37.5,25.0,12.5
性/年齢別男性20歳代,33,1,22,9,1,34,4,23,6,1
性/年齢別男性20歳代,100.0,3.0,66.7,27.3,3.0,100.0,11.8,67.6,17.6,2.9
性/年齢別男性30歳代,80,14,57,8,1,83,17,56,10,-
性/年齢別男性30歳代,100.0,17.5,71.3,10.0,1.3,100.0,20.5,67.5,12.0,-
性/年齢別男性40歳代,120,20,89,9,2,124,30,86,6,2
性/年齢別男性40歳代,100.0,16.7,74.2,7.5,1.7,100.0,24.2,69.4,4.8,1.6
性/年齢別男性50歳代,111,20,79,12,-,109,25,72,12,-
性/年齢別男性50歳代,100.0,18.0,71.2,10.8,-,100.0,22.9,66.1,11.0,-
性/年齢別男性60歳代,124,35,82,7,-,123,41,74,8,-
性/年齢別男性60歳代,100.0,28.2,66.1,5.6,-,100.0,33.3,60.2,6.5,-
性/年齢別男性70歳代,79,30,44,5,-,84,35,45,4,-
性/年齢別男性70歳代,100.0,38.0,55.7,6.3,-,100.0,41.7,53.6,4.8,-
性/年齢別男性80歳以上,26,13,10,3,-,27,14,11,2,-
性/年齢別男性80歳以上,100.0,50.0,38.5,11.5,-,100.0,51.9,40.7,7.4,-
性/年齢別女性18歳,4,1,1,2,-,4,2,-,2,-
性/年齢別女性18歳,100.0,25.0,25.0,50.0,-,100.0,50.0,-,50.0,-
性/年齢別女性19歳,1,-,1,-,-,2,-,2,-,-
性/年齢別女性19歳,100.0,-,100.0,-,-,100.0,-,100.0,-,-
性/年齢別女性20歳代,36,5,21,9,1,38,7,21,9,1
性/年齢別女性20歳代,100.0,13.9,58.3,25.0,2.8,100.0,18.4,55.3,23.7,2.6
性/年齢別女性30歳代,92,10,60,22,-,91,22,52,17,-
性/年齢別女性30歳代,100.0,10.9,65.2,23.9,-,100.0,24.2,57.1,18.7,-
性/年齢別女性40歳代,157,25,111,21,-,157,37,107,13,-
性/年齢別女性40歳代,100.0,15.9,70.7,13.4,-,100.0,23.6,68.2,8.3,-
性/年齢別女性50歳代,117,27,77,13,-,116,33,70,12,1
性/年齢別女性50歳代,100.0,23.1,65.8,11.1,-,100.0,28.4,60.3,10.3,0.9
性/年齢別女性60歳代,131,30,88,12,1,141,38,94,9,-
性/年齢別女性60歳代,100.0,22.9,67.2,9.2,0.8,100.0,27.0,66.7,6.4,-
性/年齢別女性70歳代,79,23,49,6,1,85,35,43,7,-
性/年齢別女性70歳代,100.0,29.1,62.0,7.6,1.3,100.0,41.2,50.6,8.2,-
性/年齢別女性80歳以上,27,9,15,3,-,27,8,16,3,-
