,参議院議員選挙/調査数,参議院議員選挙/旅行に出かけていたから,参議院議員選挙/投票日を忘れていたから、知らなかったから,参議院議員選挙/投票所へ行くのが面倒だったから,参議院議員選挙/投票所が遠かった（不便だった、わからなかった）から,参議院議員選挙/適当な候補者がいなかったから,参議院議員選挙/候補者の人柄や政策がわからなかったから,参議院議員選挙/政治や選挙には関心がないから,参議院議員選挙/仕事が忙しく、時間がなかったから,参議院議員選挙/病気（看病を含む）又は体調が悪かったから,参議院議員選挙/選挙によって政治や暮らしが良くなるわけではないから,参議院議員選挙/自分一人が投票しなくても選挙の結果に影響がないから,参議院議員選挙/その他,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/旅行に出かけていたから,東京都知事選挙/投票日を忘れていたから、知らなかったから,東京都知事選挙/投票所へ行くのが面倒だったから,東京都知事選挙/投票所が遠かった（不便だった、わからなかった）から,東京都知事選挙/適当な候補者がいなかったから,東京都知事選挙/候補者の人柄や政策がわからなかったから,東京都知事選挙/政治や選挙には関心がないから,東京都知事選挙/仕事が忙しく、時間がなかったから,東京都知事選挙/病気（看病を含む）又は体調が悪かったから,東京都知事選挙/選挙によって政治や暮らしが良くなるわけではないから,東京都知事選挙/自分一人が投票しなくても選挙の結果に影響がないから,東京都知事選挙/その他,東京都知事選挙/わからない、忘れた
全体,377,16,15,33,8,68,14,53,131,84,42,58,11,7,321,11,13,30,8,31,4,53,121,74,41,47,8,6
全体,100.0,4.2,4.0,8.8,2.1,18.0,3.7,14.1,34.7,22.3,11.1,15.4,2.9,1.9,100.0,3.4,4.0,9.3,2.5,9.7,1.2,16.5,37.7,23.1,12.8,14.6,2.5,1.9
性別男性,173,5,5,13,3,31,2,28,71,33,20,27,5,2,150,4,3,14,3,14,1,27,66,31,19,22,2,2
性別男性,100.0,2.9,2.9,7.5,1.7,17.9,1.2,16.2,41.0,19.1,11.6,15.6,2.9,1.2,100.0,2.7,2.0,9.3,2.0,9.3,0.7,18.0,44.0,20.7,12.7,14.7,1.3,1.3
性別女性,204,11,10,20,5,37,12,25,60,51,22,31,6,5,171,7,10,16,5,17,3,26,55,43,22,25,6,4
性別女性,100.0,5.4,4.9,9.8,2.5,18.1,5.9,12.3,29.4,25.0,10.8,15.2,2.9,2.5,100.0,4.1,5.8,9.4,2.9,9.9,1.8,15.2,32.2,25.1,12.9,14.6,3.5,2.3
年齢別18歳,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
年齢別18歳,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-
年齢別19歳,10,1,-,2,-,-,-,4,5,-,1,-,-,-,9,1,-,1,-,-,-,4,5,-,1,-,-,-
年齢別19歳,100.0,10.0,-,20.0,-,-,-,40.0,50.0,-,10.0,-,-,-,100.0,11.1,-,11.1,-,-,-,44.4,55.6,-,11.1,-,-,-
年齢別20歳代,75,1,6,6,2,11,1,21,34,1,14,19,2,1,68,1,3,6,2,7,1,20,33,1,14,16,1,-
年齢別20歳代,100.0,1.3,8.0,8.0,2.7,14.7,1.3,28.0,45.3,1.3,18.7,25.3,2.7,1.3,100.0,1.5,4.4,8.8,2.9,10.3,1.5,29.4,48.5,1.5,20.6,23.5,1.5,-
年齢別30歳代,58,3,2,4,1,16,2,8,31,3,9,10,1,-,47,2,2,4,1,5,-,9,29,2,9,11,1,-
年齢別30歳代,100.0,5.2,3.4,6.9,1.7,27.6,3.4,13.8,53.4,5.2,15.5,17.2,1.7,-,100.0,4.3,4.3,8.5,2.1,10.6,-,19.1,61.7,4.3,19.1,23.4,2.1,-
年齢別40歳代,68,4,1,7,-,15,2,9,36,7,9,12,3,2,59,2,1,7,-,6,-,9,32,7,10,9,4,1
年齢別40歳代,100.0,5.9,1.5,10.3,-,22.1,2.9,13.2,52.9,10.3,13.2,17.6,4.4,2.9,100.0,3.4,1.7,11.9,-,10.2,-,15.3,54.2,11.9,16.9,15.3,6.8,1.7
年齢別50歳代,47,2,1,3,1,12,3,5,20,5,4,7,1,1,41,3,2,3,1,5,2,5,18,4,3,3,1,2
年齢別50歳代,100.0,4.3,2.1,6.4,2.1,25.5,6.4,10.6,42.6,10.6,8.5,14.9,2.1,2.1,100.0,7.3,4.9,7.3,2.4,12.2,4.9,12.2,43.9,9.8,7.3,7.3,2.4,4.9
年齢別60歳代,40,3,1,1,-,7,2,2,5,17,3,6,-,-,30,-,1,2,-,3,1,2,4,13,3,6,-,-
