,参議院議員選挙/調査数,参議院議員選挙/候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,参議院議員選挙/選挙に関する情報がリアルタイムで得ることができた,参議院議員選挙/さほど効果や影響があるとは思わない,参議院議員選挙/選挙への関心が高まった,参議院議員選挙/ビラやはがきが減った,参議院議員選挙/候補者になりすましたり偽名を使った不正な情報が氾濫した,参議院議員選挙/ひぼう中傷やデマが横行した,参議院議員選挙/インターネットを使わない人にとって不利になった,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,東京都知事選挙/選挙に関する情報がリアルタイムで得ることができた,東京都知事選挙/さほど効果や影響があるとは思わない,東京都知事選挙/選挙への関心が高まった,東京都知事選挙/ビラやはがきが減った,東京都知事選挙/候補者になりすましたり偽名を使った不正な情報が氾濫した,東京都知事選挙/ひぼう中傷やデマが横行した,東京都知事選挙/インターネットを使わない人にとって不利になった,東京都知事選挙/その他,東京都知事選挙/わからない
全体,1516,310,259,441,126,191,9,59,151,6,495,1516,310,259,441,126,191,9,59,151,6,495
全体,100.0,20.4,17.1,29.1,8.3,12.6,0.6,3.9,10.0,0.4,32.7,100.0,20.4,17.1,29.1,8.3,12.6,0.6,3.9,10.0,0.4,32.7
性別男性,706,177,150,194,64,104,2,36,80,1,200,,,,,,,,,,,
性別男性,100.0,25.1,21.2,27.5,9.1,14.7,0.3,5.1,11.3,0.1,28.3,,,,,,,,,,,
性別女性,810,133,109,247,62,87,7,23,71,5,295,,,,,,,,,,,
性別女性,100.0,16.4,13.5,30.5,7.7,10.7,0.9,2.8,8.8,0.6,36.4,,,,,,,,,,,
年齢別18歳,6,3,-,3,-,-,-,-,-,-,-,,,,,,,,,,,
年齢別18歳,100.0,50.0,-,50.0,-,-,-,-,-,-,-,,,,,,,,,,,
年齢別19歳,11,4,1,5,2,-,-,1,-,-,2,,,,,,,,,,,
年齢別19歳,100.0,36.4,9.1,45.5,18.2,-,-,9.1,-,-,18.2,,,,,,,,,,,
年齢別20歳代,97,25,24,35,14,10,1,7,8,1,15,,,,,,,,,,,
年齢別20歳代,100.0,25.8,24.7,36.1,14.4,10.3,1.0,7.2,8.2,1.0,15.5,,,,,,,,,,,
年齢別30歳代,214,74,58,55,34,36,5,13,23,-,44,,,,,,,,,,,
年齢別30歳代,100.0,34.6,27.1,25.7,15.9,16.8,2.3,6.1,10.7,-,20.6,,,,,,,,,,,
年齢別40歳代,345,101,98,97,32,63,-,18,40,1,73,,,,,,,,,,,
年齢別40歳代,100.0,29.3,28.4,28.1,9.3,18.3,-,5.2,11.6,0.3,21.2,,,,,,,,,,,
年齢別50歳代,272,51,43,93,18,31,1,11,36,3,72,,,,,,,,,,,
年齢別50歳代,100.0,18.8,15.8,34.2,6.6,11.4,0.4,4.0,13.2,1.1,26.5,,,,,,,,,,,
年齢別60歳代,309,32,26,94,16,31,2,6,25,1,138,,,,,,,,,,,
年齢別60歳代,100.0,10.4,8.4,30.4,5.2,10.0,0.6,1.9,8.1,0.3,44.7,,,,,,,,,,,
年齢別70歳代,197,16,8,49,6,16,-,2,12,-,111,,,,,,,,,,,
年齢別70歳代,100.0,8.1,4.1,24.9,3.0,8.1,-,1.0,6.1,-,56.3,,,,,,,,,,,
年齢別80歳以上,65,4,1,10,4,4,-,1,7,-,40,,,,,,,,,,,
年齢別80歳以上,100.0,6.2,1.5,15.4,6.2,6.2,-,1.5,10.8,-,61.5,,,,,,,,,,,
性/年齢別男性18歳,1,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,,
性/年齢別男性18歳,100.0,-,-,100.0,-,-,-,-,-,-,-,,,,,,,,,,,
性/年齢別男性19歳,8,4,1,3,2,-,-,1,-,-,1,,,,,,,,,,,
性/年齢別男性19歳,100.0,50.0,12.5,37.5,25.0,-,-,12.5,-,-,12.5,,,,,,,,,,,
性/年齢別男性20歳代,43,11,12,13,5,3,-,5,2,-,7,,,,,,,,,,,
性/年齢別男性20歳代,100.0,25.6,27.9,30.2,11.6,7.0,-,11.6,4.7,-,16.3,,,,,,,,,,,
性/年齢別男性30歳代,100,44,35,22,19,25,1,7,14,-,13,,,,,,,,,,,
性/年齢別男性30歳代,100.0,44.0,35.0,22.0,19.0,25.0,1.0,7.0,14.0,-,13.0,,,,,,,,,,,
性/年齢別男性40歳代,149,59,55,34,16,31,-,14,23,-,23,,,,,,,,,,,
性/年齢別男性40歳代,100.0,39.6,36.9,22.8,10.7,20.8,-,9.4,15.4,-,15.4,,,,,,,,,,,
性/年齢別男性50歳代,133,29,25,48,5,17,1,4,19,-,29,,,,,,,,,,,
性/年齢別男性50歳代,100.0,21.8,18.8,36.1,3.8,12.8,0.8,3.0,14.3,-,21.8,,,,,,,,,,,
性/年齢別男性60歳代,144,22,17,43,10,20,-,4,15,1,51,,,,,,,,,,,
性/年齢別男性60歳代,100.0,15.3,11.8,29.9,6.9,13.9,-,2.8,10.4,0.7,35.4,,,,,,,,,,,
性/年齢別男性70歳代,96,6,4,25,6,6,-,1,4,-,56,,,,,,,,,,,
性/年齢別男性70歳代,100.0,6.3,4.2,26.0,6.3,6.3,-,1.0,4.2,-,58.3,,,,,,,,,,,
性/年齢別男性80歳以上,32,2,1,5,1,2,-,-,3,-,20,,,,,,,,,,,
性/年齢別男性80歳以上,100.0,6.3,3.1,15.6,3.1,6.3,-,-,9.4,-,62.5,,,,,,,,,,,
性/年齢別女性18歳,5,3,-,2,-,-,-,-,-,-,-,,,,,,,,,,,
性/年齢別女性18歳,100.0,60.0,-,40.0,-,-,-,-,-,-,-,,,,,,,,,,,
性/年齢別女性19歳,3,-,-,2,-,-,-,-,-,-,1,,,,,,,,,,,
性/年齢別女性19歳,100.0,-,-,66.7,-,-,-,-,-,-,33.3,,,,,,,,,,,
性/年齢別女性20歳代,54,14,12,22,9,7,1,2,6,1,8,,,,,,,,,,,
性/年齢別女性20歳代,100.0,25.9,22.2,40.7,16.7,13.0,1.9,3.7,11.1,1.9,14.8,,,,,,,,,,,
性/年齢別女性30歳代,114,30,23,33,15,11,4,6,9,-,31,,,,,,,,,,,
性/年齢別女性30歳代,100.0,26.3,20.2,28.9,13.2,9.6,3.5,5.3,7.9,-,27.2,,,,,,,,,,,
性/年齢別女性40歳代,196,42,43,63,16,32,-,4,17,1,50,,,,,,,,,,,
性/年齢別女性40歳代,100.0,21.4,21.9,32.1,8.2,16.3,-,2.0,8.7,0.5,25.5,,,,,,,,,,,
性/年齢別女性50歳代,139,22,18,45,13,14,-,7,17,3,43,,,,,,,,,,,
性/年齢別女性50歳代,100.0,15.8,12.9,32.4,9.4,10.1,-,5.0,12.2,2.2,30.9,,,,,,,,,,,
性/年齢別女性60歳代,165,10,9,51,6,11,2,2,10,-,87,,,,,,,,,,,
性/年齢別女性60歳代,100.0,6.1,5.5,30.9,3.6,6.7,1.2,1.2,6.1,-,52.7,,,,,,,,,,,
性/年齢別女性70歳代,101,10,4,24,-,10,-,1,8,-,55,,,,,,,,,,,
性/年齢別女性70歳代,100.0,9.9,4.0,23.8,-,9.9,-,1.0,7.9,-,54.5,,,,,,,,,,,
性/年齢別女性80歳以上,33,2,-,5,3,2,-,1,4,-,20,,,,,,,,,,,
性/年齢別女性80歳以上,100.0,6.1,-,15.2,9.1,6.1,-,3.0,12.1,-,60.6,,,,,,,,,,,
未・既婚別未婚,230,55,44,79,24,25,-,15,26,1,47,,,,,,,,,,,
