,今回選挙(n=1823)(%),平成26年東京都知事選挙(n=2011)(%),
駅構内、庁舎・公共施設等での選挙広報用ポスター,37.5,30.2,
電車内・駅構内のモニター、街中の大型モニターでの動画広告放映,27.5,27.5,
区市町村の広報掲示板,22.5,6.4,
選挙広報用の新聞広告,21.9,15.0,
区市町村の広報車,21.6,11.1,
都、区市町村の広報誌,20.8,8.8,
インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,7.6,1.5,
スーパー、コンビニなどの店内放送、防災無線による放送,5.7,3.8,
庁舎や公園などの懸垂幕・横断幕※3,4.7,3.3,
ラジオ告知（都民ニュース）,4.2,2.6,
ポケットティッシュ等の広報グッズ,2.2,1.3,
都及び区市町村のホームページ,2.1,1.7,
東京都知事選挙イベント（ららぽーと豊洲、ららぽーと立川立飛、東京ソラマチ）※1,1.2,-,
都、区市町村のＳＮＳ（ツイッター等）,1.2,0.7,
都知事選メッセージバス※2,-,1.4,
新宿駅西口の柱面電飾広告※2,-,1.1,
銀座数寄屋橋交差点の大型懸垂幕※2,-,0.9,
都庁舎のライトアップ※2,-,0.6,
その他,0.5,0.3,
見たり聞いたりしたものはない,11.2,19.2,
わからない、忘れた,19.4,23.7,
無回答,-,0.3,
,,,注：※1今回調査で追加
,,,※2平成26年調査のみ
,,,※3平成26年調査は「庁舎や公園などの懸垂幕・横断幕・のぼり旗」
