質問,n,選挙期間に入る前から(1月22日以前)(%),投票日当日を除く選挙期間中(1月23日から2月8日まで)(%),投票日当日(2月9日)(%),わからない、忘れた(%),無回答(%)
全体,(827),26.0,56.2,14.5,2.1,1.2
性別男性,(396),28.8,51.5,14.9,2.8,2.0
性別女性,(431),23.4,60.6,14.2,1.4,0.5
年齢別20歳代,(45),22.2,62.2,15.6,0,0
年齢別30歳代,(117),15.4,67.5,14.5,1.7,0.9
年齢別40歳代,(183),18.0,56.8,21.9,1.6,1.6
年齢別50歳代,(146),28.8,46.6,19.2,4.1,1.4
年齢別60歳代,(181),32.6,59.1,5.5,2.2,0.6
年齢別70歳代,(115),28.7,57.4,10.4,1.7,1.7
年齢別80歳以上,(33),45.5,33.3,18.2,0,3.0
職業別自営業,(81),38.3,50.6,8.6,1.2,1.2
職業別勤め人,(396),23.3,55.6,16.8,3.0,1.4
職業別学生,(10),0,90.0,10.0,0,0
職業別専業主婦(夫),(189),25.4,59.3,13.2,2.1,0
職業別その他,(22),27.3,54.5,18.2,0,0
職業別無職,(148),27.0,56.1,13.5,0.7,2.7
