質問,n,投票日(2月9日)に投票した(%),期日前投票(又は不在者投票等)をした(%),投票しなかった(%),答えたくない(%),無回答(%),投票した(計)(%)
全体,(2011),41.1,8.6,47.9,2.1,0.3,49.7
性別男性,(950),41.7,9.4,45.9,2.5,0.5,51.1
性別女性,(1061),40.6,7.8,49.7,1.7,0.2,48.4
年齢別20歳代,(295),15.3,2.4,78.6,3.4,0.3,17.6
年齢別30歳代,(355),33.0,7.9,56.6,2.5,0,40.8
年齢別40歳代,(398),46.0,8.5,43.7,1.3,0.5,54.5
年齢別50歳代,(293),49.8,10.9,36.9,2.4,0,60.8
年齢別60歳代,(327),55.4,9.8,32.4,1.8,0.6,65.1
年齢別70歳代,(232),49.6,15.5,32.8,1.7,0.4,65.1
年齢別80歳以上,(90),36.7,3.3,60.0,0,0,40.0
職業別自営業,(174),46.6,6.3,44.3,2.3,0.6,52.9
職業別勤め人,(981),37.6,8.5,51.8,1.8,0.3,46.1
職業別学生,(53),18.9,1.9,73.6,5.7,0,20.8
職業別専業主婦(夫),(391),48.3,8.2,41.7,1.8,0,56.5
職業別その他,(62),35.5,21.0,40.3,1.6,1.6,56.5
職業別無職,(335),44.2,9.6,44.2,1.5,0.6,53.7
