,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,無回答（％）,読んだ（計）（％）
全体,993,15.0,58.6,17.6,8.0,0.8,91.2
性別男性,464,17.0,56.5,17.2,8.6,0.6,90.7
性別女性,529,13.2,60.5,18.0,7.4,0.9,91.7
年齢別20歳代,57,12.3,63.2,7.0,15.8,1.8,82.5
年齢別30歳代,103,7.8,71.8,14.6,4.9,1.0,94.2
年齢別40歳代,170,13.5,54.1,26.5,5.3,0.6,94.1
年齢別50歳代,165,9.1,57.0,18.8,13.9,1.2,84.8
年齢別60歳代,210,15.2,57.1,17.1,10.5,0.0,89.5
年齢別70歳代,206,23.3,57.3,15.5,2.9,1.0,96.1
年齢別80歳以上,82,19.5,58.5,14.6,6.1,1.2,92.7
職業別自営業,91,16.5,59.3,17.6,5.5,1.1,93.4
職業別勤め人,440,11.1,60.7,19.1,8.9,0.2,90.9
職業別学生,11,18.2,54.5,0.0,18.2,9.1,72.7
職業別専業主婦(夫),207,15.5,55.6,17.9,10.1,1.0,88.9
職業別その他,8,50.0,25.0,12.5,0.0,12.5,87.5
職業別無職(年金受給者含む),233,20.2,58.4,15.5,5.2,0.9,94.0
