,調査数,目にした,目にしなかった,4回以上,わからない、忘れた
全体実数,1827,993,739,89,6
全体（％）,100.0,54.4,40.4,4.9,0.3
性別男性実数,882,464,375,39,4
性別男性（％）,100.0,52.6,42.5,4.4,0.5
性別女性実数,945,529,364,50,2
性別女性（％）,100.0,56.0,38.5,5.3,0.2
年齢別20歳代実数,174,57,103,14,-
年齢別20歳代（％）,100.0,32.8,59.2,8.0,-
年齢別30歳代実数,261,103,140,16,2
年齢別30歳代（％）,100.0,39.5,53.6,6.1,0.8
年齢別40歳代実数,365,170,177,18,-
年齢別40歳代（％）,100.0,46.6,48.5,4.9,-
年齢別50歳代実数,294,165,112,15,2
年齢別50歳代（％）,100.0,56.1,38.1,5.1,0.7
年齢別60歳代実数,313,210,93,10,-
年齢別60歳代（％）,100.0,67.1,29.7,3.2,-
年齢別70歳代実数,296,206,79,9,2
年齢別70歳代（％）,100.0,69.6,26.7,3.0,0.7
年齢別80歳以上実数,124,82,35,7,-
年齢別80歳以上（％）,100.0,66.1,28.2,5.6,-
性/年齢別男性20歳代実数,92,36,49,7,-
性/年齢別男性20歳代（％）,100.0,39.1,53.3,7.6,-
性/年齢別男性30歳代実数,118,42,68,6,2
性/年齢別男性30歳代（％）,100.0,35.6,57.6,5.1,1.7
性/年齢別男性40歳代実数,174,74,91,9,-
性/年齢別男性40歳代（％）,100.0,42.5,52.3,5.2,-
性/年齢別男性50歳代実数,161,80,72,8,1
性/年齢別男性50歳代（％）,100.0,49.7,44.7,5.0,0.6
性/年齢別男性60歳代実数,153,97,50,6,-
性/年齢別男性60歳代（％）,100.0,63.4,32.7,3.9,-
性/年齢別男性70歳代実数,134,99,33,1,1
性/年齢別男性70歳代（％）,100.0,73.9,24.6,0.7,0.7
性/年齢別男性80歳以上実数,50,36,12,2,-
性/年齢別男性80歳以上（％）,100.0,72.0,24.0,4.0,-
性/年齢別女性20歳代実数,82,21,54,7,-
性/年齢別女性20歳代（％）,100.0,25.6,65.9,8.5,-
性/年齢別女性30歳代実数,143,61,72,10,-
性/年齢別女性30歳代（％）,100.0,42.7,50.3,7.0,-
性/年齢別女性40歳代実数,191,96,86,9,-
性/年齢別女性40歳代（％）,100.0,50.3,45.0,4.7,-
性/年齢別女性50歳代実数,133,85,40,7,1
性/年齢別女性50歳代（％）,100.0,63.9,30.1,5.3,0.8
性/年齢別女性60歳代実数,160,113,43,4,-
性/年齢別女性60歳代（％）,100.0,70.6,26.9,2.5,-
性/年齢別女性70歳代実数,162,107,46,8,1
性/年齢別女性70歳代（％）,100.0,66.0,28.4,4.9,0.6
性/年齢別女性80歳以上実数,74,46,23,5,-
性/年齢別女性80歳以上（％）,100.0,62.2,31.1,6.8,-
未・既婚別未婚実数,453,186,233,33,1
未・既婚別未婚（％）,100.0,41.1,51.4,7.3,0.2
未・既婚別既婚（死別・離別を含む）実数,1366,804,502,56,4
未・既婚別既婚（死別・離別を含む）（％）,100.0,58.9,36.7,4.1,0.3
子供の有無別子供はいない実数,642,288,312,40,2
子供の有無別子供はいない（％）,100.0,44.9,48.6,6.2,0.3
子供の有無別未就学（～６歳）実数,180,83,89,6,2
子供の有無別未就学（～６歳）（％）,100.0,46.1,49.4,3.3,1.1
子供の有無別小・中・高校生実数,270,136,117,16,1
子供の有無別小・中・高校生（％）,100.0,50.4,43.3,5.9,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,58,43,5,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,54.7,40.6,4.7,-
子供の有無別学校教育終了実数,743,487,229,25,2
子供の有無別学校教育終了（％）,100.0,65.5,30.8,3.4,0.3
子供の有無別その他実数,7,4,2,1,-
子供の有無別その他（％）,100.0,57.1,28.6,14.3,-
職業別自営業（計）実数,152,91,51,9,1
職業別自営業（計）（％）,100.0,59.9,33.6,5.9,0.7
職業別農林漁業実数,3,1,2,-,-
職業別農林漁業（％）,100.0,33.3,66.7,-,-
職業別商工・サービス業実数,96,55,35,6,-
職業別商工・サービス業（％）,100.0,57.3,36.5,6.3,-
職業別その他自由業実数,53,35,14,3,1
職業別その他自由業（％）,100.0,66.0,26.4,5.7,1.9
職業別お勤め（計）実数,934,440,447,45,2
職業別お勤め（計）（％）,100.0,47.1,47.9,4.8,0.2
職業別経営・管理職実数,94,43,48,3,-
職業別経営・管理職（％）,100.0,45.7,51.1,3.2,-
職業別専門職・技術職実数,243,120,109,13,1
職業別専門職・技術職（％）,100.0,49.4,44.9,5.3,0.4
職業別事務職実数,249,131,108,10,-
職業別事務職（％）,100.0,52.6,43.4,4.0,-
職業別労務職・技能職実数,111,46,58,7,-
職業別労務職・技能職（％）,100.0,41.4,52.3,6.3,-
職業別販売・サービス職実数,237,100,124,12,1
