,参議院議員選挙/調査数,参議院議員選挙/話をした（された）（計）,参議院議員選挙/家族と話しをした（された）,参議院議員選挙/友人・同僚と話しをした（された）,参議院議員選挙/その他,参議院議員選挙/話しはしていない,東京都知事選挙/調査数,東京都知事選挙/話をした（された）（計）,東京都知事選挙/家族と話しをした（された）,東京都知事選挙/友人・同僚と話しをした（された）,東京都知事選挙/その他,東京都知事選挙/話しはしていない
全体,1746,1115,825,290,7,795,1746,1115,825,290,7,795
全体,100.0,63.9,47.3,16.6,0.4,45.5,100.0,63.9,47.3,16.6,0.4,45.5
性別男性,826,526,377,149,4,388,826,526,377,149,4,388
性別男性,100.0,63.7,45.6,18.0,0.5,47.0,100.0,63.7,45.6,18.0,0.5,47.0
性別女性,920,589,448,141,3,407,920,589,448,141,3,407
性別女性,100.0,64.0,48.7,15.3,0.3,44.2,100.0,64.0,48.7,15.3,0.3,44.2
年齢別18歳,7,8,5,3,-,1,7,8,5,3,-,1
年齢別18歳,100.0,114.3,71.4,42.9,-,14.3,100.0,114.3,71.4,42.9,-,14.3
年齢別19歳,19,11,5,6,-,9,19,11,5,6,-,9
年齢別19歳,100.0,57.9,26.3,31.6,-,47.4,100.0,57.9,26.3,31.6,-,47.4
年齢別20歳代,162,73,36,37,1,104,162,73,36,37,1,104
年齢別20歳代,100.0,45.1,22.2,22.8,0.6,64.2,100.0,45.1,22.2,22.8,0.6,64.2
年齢別30歳代,252,173,116,57,-,113,252,173,116,57,-,113
年齢別30歳代,100.0,68.7,46.0,22.6,-,44.8,100.0,68.7,46.0,22.6,-,44.8
年齢別40歳代,393,305,225,80,1,142,393,305,225,80,1,142
年齢別40歳代,100.0,77.6,57.3,20.4,0.3,36.1,100.0,77.6,57.3,20.4,0.3,36.1
年齢別50歳代,308,230,182,48,2,112,308,230,182,48,2,112
年齢別50歳代,100.0,74.7,59.1,15.6,0.6,36.4,100.0,74.7,59.1,15.6,0.6,36.4
年齢別60歳代,314,181,143,38,-,150,314,181,143,38,-,150
年齢別60歳代,100.0,57.6,45.5,12.1,-,47.8,100.0,57.6,45.5,12.1,-,47.8
年齢別70歳代,210,102,87,15,3,114,210,102,87,15,3,114
年齢別70歳代,100.0,48.6,41.4,7.1,1.4,54.3,100.0,48.6,41.4,7.1,1.4,54.3
年齢別80歳以上,81,32,26,6,-,50,81,32,26,6,-,50
年齢別80歳以上,100.0,39.5,32.1,7.4,-,61.7,100.0,39.5,32.1,7.4,-,61.7
性/年齢別男性18歳,1,1,1,-,-,-,1,1,1,-,-,-
性/年齢別男性18歳,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
性/年齢別男性19歳,12,8,4,4,-,5,12,8,4,4,-,5
性/年齢別男性19歳,100.0,66.7,33.3,33.3,-,41.7,100.0,66.7,33.3,33.3,-,41.7
性/年齢別男性20歳代,83,29,17,12,-,60,83,29,17,12,-,60
性/年齢別男性20歳代,100.0,34.9,20.5,14.5,-,72.3,100.0,34.9,20.5,14.5,-,72.3
性/年齢別男性30歳代,122,87,53,34,-,56,122,87,53,34,-,56
性/年齢別男性30歳代,100.0,71.3,43.4,27.9,-,45.9,100.0,71.3,43.4,27.9,-,45.9
性/年齢別男性40歳代,169,133,95,38,1,63,169,133,95,38,1,63
性/年齢別男性40歳代,100.0,78.7,56.2,22.5,0.6,37.3,100.0,78.7,56.2,22.5,0.6,37.3
性/年齢別男性50歳代,151,118,91,27,2,51,151,118,91,27,2,51
性/年齢別男性50歳代,100.0,78.1,60.3,17.9,1.3,33.8,100.0,78.1,60.3,17.9,1.3,33.8
性/年齢別男性60歳代,146,87,63,24,-,70,146,87,63,24,-,70
性/年齢別男性60歳代,100.0,59.6,43.2,16.4,-,47.9,100.0,59.6,43.2,16.4,-,47.9
性/年齢別男性70歳代,101,48,40,8,1,57,101,48,40,8,1,57
性/年齢別男性70歳代,100.0,47.5,39.6,7.9,1.0,56.4,100.0,47.5,39.6,7.9,1.0,56.4
性/年齢別男性80歳以上,41,15,13,2,-,26,41,15,13,2,-,26
性/年齢別男性80歳以上,100.0,36.6,31.7,4.9,-,63.4,100.0,36.6,31.7,4.9,-,63.4
性/年齢別女性18歳,6,7,4,3,-,1,6,7,4,3,-,1
性/年齢別女性18歳,100.0,116.7,66.7,50.0,-,16.7,100.0,116.7,66.7,50.0,-,16.7
性/年齢別女性19歳,7,3,1,2,-,4,7,3,1,2,-,4
性/年齢別女性19歳,100.0,42.9,14.3,28.6,-,57.1,100.0,42.9,14.3,28.6,-,57.1
性/年齢別女性20歳代,79,44,19,25,1,44,79,44,19,25,1,44
性/年齢別女性20歳代,100.0,55.7,24.1,31.6,1.3,55.7,100.0,55.7,24.1,31.6,1.3,55.7
性/年齢別女性30歳代,130,86,63,23,-,57,130,86,63,23,-,57
性/年齢別女性30歳代,100.0,66.2,48.5,17.7,-,43.8,100.0,66.2,48.5,17.7,-,43.8
性/年齢別女性40歳代,224,172,130,42,-,79,224,172,130,42,-,79
性/年齢別女性40歳代,100.0,76.8,58.0,18.8,-,35.3,100.0,76.8,58.0,18.8,-,35.3
性/年齢別女性50歳代,157,112,91,21,-,61,157,112,91,21,-,61
性/年齢別女性50歳代,100.0,71.3,58.0,13.4,-,38.9,100.0,71.3,58.0,13.4,-,38.9
性/年齢別女性60歳代,168,94,80,14,-,80,168,94,80,14,-,80
性/年齢別女性60歳代,100.0,56.0,47.6,8.3,-,47.6,100.0,56.0,47.6,8.3,-,47.6
性/年齢別女性70歳代,109,54,47,7,2,57,109,54,47,7,2,57
性/年齢別女性70歳代,100.0,49.5,43.1,6.4,1.8,52.3,100.0,49.5,43.1,6.4,1.8,52.3
性/年齢別女性80歳以上,40,17,13,4,-,24,40,17,13,4,-,24
性/年齢別女性80歳以上,100.0,42.5,32.5,10.0,-,60.0,100.0,42.5,32.5,10.0,-,60.0
未・既婚別未婚,334,158,80,78,3,199,334,158,80,78,3,199
未・既婚別未婚,100.0,47.3,24.0,23.4,0.9,59.6,100.0,47.3,24.0,23.4,0.9,59.6
未・既婚別既婚（死別・離別を含む）,1412,957,745,212,4,596,1412,957,745,212,4,596
未・既婚別既婚（死別・離別を含む）,100.0,67.8,52.8,15.0,0.3,42.2,100.0,67.8,52.8,15.0,0.3,42.2
子供の有無別子供はいない,394,204,107,97,4,221,394,204,107,97,4,221
子供の有無別子供はいない,100.0,51.8,27.2,24.6,1.0,56.1,100.0,51.8,27.2,24.6,1.0,56.1
子供の有無別未就学（～６歳）,113,82,61,21,-,48,113,82,61,21,-,48
子供の有無別未就学（～６歳）,100.0,72.6,54.0,18.6,-,42.5,100.0,72.6,54.0,18.6,-,42.5
子供の有無別小・中・高校生,389,315,243,72,-,131,389,315,243,72,-,131
子供の有無別小・中・高校生,100.0,81.0,62.5,18.5,-,33.7,100.0,81.0,62.5,18.5,-,33.7
子供の有無別大学生・大学院生・短大生・専門学校生,141,117,99,18,-,39,141,117,99,18,-,39
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,83.0,70.2,12.8,-,27.7,100.0,83.0,70.2,12.8,-,27.7
子供の有無別学校教育終了,732,437,354,83,2,347,732,437,354,83,2,347
子供の有無別学校教育終了,100.0,59.7,48.4,11.3,0.3,47.4,100.0,59.7,48.4,11.3,0.3,47.4
子供の有無別その他,60,31,19,12,1,34,60,31,19,12,1,34
子供の有無別その他,100.0,51.7,31.7,20.0,1.7,56.7,100.0,51.7,31.7,20.0,1.7,56.7
職業別自営業（計）,131,94,66,28,3,50,131,94,66,28,3,50
職業別自営業（計）,100.0,71.8,50.4,21.4,2.3,38.2,100.0,71.8,50.4,21.4,2.3,38.2
職業別農林漁業,1,1,1,-,-,-,1,1,1,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
職業別商工・サービス業,40,32,20,12,-,13,40,32,20,12,-,13
職業別商工・サービス業,100.0,80.0,50.0,30.0,-,32.5,100.0,80.0,50.0,30.0,-,32.5
職業別その他自由業,90,61,45,16,3,37,90,61,45,16,3,37
