質問,n,その他(雪の影響)(%),仕事が忙しく、時間がなかったから(%),病気(看病を含む)又は体調が悪かったから(%),政治や選挙には関心がないから(%),適当な候補者がいなかったから(%),投票所へ行くのが面倒だったから(%),自分一人が投票しなくても選挙の結果に影響がないから(%),選挙によって政治や暮らしが良くなるわけではないから(%)
全体,(963),41.6,31.7,16.4,12.6,9.8,8.7,8.0,7.5
性別男性,(436),37.8,33.5,11.0,13.5,12.4,10.6,7.1,8.0
性別女性,(527),44.8,30.2,20.9,11.8,7.6,7.2,8.7,7.0
年齢別20歳代,(232),30.6,47.4,1.3,22.4,8.2,11.6,10.3,9.1
年齢別30歳代,(201),38.8,45.3,10.4,13.9,10.9,8.0,13.4,7.0
年齢別40歳代,(174),47.7,29.9,9.2,11.5,9.8,6.9,2.3,8.0
年齢別50歳代,(108),38.0,27.8,18.5,3.7,12.0,5.6,9.3,6.5
年齢別60歳代,(106),50.0,14.2,23.6,7.5,11.3,13.2,5.7,6.6
年齢別70歳代,(76),52.6,2.6,48.7,7.9,7.9,6.6,6.6,6.6
年齢別80歳以上,(54),51.9,1.9,64.8,5.6,5.6,7.4,1.9,7.4
