,問12調査数,問12新聞,問12雑誌,問12ラジオ,問12テレビ,問12パソコンでのインターネット,問12携帯電話・スマートフォン・タブレット等でのインターネット,問12その他,問12特にない,問12無回答,問12－１調査数,問12－１日常的に使っている,問12－１時々使っている,問12－１ほとんど利用しない,問12－１無回答
全体,2011,1190,221,247,1806,789,891,6,18,3,1176,1017,148,7,4
全体,100.0,59.2,11.0,12.3,89.8,39.2,44.3,0.3,0.9,0.1,100.0,86.5,12.6,0.6,0.3
性別男性,950,582,100,125,838,401,412,1,11,1,560,499,56,3,2
性別男性,100.0,61.3,10.5,13.2,88.2,42.2,43.4,0.1,1.2,0.1,100.0,89.1,10.0,0.5,0.4
性別女性,1061,608,121,122,968,388,479,5,7,2,616,518,92,4,2
性別女性,100.0,57.3,11.4,11.5,91.2,36.6,45.1,0.5,0.7,0.2,100.0,84.1,14.9,0.6,0.3
年齢20歳代,295,62,26,10,243,147,271,-,1,1,285,271,10,-,4
年齢20歳代,100.0,21.0,8.8,3.4,82.4,49.8,91.9,-,0.3,0.3,100.0,95.1,3.5,-,1.4
年齢30歳代,355,149,40,29,303,212,262,-,3,-,307,286,21,-,-
年齢30歳代,100.0,42.0,11.3,8.2,85.4,59.7,73.8,-,0.8,-,100.0,93.2,6.8,-,-
年齢40歳代,398,232,49,52,353,201,227,2,2,1,301,245,55,1,-
年齢40歳代,100.0,58.3,12.3,13.1,88.7,50.5,57.0,0.5,0.5,0.3,100.0,81.4,18.3,0.3,-
年齢50歳代,293,219,40,45,271,124,88,1,1,-,163,123,38,2,-
年齢50歳代,100.0,74.7,13.7,15.4,92.5,42.3,30.0,0.3,0.3,-,100.0,75.5,23.3,1.2,-
年齢60歳代,327,262,41,56,316,77,25,1,4,-,83,66,16,1,-
年齢60歳代,100.0,80.1,12.5,17.1,96.6,23.5,7.6,0.3,1.2,-,100.0,79.5,19.3,1.2,-
年齢70歳代,232,190,17,37,220,19,8,1,2,1,22,13,6,3,-
年齢70歳代,100.0,81.9,7.3,15.9,94.8,8.2,3.4,0.4,0.9,0.4,100.0,59.1,27.3,13.6,-
年齢80歳以上,90,63,4,16,81,-,-,1,5,-,-,-,-,-,-
年齢80歳以上,100.0,70.0,4.4,17.8,90.0,-,-,1.1,5.6,-,-,-,-,-,-
性／年齢別男性20歳代,143,32,9,6,110,75,128,-,1,1,138,132,4,-,2
性／年齢別男性20歳代,100.0,22.4,6.3,4.2,76.9,52.4,89.5,-,0.7,0.7,100.0,95.7,2.9,-,1.4
性／年齢別男性30歳代,153,68,19,15,126,104,116,-,2,-,135,128,7,-,-
性／年齢別男性30歳代,100.0,44.4,12.4,9.8,82.4,68.0,75.8,-,1.3,-,100.0,94.8,5.2,-,-
性／年齢別男性40歳代,176,97,16,22,150,97,105,-,2,-,137,122,15,-,-
性／年齢別男性40歳代,100.0,55.1,9.1,12.5,85.2,55.1,59.7,-,1.1,-,100.0,89.1,10.9,-,-
性／年齢別男性50歳代,148,111,23,26,137,67,47,-,1,-,87,69,17,1,-
性／年齢別男性50歳代,100.0,75.0,15.5,17.6,92.6,45.3,31.8,-,0.7,-,100.0,79.3,19.5,1.1,-
性／年齢別男性60歳代,169,137,22,29,163,43,11,-,2,-,47,36,10,1,-
性／年齢別男性60歳代,100.0,81.1,13.0,17.2,96.4,25.4,6.5,-,1.2,-,100.0,76.6,21.3,2.1,-
性／年齢別男性70歳代,118,101,9,18,112,12,3,-,1,-,13,9,3,1,-
性／年齢別男性70歳代,100.0,85.6,7.6,15.3,94.9,10.2,2.5,-,0.8,-,100.0,69.2,23.1,7.7,-
性／年齢別男性80歳以上,39,34,2,8,36,-,-,1,2,-,-,-,-,-,-
性／年齢別男性80歳以上,100.0,87.2,5.1,20.5,92.3,-,-,2.6,5.1,-,-,-,-,-,-
性／年齢別女性20歳代,152,30,17,4,133,72,143,-,-,-,147,139,6,-,2
性／年齢別女性20歳代,100.0,19.7,11.2,2.6,87.5,47.4,94.1,-,-,-,100.0,94.6,4.1,-,1.4
性／年齢別女性30歳代,202,81,21,14,177,108,146,-,1,-,172,158,14,-,-
性／年齢別女性30歳代,100.0,40.1,10.4,6.9,87.6,53.5,72.3,-,0.5,-,100.0,91.9,8.1,-,-
性／年齢別女性40歳代,222,135,33,30,203,104,122,2,-,1,164,123,40,1,-
性／年齢別女性40歳代,100.0,60.8,14.9,13.5,91.4,46.8,55.0,0.9,-,0.5,100.0,75.0,24.4,0.6,-
性／年齢別女性50歳代,145,108,17,19,134,57,41,1,-,-,76,54,21,1,-
性／年齢別女性50歳代,100.0,74.5,11.7,13.1,92.4,39.3,28.3,0.7,-,-,100.0,71.1,27.6,1.3,-
性／年齢別女性60歳代,158,125,19,27,153,34,14,1,2,-,36,30,6,-,-
性／年齢別女性60歳代,100.0,79.1,12.0,17.1,96.8,21.5,8.9,0.6,1.3,-,100.0,83.3,16.7,-,-
性／年齢別女性70歳代,114,89,8,19,108,7,5,1,1,1,9,4,3,2,-
性／年齢別女性70歳代,100.0,78.1,7.0,16.7,94.7,6.1,4.4,0.9,0.9,0.9,100.0,44.4,33.3,22.2,-
性／年齢別女性80歳以上,51,29,2,8,45,-,-,-,3,-,-,-,-,-,-
性／年齢別女性80歳以上,100.0,56.9,3.9,15.7,88.2,-,-,-,5.9,-,-,-,-,-,-
未・既婚別未婚（死別・離別を含む）,801,314,79,73,690,339,459,2,12,1,552,500,48,-,4
未・既婚別未婚（死別・離別を含む）,100.0,39.2,9.9,9.1,86.1,42.3,57.3,0.2,1.5,0.1,100.0,90.6,8.7,-,0.7
未・既婚別既婚,1188,862,140,172,1098,442,427,4,5,2,615,508,100,7,-
未・既婚別既婚,100.0,72.6,11.8,14.5,92.4,37.2,35.9,0.3,0.4,0.2,100.0,82.6,16.3,1.1,-
子供の有無別子供はいない,779,289,90,63,670,375,495,-,6,1,596,547,44,1,4
子供の有無別子供はいない,100.0,37.1,11.6,8.1,86.0,48.1,63.5,-,0.8,0.1,100.0,91.8,7.4,0.2,0.7
子供の有無別未就学（～６歳）,155,79,18,22,131,72,120,1,1,-,133,117,15,1,-
子供の有無別未就学（～６歳）,100.0,51.0,11.6,14.2,84.5,46.5,77.4,0.6,0.6,-,100.0,88.0,11.3,0.8,-
子供の有無別小・中・高校生,320,212,38,42,288,173,189,-,2,1,250,203,46,1,-
子供の有無別小・中・高校生,100.0,66.3,11.9,13.1,90.0,54.1,59.1,-,0.6,0.3,100.0,81.2,18.4,0.4,-
子供の有無別大学生・大学院生・短大生・専門学校生,92,67,16,14,85,46,30,-,-,-,57,43,14,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,72.8,17.4,15.2,92.4,50.0,32.6,-,-,-,100.0,75.4,24.6,-,-
子供の有無別学校教育終了,671,555,68,113,646,132,63,4,7,1,155,121,29,5,-
子供の有無別学校教育終了,100.0,82.7,10.1,16.8,96.3,19.7,9.4,0.6,1.0,0.1,100.0,78.1,18.7,3.2,-
子供の有無別その他,11,7,2,4,9,2,-,-,-,-,2,1,1,-,-
子供の有無別その他,100.0,63.6,18.2,36.4,81.8,18.2,-,-,-,-,100.0,50.0,50.0,-,-
職業別自営業（計）,174,104,24,24,153,78,52,1,1,2,91,83,6,2,-
職業別自営業（計）,100.0,59.8,13.8,13.8,87.9,44.8,29.9,0.6,0.6,1.1,100.0,91.2,6.6,2.2,-
職業別農林漁業,2,2,1,-,2,1,-,-,-,-,1,1,-,-,-
職業別農林漁業,100.0,100.0,50.0,-,100.0,50.0,-,-,-,-,100.0,100.0,-,-,-
職業別商工・サービス業,71,43,11,9,60,28,25,-,-,2,35,32,2,1,-
職業別商工・サービス業,100.0,60.6,15.5,12.7,84.5,39.4,35.2,-,-,2.8,100.0,91.4,5.7,2.9,-
職業別その他自由業,101,59,12,15,91,49,27,1,1,-,55,50,4,1,-
職業別その他自由業,100.0,58.4,11.9,14.9,90.1,48.5,26.7,1.0,1.0,-,100.0,90.9,7.3,1.8,-
職業別お勤め（計）,981,495,114,102,876,500,607,2,3,-,761,674,81,2,4
職業別お勤め（計）,100.0,50.5,11.6,10.4,89.3,51.0,61.9,0.2,0.3,-,100.0,88.6,10.6,0.3,0.5
職業別経営・管理職,109,88,18,16,101,60,47,-,-,-,70,59,11,-,-
職業別経営・管理職,100.0,80.7,16.5,14.7,92.7,55.0,43.1,-,-,-,100.0,84.3,15.7,-,-
職業別専門職・技術職,261,140,27,30,232,142,162,-,-,-,214,189,23,1,1
職業別専門職・技術職,100.0,53.6,10.3,11.5,88.9,54.4,62.1,-,-,-,100.0,88.3,10.7,0.5,0.5
職業別事務職,305,146,35,25,272,183,198,2,1,-,256,230,25,-,1
職業別事務職,100.0,47.9,11.5,8.2,89.2,60.0,64.9,0.7,0.3,-,100.0,89.8,9.8,-,0.4
職業別労務職・技能職,89,36,10,11,75,36,63,-,1,-,66,55,10,1,-
職業別労務職・技能職,100.0,40.4,11.2,12.4,84.3,40.4,70.8,-,1.1,-,100.0,83.3,15.2,1.5,-
