,調査数,候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,選挙に関する情報がリアルタイムで得ることができた,さほど効果や影響があるとは思わない,選挙への関心が高まった,ビラやはがきが減った,候補者になりすましたり偽名を使った不正な情報が氾濫した,ひぼう中傷やデマが横行した,インターネットを使わない人にとって不利になった,その他,わからない,無回答
全体実数,1246,226,245,201,111,94,32,102,174,23,458,37
全体（％）,100.0,18.1,19.7,16.1,8.9,7.5,2.6,8.2,14.0,1.8,36.8,3.0
性別男性実数,617,128,132,116,67,40,14,47,71,13,201,17
性別男性（％）,100.0,20.7,21.4,18.8,10.9,6.5,2.3,7.6,11.5,2.1,32.6,2.8
性別女性実数,629,98,113,85,44,54,18,55,103,10,257,20
性別女性（％）,100.0,15.6,18.0,13.5,7.0,8.6,2.9,8.7,16.4,1.6,40.9,3.2
年齢別20歳代実数,91,33,33,12,15,8,5,11,10,1,12,-
年齢別20歳代（％）,100.0,36.3,36.3,13.2,16.5,8.8,5.5,12.1,11.0,1.1,13.2,-
年齢別30歳代実数,161,45,47,31,22,12,6,18,17,4,37,2
年齢別30歳代（％）,100.0,28.0,29.2,19.3,13.7,7.5,3.7,11.2,10.6,2.5,23.0,1.2
年齢別40歳代実数,247,52,72,54,26,29,12,32,48,7,50,8
年齢別40歳代（％）,100.0,21.1,29.1,21.9,10.5,11.7,4.9,13.0,19.4,2.8,20.2,3.2
年齢別50歳代実数,195,41,45,35,16,16,5,16,37,4,63,2
年齢別50歳代（％）,100.0,21.0,23.1,17.9,8.2,8.2,2.6,8.2,19.0,2.1,32.3,1.0
年齢別60歳代実数,233,35,32,31,18,16,2,9,31,3,109,8
年齢別60歳代（％）,100.0,15.0,13.7,13.3,7.7,6.9,0.9,3.9,13.3,1.3,46.8,3.4
年齢別70歳代実数,239,17,12,33,12,11,2,14,22,4,133,13
年齢別70歳代（％）,100.0,7.1,5.0,13.8,5.0,4.6,0.8,5.9,9.2,1.7,55.6,5.4
年齢別80歳以上実数,80,3,4,5,2,2,-,2,9,-,54,4
年齢別80歳以上（％）,100.0,3.8,5.0,6.3,2.5,2.5,-,2.5,11.3,-,67.5,5.0
性/年齢別男性20歳代実数,49,21,15,10,5,2,3,4,3,1,6,-
性/年齢別男性20歳代（％）,100.0,42.9,30.6,20.4,10.2,4.1,6.1,8.2,6.1,2.0,12.2,-
性/年齢別男性30歳代実数,75,21,24,15,16,4,4,11,5,3,16,1
性/年齢別男性30歳代（％）,100.0,28.0,32.0,20.0,21.3,5.3,5.3,14.7,6.7,4.0,21.3,1.3
性/年齢別男性40歳代実数,116,27,36,32,13,12,6,15,16,3,20,3
性/年齢別男性40歳代（％）,100.0,23.3,31.0,27.6,11.2,10.3,5.2,12.9,13.8,2.6,17.2,2.6
性/年齢別男性50歳代実数,107,29,29,16,9,11,-,5,21,2,30,2
性/年齢別男性50歳代（％）,100.0,27.1,27.1,15.0,8.4,10.3,-,4.7,19.6,1.9,28.0,1.9
性/年齢別男性60歳代実数,117,17,17,20,11,6,1,6,13,2,50,3
性/年齢別男性60歳代（％）,100.0,14.5,14.5,17.1,9.4,5.1,0.9,5.1,11.1,1.7,42.7,2.6
性/年齢別男性70歳代実数,116,12,9,21,11,3,-,5,8,2,56,5
性/年齢別男性70歳代（％）,100.0,10.3,7.8,18.1,9.5,2.6,-,4.3,6.9,1.7,48.3,4.3
性/年齢別男性80歳以上実数,37,1,2,2,2,2,-,1,5,-,23,3
性/年齢別男性80歳以上（％）,100.0,2.7,5.4,5.4,5.4,5.4,-,2.7,13.5,-,62.2,8.1
性/年齢別女性20歳代実数,42,12,18,2,10,6,2,7,7,-,6,-
性/年齢別女性20歳代（％）,100.0,28.6,42.9,4.8,23.8,14.3,4.8,16.7,16.7,-,14.3,-
性/年齢別女性30歳代実数,86,24,23,16,6,8,2,7,12,1,21,1
性/年齢別女性30歳代（％）,100.0,27.9,26.7,18.6,7.0,9.3,2.3,8.1,14.0,1.2,24.4,1.2
性/年齢別女性40歳代実数,131,25,36,22,13,17,6,17,32,4,30,5
性/年齢別女性40歳代（％）,100.0,19.1,27.5,16.8,9.9,13.0,4.6,13.0,24.4,3.1,22.9,3.8
性/年齢別女性50歳代実数,88,12,16,19,7,5,5,11,16,2,33,-
性/年齢別女性50歳代（％）,100.0,13.6,18.2,21.6,8.0,5.7,5.7,12.5,18.2,2.3,37.5,-
性/年齢別女性60歳代実数,116,18,15,11,7,10,1,3,18,1,59,5
性/年齢別女性60歳代（％）,100.0,15.5,12.9,9.5,6.0,8.6,0.9,2.6,15.5,0.9,50.9,4.3
性/年齢別女性70歳代実数,123,5,3,12,1,8,2,9,14,2,77,8
性/年齢別女性70歳代（％）,100.0,4.1,2.4,9.8,0.8,6.5,1.6,7.3,11.4,1.6,62.6,6.5
性/年齢別女性80歳以上実数,43,2,2,3,-,-,-,1,4,-,31,1
性/年齢別女性80歳以上（％）,100.0,4.7,4.7,7.0,-,-,-,2.3,9.3,-,72.1,2.3
未・既婚別未婚実数,248,64,68,39,28,19,13,31,24,7,66,6
未・既婚別未婚（％）,100.0,25.8,27.4,15.7,11.3,7.7,5.2,12.5,9.7,2.8,26.6,2.4
未・既婚別既婚（死別・離別を含む）実数,991,160,175,161,82,75,19,71,150,16,390,29
未・既婚別既婚（死別・離別を含む）（％）,100.0,16.1,17.7,16.2,8.3,7.6,1.9,7.2,15.1,1.6,39.4,2.9
子供の有無別子供はいない実数,392,101,103,66,52,31,16,42,46,8,112,9
子供の有無別子供はいない（％）,100.0,25.8,26.3,16.8,13.3,7.9,4.1,10.7,11.7,2.0,28.6,2.3
子供の有無別未就学（～６歳）実数,117,29,42,25,9,6,4,9,21,3,23,1
子供の有無別未就学（～６歳）（％）,100.0,24.8,35.9,21.4,7.7,5.1,3.4,7.7,17.9,2.6,19.7,0.9
子供の有無別小・中・高校生実数,195,32,50,35,17,23,9,22,32,5,50,5
子供の有無別小・中・高校生（％）,100.0,16.4,25.6,17.9,8.7,11.8,4.6,11.3,16.4,2.6,25.6,2.6
子供の有無別大学生・大学院生・短大生・専門学校生実数,78,14,15,13,8,9,-,6,14,2,26,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,17.9,19.2,16.7,10.3,11.5,-,7.7,17.9,2.6,33.3,1.3
子供の有無別学校教育終了実数,547,65,56,74,34,33,7,30,76,7,270,21
子供の有無別学校教育終了（％）,100.0,11.9,10.2,13.5,6.2,6.0,1.3,5.5,13.9,1.3,49.4,3.8
子供の有無別その他実数,5,1,1,-,-,-,-,-,-,-,4,-
子供の有無別その他（％）,100.0,20.0,20.0,-,-,-,-,-,-,-,80.0,-
