,参議院議員選挙/調査数,参議院議員選挙/政治や選挙についての学校教育の充実,参議院議員選挙/選挙管理委員会による選挙に関するＰＲの充実,参議院議員選挙/各種団体による政治や選挙に関する勉強会（セミナー）等への参加,参議院議員選挙/政治や選挙に関する家庭内での積極的な話し合い,参議院議員選挙/新聞やテレビ等での政治や選挙に関する分かりやすい報道との接触,参議院議員選挙/政党や政治団体などが行う活動との接触,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/政治や選挙についての学校教育の充実,東京都知事選挙/選挙管理委員会による選挙に関するＰＲの充実,東京都知事選挙/各種団体による政治や選挙に関する勉強会（セミナー）等への参加,東京都知事選挙/政治や選挙に関する家庭内での積極的な話し合い,東京都知事選挙/新聞やテレビ等での政治や選挙に関する分かりやすい報道との接触,東京都知事選挙/政党や政治団体などが行う活動との接触,東京都知事選挙/その他,東京都知事選挙/わからない
全体,1823,1214,312,133,470,861,99,18,270,1823,1214,312,133,470,861,99,18,270
全体,100.0,66.6,17.1,7.3,25.8,47.2,5.4,1.0,14.8,100.0,66.6,17.1,7.3,25.8,47.2,5.4,1.0,14.8
性別男性,852,561,162,72,223,425,58,12,106,852,561,162,72,223,425,58,12,106
性別男性,100.0,65.8,19.0,8.5,26.2,49.9,6.8,1.4,12.4,100.0,65.8,19.0,8.5,26.2,49.9,6.8,1.4,12.4
性別女性,971,653,150,61,247,436,41,6,164,971,653,150,61,247,436,41,6,164
性別女性,100.0,67.3,15.4,6.3,25.4,44.9,4.2,0.6,16.9,100.0,67.3,15.4,6.3,25.4,44.9,4.2,0.6,16.9
年齢別18歳,7,4,1,-,2,2,-,1,2,7,4,1,-,2,2,-,1,2
年齢別18歳,100.0,57.1,14.3,-,28.6,28.6,-,14.3,28.6,100.0,57.1,14.3,-,28.6,28.6,-,14.3,28.6
年齢別19歳,20,8,1,2,2,8,-,-,7,20,8,1,2,2,8,-,-,7
年齢別19歳,100.0,40.0,5.0,10.0,10.0,40.0,-,-,35.0,100.0,40.0,5.0,10.0,10.0,40.0,-,-,35.0
年齢別20歳代,164,99,21,5,29,57,12,2,40,164,99,21,5,29,57,12,2,40
年齢別20歳代,100.0,60.4,12.8,3.0,17.7,34.8,7.3,1.2,24.4,100.0,60.4,12.8,3.0,17.7,34.8,7.3,1.2,24.4
年齢別30歳代,257,187,59,23,67,139,16,3,19,257,187,59,23,67,139,16,3,19
年齢別30歳代,100.0,72.8,23.0,8.9,26.1,54.1,6.2,1.2,7.4,100.0,72.8,23.0,8.9,26.1,54.1,6.2,1.2,7.4
年齢別40歳代,398,291,69,46,115,203,25,3,26,398,291,69,46,115,203,25,3,26
年齢別40歳代,100.0,73.1,17.3,11.6,28.9,51.0,6.3,0.8,6.5,100.0,73.1,17.3,11.6,28.9,51.0,6.3,0.8,6.5
年齢別50歳代,311,234,68,22,90,161,14,2,28,311,234,68,22,90,161,14,2,28
年齢別50歳代,100.0,75.2,21.9,7.1,28.9,51.8,4.5,0.6,9.0,100.0,75.2,21.9,7.1,28.9,51.8,4.5,0.6,9.0
年齢別60歳代,337,221,51,15,88,167,18,4,53,337,221,51,15,88,167,18,4,53
年齢別60歳代,100.0,65.6,15.1,4.5,26.1,49.6,5.3,1.2,15.7,100.0,65.6,15.1,4.5,26.1,49.6,5.3,1.2,15.7
年齢別70歳代,231,131,30,13,61,91,9,3,55,231,131,30,13,61,91,9,3,55
年齢別70歳代,100.0,56.7,13.0,5.6,26.4,39.4,3.9,1.3,23.8,100.0,56.7,13.0,5.6,26.4,39.4,3.9,1.3,23.8
