,n,国政をよくするためには、投票することが大切だと思ったから（％）,投票することは、義務であるから（％）,投票することは、権利であるから（％）,自分の支持する政党の推す候補者を当選させたかったから（％）,今の政治がよくないので、変えたいと思ったから（％）,当選させたい候補者がいたから（％）,当選させたくない候補者がいたから（％）,テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから（％）
全体,1246,51.3,48.6,39.2,26.5,17.1,16.9,4.6,4.3
性別男性,617,50.9,46.7,40.5,29.2,16.5,18.2,5.7,3.4
性別女性,629,51.7,50.6,38.0,23.8,17.6,15.6,3.5,5.1
年齢別20歳代,91,50.5,37.4,45.1,15.4,14.3,7.7,8.8,4.4
年齢別30歳代,161,47.2,46.6,37.9,16.1,11.8,6.8,4.3,5.6
年齢別40歳代,247,56.3,43.7,50.2,19.0,19.0,7.3,5.3,4.9
年齢別50歳代,195,55.9,49.2,40.0,18.5,17.9,14.4,4.6,2.1
年齢別60歳代,233,51.5,53.6,39.9,38.6,23.2,24.0,3.4,4.3
年齢別70歳代,239,48.1,52.3,29.7,37.7,17.6,29.3,3.8,4.6
年齢別80歳以上,80,42.5,53.8,26.3,33.8,3.8,25.0,3.8,3.8
